factor_name,bucket_name,bucket_rank,horizon,sample_count,average_forward_return,median_forward_return,hit_rate,evidence_status
overheat_penalty,HIGH,3,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,LOW,1,1D,7,0.007970,0.009428,0.714286,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,MID,2,1D,7,-0.003074,-0.001315,0.428571,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,HIGH,3,1D,6,0.023700,0.018342,1.000000,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,LOW,1,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,MID,2,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,HIGH,3,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,LOW,1,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,MID,2,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,HIGH,3,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,LOW,1,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,MID,2,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,HIGH,3,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,LOW,1,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,MID,2,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
price_derived_total_score,HIGH,3,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,LOW,1,1D,8,0.010507,0.010156,0.875000,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,MID,2,1D,7,0.001559,0.011563,0.571429,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,HIGH,3,1D,5,0.016301,0.006982,0.600000,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,LOW,1,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,MID,2,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,HIGH,3,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,LOW,1,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,MID,2,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,HIGH,3,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,LOW,1,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,MID,2,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,HIGH,3,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,LOW,1,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,MID,2,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
relative_strength_score,HIGH,3,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,LOW,1,1D,9,0.008753,0.010884,0.666667,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,MID,2,1D,6,0.008575,0.009272,0.833333,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,HIGH,3,1D,5,0.009250,0.007652,0.600000,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,LOW,1,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,MID,2,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,HIGH,3,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,LOW,1,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,MID,2,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,HIGH,3,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,LOW,1,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,MID,2,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,HIGH,3,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,LOW,1,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,MID,2,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
buy_zone_score,HIGH,3,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,LOW,1,1D,20,0.008824,0.010156,0.700000,SUFFICIENT_SAMPLE
volume_confirmation_score,MID,2,1D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,HIGH,3,1D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,LOW,1,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,MID,2,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,HIGH,3,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,LOW,1,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,MID,2,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,HIGH,3,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,LOW,1,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,MID,2,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,HIGH,3,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,LOW,1,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,MID,2,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volume_confirmation_score,HIGH,3,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,LOW,1,1D,11,0.008042,0.007652,0.636364,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,MID,2,1D,7,0.011738,0.013844,0.857143,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,HIGH,3,1D,2,0.002927,0.002927,0.500000,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,LOW,1,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,MID,2,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,HIGH,3,3D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,LOW,1,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,MID,2,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,HIGH,3,5D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,LOW,1,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,MID,2,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,HIGH,3,10D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,LOW,1,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,MID,2,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
volatility_risk_score,HIGH,3,20D,0,,,,INSUFFICIENT_FORWARD_RETURNS
