snapshot_date,ticker,signal_snapshot_id,factor_pack_score_available,factor_pack_rank_available,technical_timing_score_available,overheat_penalty_available,price_derived_score_available,relative_strength_score_available,buy_zone_score_available,buy_zone_label_available,market_regime_available,forward_return_1d_available,forward_return_3d_available,forward_return_5d_available,forward_return_10d_available,forward_return_20d_available,ready_for_factor_effectiveness_research,readiness_status,blocking_reason
2026-05-20,AA,V18_21B-2026-05-20-AA-A31348FB92CC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEGRADED_MISSING_CORE_SIGNAL,MISSING_CORE_SIGNAL;MISSING_PRICE_DERIVED_SCORE
2026-05-20,AAL,V18_21B-2026-05-20-AAL-DBC19D4C5248,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEGRADED_MISSING_CORE_SIGNAL,MISSING_CORE_SIGNAL;MISSING_PRICE_DERIVED_SCORE
2026-05-20,AAPL,V18_21B-2026-05-20-AAPL-5613A530AF73,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,READY_WITH_FORWARD_RETURNS,
2026-05-20,ABR,V18_21B-2026-05-20-ABR-D8C2ECA2C3A3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEGRADED_MISSING_CORE_SIGNAL,MISSING_CORE_SIGNAL;MISSING_PRICE_DERIVED_SCORE
2026-05-20,ACLS,V18_21B-2026-05-20-ACLS-45712EF7C798,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,READY_WITH_FORWARD_RETURNS,
2026-05-20,ACM,V18_21B-2026-05-20-ACM-72785AD50410,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,READY_WITH_FORWARD_RETURNS,
2026-05-20,ACMR,V18_21B-2026-05-20-ACMR-D037B213F266,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,READY_WITH_FORWARD_RETURNS,
2026-05-20,ADBE,V18_21B-2026-05-20-ADBE-CB82AA2FAB52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEGRADED_MISSING_CORE_SIGNAL,MISSING_CORE_SIGNAL;MISSING_PRICE_DERIVED_SCORE
2026-05-20,ADMA,V18_21B-2026-05-20-ADMA-D6EC5EBD73A3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEGRADED_MISSING_CORE_SIGNAL,MISSING_CORE_SIGNAL;MISSING_PRICE_DERIVED_SCORE
2026-05-20,ADSK,V18_21B-2026-05-20-ADSK-8DF2B6E3EA27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEGRADED_MISSING_CORE_SIGNAL,MISSING_CORE_SIGNAL;MISSING_PRICE_DERIVED_SCORE
2026-05-20,AEHR,V18_21B-2026-05-20-AEHR-0734B067E793,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,READY_WITH_FORWARD_RETURNS,
2026-05-20,AEIS,V18_21B-2026-05-20-AEIS-757436875728,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEGRADED_MISSING_CORE_SIGNAL,MISSING_CORE_SIGNAL;MISSING_PRICE_DERIVED_SCORE
2026-05-20,AEVA,V18_21B-2026-05-20-AEVA-D751A6945F4F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEGRADED_MISSING_CORE_SIGNAL,MISSING_CORE_SIGNAL;MISSING_PRICE_DERIVED_SCORE
2026-05-20,AFRM,V18_21B-2026-05-20-AFRM-4C9760042FC5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEGRADED_MISSING_CORE_SIGNAL,MISSING_CORE_SIGNAL;MISSING_PRICE_DERIVED_SCORE
2026-05-20,AGX,V18_21B-2026-05-20-AGX-3970A3E2E5F2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEGRADED_MISSING_CORE_SIGNAL,MISSING_CORE_SIGNAL;MISSING_PRICE_DERIVED_SCORE
2026-05-20,ALAB,V18_21B-2026-05-20-ALAB-D169EFF0EBDB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,READY_WITH_FORWARD_RETURNS,
2026-05-20,ALM,V18_21B-2026-05-20-ALM-0183CE7D3202,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEGRADED_MISSING_CORE_SIGNAL,MISSING_CORE_SIGNAL;MISSING_PRICE_DERIVED_SCORE
2026-05-20,AMAT,V18_21B-2026-05-20-AMAT-09675EEC2458,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,READY_WITH_FORWARD_RETURNS,
