source_name,source_path,source_exists,modified_time,parsed_row_count,parsed_ticker_count,horizons_detected,has_signal_link_key,has_ticker,has_snapshot_date_or_signal_date,source_status,notes
current_ranked_candidate_forward_tracker,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,TRUE,2026-05-20T15:13:48,20,20,1D;3D;5D;10D;20D,FALSE,TRUE,TRUE,OK_FORWARD_RETURNS_FOUND,Forward returns were read where nonblank.
v18_14c_ranked_candidate_forward_tracker,D:\us-tech-quant\outputs\v18\candidates\V18_14C_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,TRUE,2026-05-20T15:13:46,20,20,1D;3D;5D;10D;20D,FALSE,TRUE,TRUE,NO_NONBLANK_FORWARD_RETURNS,Forward-return columns exist but no nonblank numeric values were found.
v18_14d_forward_price_filler,D:\us-tech-quant\outputs\v18\candidates\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv,TRUE,2026-05-20T15:13:48,20,20,1D;3D;5D;10D;20D,FALSE,TRUE,TRUE,NO_NONBLANK_FORWARD_RETURNS,Forward-return columns exist but no nonblank numeric values were found.
sim_candidate_tracker,D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_SIM_CANDIDATE_TRACKER.csv,TRUE,2026-05-18T21:39:51,93,31,1D;5D;10D;20D,FALSE,TRUE,TRUE,NO_NONBLANK_FORWARD_RETURNS,Forward-return columns exist but no nonblank numeric values were found.
sim_candidate_tracker_today,D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_SIM_CANDIDATE_TRACKER_TODAY.csv,TRUE,2026-05-18T21:39:51,31,31,1D;5D;10D;20D,FALSE,TRUE,TRUE,NO_NONBLANK_FORWARD_RETURNS,Forward-return columns exist but no nonblank numeric values were found.
v18_4a_factor_snapshot,D:\us-tech-quant\outputs\v18\forward_outcome\V18_4A_CURRENT_FACTOR_SNAPSHOT.csv,TRUE,2026-05-19T10:53:52,105,105,1D;3D;5D;10D;20D,FALSE,TRUE,TRUE,NO_NONBLANK_FORWARD_RETURNS,Forward-return columns exist but no nonblank numeric values were found.
v18_10b_forward_return_maturity,D:\us-tech-quant\outputs\v18\factor_research\V18_10B_R1_CURRENT_FORWARD_RETURN_MATURITY.csv,TRUE,2026-05-18T13:14:32,4,0,,FALSE,FALSE,FALSE,NO_TICKER_COLUMN,Cannot match outcomes to signal snapshot tickers.
v18_10b_factor_effectiveness,D:\us-tech-quant\outputs\v18\factor_research\V18_10B_CURRENT_FACTOR_EFFECTIVENESS.csv,TRUE,2026-05-18T13:14:33,28,0,,FALSE,FALSE,FALSE,NO_TICKER_COLUMN,Cannot match outcomes to signal snapshot tickers.
v18_10c_weight_research_eval,D:\us-tech-quant\outputs\v18\weight_research\V18_10C_CURRENT_WEIGHT_RESEARCH_EVALUATION.csv,TRUE,2026-05-18T13:14:33,28,0,,FALSE,FALSE,FALSE,NO_TICKER_COLUMN,Cannot match outcomes to signal snapshot tickers.
v18_14e_daily_with_forward_summary,D:\us-tech-quant\outputs\v18\ops\V18_14E_CURRENT_DAILY_WITH_FORWARD_TRACKER_SUMMARY.csv,TRUE,2026-05-20T15:13:48,27,0,,FALSE,FALSE,FALSE,NO_TICKER_COLUMN,Cannot match outcomes to signal snapshot tickers.
