run_date,source_patch_version,source_status,source_best_policy_id,source_recommendation_label,source_recommended_sim_style,source_evidence_quality,source_comparison_basis_status,primary_policy_id,secondary_policy_id,simulation_policy_style,entry_aggressiveness,exit_aggressiveness,max_paper_buy_count,max_paper_add_count,max_paper_reduce_count,allow_new_paper_buys,allow_paper_adds,allow_paper_reduces,allow_paper_exit_review,options_risk_filter_mode,event_risk_filter_mode,technical_exit_validation_mode,pullback_entry_mode,policy_confidence,policy_reason,official_ranking_changed,factor_weights_changed,real_trade_execution_allowed,broker_api_used,order_execution_used
2026-05-28T15:35:44+09:00,V18.49A-R1,WARN_V18_49A_R1_LIMITED_POINT_IN_TIME_EVIDENCE,BASELINE_TOP20,SIMULATION_CANDIDATE_BALANCED_LOW_EVIDENCE,SIM_BALANCED,LOW,COMPARISON_BASIS_LIMITED,BASELINE_TOP20,NONE,SIM_BALANCED,LIMITED_NORMAL,ACTIVE_REVIEW,3,1,1,TRUE,TRUE,TRUE,TRUE,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,DISABLED,REFERENCE_ONLY,LOW,LOW_EVIDENCE_NOT_READY_FOR_POLICY_WEIGHTING;LOW_EVIDENCE_BASELINE_ONLY;COMPARISON_BASIS_LIMITED_NOT_READY_FOR_POLICY_WEIGHTING,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-28T15:37:03+09:00,V18.49A-R1,WARN_V18_49A_R1_LIMITED_POINT_IN_TIME_EVIDENCE,BASELINE_TOP20,SIMULATION_CANDIDATE_BALANCED_LOW_EVIDENCE,SIM_BALANCED,LOW,COMPARISON_BASIS_LIMITED,BASELINE_TOP20,NONE,SIM_BALANCED,LIMITED_NORMAL,ACTIVE_REVIEW,3,1,1,TRUE,TRUE,TRUE,TRUE,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,DISABLED,REFERENCE_ONLY,LOW,LOW_EVIDENCE_NOT_READY_FOR_POLICY_WEIGHTING;LOW_EVIDENCE_BASELINE_ONLY;COMPARISON_BASIS_LIMITED_NOT_READY_FOR_POLICY_WEIGHTING,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-28T21:05:53+09:00,V18.49A-R1,WARN_V18_49A_R1_LIMITED_POINT_IN_TIME_EVIDENCE,BASELINE_TOP20,SIMULATION_CANDIDATE_BALANCED_LOW_EVIDENCE,SIM_BALANCED,LOW,COMPARISON_BASIS_LIMITED,BASELINE_TOP20,NONE,SIM_BALANCED,LIMITED_NORMAL,ACTIVE_REVIEW,3,1,1,TRUE,TRUE,TRUE,TRUE,LIMITED_HISTORY_NOT_PROMOTED,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,DISABLED,REFERENCE_ONLY,LOW,LOW_EVIDENCE_NOT_READY_FOR_POLICY_WEIGHTING;LOW_EVIDENCE_BASELINE_ONLY;COMPARISON_BASIS_LIMITED_NOT_READY_FOR_POLICY_WEIGHTING;OPTIONS_RISK_FILTERED_NOT_PROMOTED_LIMITED_HISTORY,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-28T21:06:06+09:00,V18.49A-R1,WARN_V18_49A_R1_LIMITED_POINT_IN_TIME_EVIDENCE,BASELINE_TOP20,SIMULATION_CANDIDATE_BALANCED_LOW_EVIDENCE,SIM_BALANCED,LOW,COMPARISON_BASIS_LIMITED,BASELINE_TOP20,NONE,SIM_BALANCED,LIMITED_NORMAL,ACTIVE_REVIEW,3,1,1,TRUE,TRUE,TRUE,TRUE,LIMITED_HISTORY_NOT_PROMOTED,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,DISABLED,REFERENCE_ONLY,LOW,LOW_EVIDENCE_NOT_READY_FOR_POLICY_WEIGHTING;LOW_EVIDENCE_BASELINE_ONLY;COMPARISON_BASIS_LIMITED_NOT_READY_FOR_POLICY_WEIGHTING;OPTIONS_RISK_FILTERED_NOT_PROMOTED_LIMITED_HISTORY,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-28T22:49:36+09:00,V18.49A-R1,WARN_V18_49A_MISSING_PRICE_HISTORY,NONE,INSUFFICIENT_EVIDENCE,SIM_EXIT_VALIDATION,INSUFFICIENT,INSUFFICIENT_MATCHED_EVIDENCE,NONE,NONE,SIM_EXIT_VALIDATION,LIMITED,EXIT_VALIDATION_ONLY,1,0,1,FALSE,FALSE,TRUE,TRUE,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,DISABLED,REFERENCE_ONLY,LOW,OPTIONS_RISK_FILTERED_NOT_PROMOTED_LIMITED_HISTORY,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-28T22:49:49+09:00,V18.49A-R1,WARN_V18_49A_MISSING_PRICE_HISTORY,NONE,INSUFFICIENT_EVIDENCE,SIM_EXIT_VALIDATION,INSUFFICIENT,INSUFFICIENT_MATCHED_EVIDENCE,NONE,NONE,SIM_EXIT_VALIDATION,LIMITED,EXIT_VALIDATION_ONLY,1,0,1,FALSE,FALSE,TRUE,TRUE,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,DISABLED,REFERENCE_ONLY,LOW,OPTIONS_RISK_FILTERED_NOT_PROMOTED_LIMITED_HISTORY,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-30T16:52:02+09:00,V18.49A-R1,WARN_V18_49A_MISSING_PRICE_HISTORY,NONE,INSUFFICIENT_EVIDENCE,SIM_EXIT_VALIDATION,INSUFFICIENT,INSUFFICIENT_MATCHED_EVIDENCE,NONE,NONE,SIM_EXIT_VALIDATION,LIMITED,EXIT_VALIDATION_ONLY,1,0,1,FALSE,FALSE,TRUE,TRUE,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,DISABLED,REFERENCE_ONLY,LOW,OPTIONS_RISK_FILTERED_NOT_PROMOTED_LIMITED_HISTORY,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-30T16:52:04+09:00,V18.49A-R1,WARN_V18_49A_MISSING_PRICE_HISTORY,NONE,INSUFFICIENT_EVIDENCE,SIM_EXIT_VALIDATION,INSUFFICIENT,INSUFFICIENT_MATCHED_EVIDENCE,NONE,NONE,SIM_EXIT_VALIDATION,LIMITED,EXIT_VALIDATION_ONLY,1,0,1,FALSE,FALSE,TRUE,TRUE,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,DISABLED,REFERENCE_ONLY,LOW,OPTIONS_RISK_FILTERED_NOT_PROMOTED_LIMITED_HISTORY,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-30T21:35:33+09:00,V18.49A-R1,WARN_V18_49A_MISSING_PRICE_HISTORY,NONE,INSUFFICIENT_EVIDENCE,SIM_EXIT_VALIDATION,INSUFFICIENT,INSUFFICIENT_MATCHED_EVIDENCE,NONE,NONE,SIM_EXIT_VALIDATION,LIMITED,EXIT_VALIDATION_ONLY,1,0,1,FALSE,FALSE,TRUE,TRUE,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,DISABLED,REFERENCE_ONLY,LOW,OPTIONS_RISK_FILTERED_NOT_PROMOTED_LIMITED_HISTORY,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-30T21:38:27+09:00,V18.49A-R1,WARN_V18_49A_MISSING_PRICE_HISTORY,NONE,INSUFFICIENT_EVIDENCE,SIM_EXIT_VALIDATION,INSUFFICIENT,INSUFFICIENT_MATCHED_EVIDENCE,NONE,NONE,SIM_EXIT_VALIDATION,LIMITED,EXIT_VALIDATION_ONLY,1,0,1,FALSE,FALSE,TRUE,TRUE,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,DISABLED,REFERENCE_ONLY,LOW,OPTIONS_RISK_FILTERED_NOT_PROMOTED_LIMITED_HISTORY,FALSE,FALSE,FALSE,FALSE,FALSE
2026-05-30T21:53:07+09:00,V18.49A-R1,WARN_V18_49A_MISSING_PRICE_HISTORY,NONE,INSUFFICIENT_EVIDENCE,SIM_EXIT_VALIDATION,INSUFFICIENT,INSUFFICIENT_MATCHED_EVIDENCE,NONE,NONE,SIM_EXIT_VALIDATION,LIMITED,EXIT_VALIDATION_ONLY,1,0,1,FALSE,FALSE,TRUE,TRUE,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,CURRENT_CONTEXT_ONLY_OR_LIMITED_HISTORY,DISABLED,REFERENCE_ONLY,LOW,OPTIONS_RISK_FILTERED_NOT_PROMOTED_LIMITED_HISTORY,FALSE,FALSE,FALSE,FALSE,FALSE
