run_date,rank,ticker,latest_price_date,source_policy_id,source_chain,simulation_action,real_position_action,section,item,value,details
2026-05-31T03:25:49+09:00,1,VIAV,2026-05-29,BASELINE_TOP20,outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_CANDIDATES.csv,PAPER_BUY_CANDIDATE,REAL_POSITION_DATA_MISSING,current_top20_action,Top20 candidate action row,VIAV,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;TOP20_CANDIDATE_WITHIN_POLICY_CAP
2026-05-31T03:25:49+09:00,2,BW,2026-05-29,BASELINE_TOP20,outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_CANDIDATES.csv,PAPER_BUY_CANDIDATE,REAL_POSITION_DATA_MISSING,current_top20_action,Top20 candidate action row,BW,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;TOP20_CANDIDATE_WITHIN_POLICY_CAP
2026-05-31T03:25:49+09:00,3,AEHR,2026-05-29,BASELINE_TOP20,outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_CANDIDATES.csv,PAPER_BUY_CANDIDATE,REAL_POSITION_DATA_MISSING,current_top20_action,Top20 candidate action row,AEHR,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;TOP20_CANDIDATE_WITHIN_POLICY_CAP
2026-05-31T03:25:49+09:00,4,INTC,2026-05-29,BASELINE_TOP20,outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_CANDIDATES.csv,PAPER_SKIP_POLICY_LIMIT,REAL_POSITION_DATA_MISSING,current_top20_action,Top20 candidate action row,INTC,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED
2026-05-31T03:25:49+09:00,5,SITM,2026-05-29,BASELINE_TOP20,outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_CANDIDATES.csv,PAPER_SKIP_POLICY_LIMIT,REAL_POSITION_DATA_MISSING,current_top20_action,Top20 candidate action row,SITM,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED
2026-05-31T03:25:49+09:00,6,FORM,2026-05-29,BASELINE_TOP20,outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_CANDIDATES.csv,PAPER_SKIP_POLICY_LIMIT,REAL_POSITION_DATA_MISSING,current_top20_action,Top20 candidate action row,FORM,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED
2026-05-31T03:25:49+09:00,7,TSEM,2026-05-29,BASELINE_TOP20,outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_CANDIDATES.csv,PAPER_SKIP_POLICY_LIMIT,REAL_POSITION_DATA_MISSING,current_top20_action,Top20 candidate action row,TSEM,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED
2026-05-31T03:25:49+09:00,8,LITE,2026-05-29,BASELINE_TOP20,outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_CANDIDATES.csv,PAPER_SKIP_POLICY_LIMIT,REAL_POSITION_DATA_MISSING,current_top20_action,Top20 candidate action row,LITE,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED;OPTIONS_RISK_CAUTION_ONLY_NOT_PROMOTED_BY_V18_49B_R1
2026-05-31T03:25:49+09:00,9,WOLF,2026-05-29,BASELINE_TOP20,outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_CANDIDATES.csv,PAPER_SKIP_POLICY_LIMIT,REAL_POSITION_DATA_MISSING,current_top20_action,Top20 candidate action row,WOLF,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED
2026-05-31T03:25:49+09:00,10,BE,2026-05-29,BASELINE_TOP20,outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_CANDIDATES.csv,PAPER_SKIP_POLICY_LIMIT,REAL_POSITION_DATA_MISSING,current_top20_action,Top20 candidate action row,BE,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED
