ticker,official_path,backup_path,status,notes
OKTA,state/v18/price_cache/OKTA.csv,state/v18/price_cache/OKTA.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
OLMA,state/v18/price_cache/OLMA.csv,state/v18/price_cache/OLMA.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
OLPX,state/v18/price_cache/OLPX.csv,state/v18/price_cache/OLPX.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
OPCH,state/v18/price_cache/OPCH.csv,state/v18/price_cache/OPCH.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PATH,state/v18/price_cache/PATH.csv,state/v18/price_cache/PATH.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PCOR,state/v18/price_cache/PCOR.csv,state/v18/price_cache/PCOR.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PCT,state/v18/price_cache/PCT.csv,state/v18/price_cache/PCT.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PDD,state/v18/price_cache/PDD.csv,state/v18/price_cache/PDD.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PFGC,state/v18/price_cache/PFGC.csv,state/v18/price_cache/PFGC.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PGNY,state/v18/price_cache/PGNY.csv,state/v18/price_cache/PGNY.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PI,state/v18/price_cache/PI.csv,state/v18/price_cache/PI.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PINS,state/v18/price_cache/PINS.csv,state/v18/price_cache/PINS.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PLUG,state/v18/price_cache/PLUG.csv,state/v18/price_cache/PLUG.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PM,state/v18/price_cache/PM.csv,state/v18/price_cache/PM.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PSIX,state/v18/price_cache/PSIX.csv,state/v18/price_cache/PSIX.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PTGX,state/v18/price_cache/PTGX.csv,state/v18/price_cache/PTGX.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PTON,state/v18/price_cache/PTON.csv,state/v18/price_cache/PTON.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PUMP,state/v18/price_cache/PUMP.csv,state/v18/price_cache/PUMP.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
PYPL,state/v18/price_cache/PYPL.csv,state/v18/price_cache/PYPL.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
QS,state/v18/price_cache/QS.csv,state/v18/price_cache/QS.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
QSR,state/v18/price_cache/QSR.csv,state/v18/price_cache/QSR.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
RBLX,state/v18/price_cache/RBLX.csv,state/v18/price_cache/RBLX.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
RERE,state/v18/price_cache/RERE.csv,state/v18/price_cache/RERE.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
RH,state/v18/price_cache/RH.csv,state/v18/price_cache/RH.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
RIOT,state/v18/price_cache/RIOT.csv,state/v18/price_cache/RIOT.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
RKT,state/v18/price_cache/RKT.csv,state/v18/price_cache/RKT.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
RNG,state/v18/price_cache/RNG.csv,state/v18/price_cache/RNG.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
ROKU,state/v18/price_cache/ROKU.csv,state/v18/price_cache/ROKU.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
RSP,state/v18/price_cache/RSP.csv,state/v18/price_cache/RSP.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
RTX,state/v18/price_cache/RTX.csv,state/v18/price_cache/RTX.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
