file_type,ticker,relative_path,exists,row_count,min_date,max_date,notes
PER_TICKER_STAGED_HISTORY,CLH,data/v18/staged_backfill/V18_23C_BATCH2/CLH.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,CLSK,data/v18/staged_backfill/V18_23C_BATCH2/CLSK.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,CMG,data/v18/staged_backfill/V18_23C_BATCH2/CMG.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,LINE,data/v18/staged_backfill/V18_23C_BATCH2/LINE.csv,TRUE,457,2024-07-25,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,LPLA,data/v18/staged_backfill/V18_23C_BATCH2/LPLA.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,LSCC,data/v18/staged_backfill/V18_23C_BATCH2/LSCC.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,LYB,data/v18/staged_backfill/V18_23C_BATCH2/LYB.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,LYFT,data/v18/staged_backfill/V18_23C_BATCH2/LYFT.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,MA,data/v18/staged_backfill/V18_23C_BATCH2/MA.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,MCK,data/v18/staged_backfill/V18_23C_BATCH2/MCK.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,MELI,data/v18/staged_backfill/V18_23C_BATCH2/MELI.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,MNTN,data/v18/staged_backfill/V18_23C_BATCH2/MNTN.csv,TRUE,250,2025-05-22,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,MOH,data/v18/staged_backfill/V18_23C_BATCH2/MOH.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,MPLX,data/v18/staged_backfill/V18_23C_BATCH2/MPLX.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,MPW,,FALSE,0,,,EMPTY
PER_TICKER_STAGED_HISTORY,MTSI,data/v18/staged_backfill/V18_23C_BATCH2/MTSI.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,MTZ,data/v18/staged_backfill/V18_23C_BATCH2/MTZ.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,NAMS,data/v18/staged_backfill/V18_23C_BATCH2/NAMS.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,NFLX,data/v18/staged_backfill/V18_23C_BATCH2/NFLX.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,NI,data/v18/staged_backfill/V18_23C_BATCH2/NI.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,NRG,data/v18/staged_backfill/V18_23C_BATCH2/NRG.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,NTRA,data/v18/staged_backfill/V18_23C_BATCH2/NTRA.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,NU,data/v18/staged_backfill/V18_23C_BATCH2/NU.csv,TRUE,1115,2021-12-09,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,NUVB,data/v18/staged_backfill/V18_23C_BATCH2/NUVB.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,NVAX,data/v18/staged_backfill/V18_23C_BATCH2/NVAX.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
PER_TICKER_STAGED_HISTORY,OC,data/v18/staged_backfill/V18_23C_BATCH2/OC.csv,TRUE,1262,2021-05-12,2026-05-20,SUCCESS
COMBINED_STAGED_HISTORY,ALL,data/v18/staged_backfill/V18_23C_BATCH2/V18_23C_BATCH2_STAGED_PRICE_HISTORY.csv,TRUE,72087,,,Combined Batch 2 staged file.
