ticker,file_type,relative_path,exists,row_count,notes
OKTA,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/OKTA.csv,TRUE,2293,FETCH_SUCCESS_FULL_HISTORY
OKTA,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/OKTA.csv,TRUE,2293,FETCH_SUCCESS_FULL_HISTORY
OLMA,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/OLMA.csv,TRUE,1381,FETCH_SUCCESS_FULL_HISTORY
OLMA,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/OLMA.csv,TRUE,1381,FETCH_SUCCESS_FULL_HISTORY
OLPX,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/OLPX.csv,TRUE,1165,FETCH_SUCCESS_FULL_HISTORY
OLPX,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/OLPX.csv,TRUE,1165,FETCH_SUCCESS_FULL_HISTORY
OPCH,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/OPCH.csv,TRUE,7489,FETCH_SUCCESS_FULL_HISTORY
OPCH,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/OPCH.csv,TRUE,7489,FETCH_SUCCESS_FULL_HISTORY
PATH,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PATH.csv,TRUE,1278,FETCH_SUCCESS_FULL_HISTORY
PATH,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PATH.csv,TRUE,1278,FETCH_SUCCESS_FULL_HISTORY
PCOR,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PCOR.csv,TRUE,1257,FETCH_SUCCESS_FULL_HISTORY
PCOR,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PCOR.csv,TRUE,1257,FETCH_SUCCESS_FULL_HISTORY
PCT,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PCT.csv,TRUE,1472,FETCH_SUCCESS_FULL_HISTORY
PCT,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PCT.csv,TRUE,1472,FETCH_SUCCESS_FULL_HISTORY
PDD,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PDD.csv,TRUE,1966,FETCH_SUCCESS_FULL_HISTORY
PDD,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PDD.csv,TRUE,1966,FETCH_SUCCESS_FULL_HISTORY
PFGC,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PFGC.csv,TRUE,2676,FETCH_SUCCESS_FULL_HISTORY
PFGC,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PFGC.csv,TRUE,2676,FETCH_SUCCESS_FULL_HISTORY
PGNY,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PGNY.csv,TRUE,1651,FETCH_SUCCESS_FULL_HISTORY
PGNY,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PGNY.csv,TRUE,1651,FETCH_SUCCESS_FULL_HISTORY
PI,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PI.csv,TRUE,2473,FETCH_SUCCESS_FULL_HISTORY
PI,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PI.csv,TRUE,2473,FETCH_SUCCESS_FULL_HISTORY
PINS,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PINS.csv,TRUE,1783,FETCH_SUCCESS_FULL_HISTORY
PINS,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PINS.csv,TRUE,1783,FETCH_SUCCESS_FULL_HISTORY
PLUG,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PLUG.csv,TRUE,6680,FETCH_SUCCESS_FULL_HISTORY
PLUG,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PLUG.csv,TRUE,6680,FETCH_SUCCESS_FULL_HISTORY
PM,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PM.csv,TRUE,4575,FETCH_SUCCESS_FULL_HISTORY
PM,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PM.csv,TRUE,4575,FETCH_SUCCESS_FULL_HISTORY
PONY,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PONY.csv,TRUE,370,FETCH_SUCCESS_PARTIAL_HISTORY
PONY,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PONY.csv,TRUE,370,FETCH_SUCCESS_PARTIAL_HISTORY
PSIX,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PSIX.csv,TRUE,3545,FETCH_SUCCESS_FULL_HISTORY
PSIX,normalized,data/v18/staged_backfill/V18_25A_BATCH3/normalized/PSIX.csv,TRUE,3545,FETCH_SUCCESS_FULL_HISTORY
PTGX,raw,data/v18/staged_backfill/V18_25A_BATCH3/raw/PTGX.csv,TRUE,2458,FETCH_SUCCESS_FULL_HISTORY
