ticker,original_path,backup_path,original_existed,backup_created,restore_action
AA,D:\us-tech-quant\state\v18\price_cache\AA.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AA.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AAL,D:\us-tech-quant\state\v18\price_cache\AAL.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AAL.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ABR,D:\us-tech-quant\state\v18\price_cache\ABR.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ABR.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ADBE,D:\us-tech-quant\state\v18\price_cache\ADBE.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ADBE.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ADMA,D:\us-tech-quant\state\v18\price_cache\ADMA.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ADMA.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ADSK,D:\us-tech-quant\state\v18\price_cache\ADSK.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ADSK.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AEIS,D:\us-tech-quant\state\v18\price_cache\AEIS.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AEIS.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AEVA,D:\us-tech-quant\state\v18\price_cache\AEVA.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AEVA.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AFRM,D:\us-tech-quant\state\v18\price_cache\AFRM.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AFRM.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AGX,D:\us-tech-quant\state\v18\price_cache\AGX.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AGX.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ALM,D:\us-tech-quant\state\v18\price_cache\ALM.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ALM.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
APG,D:\us-tech-quant\state\v18\price_cache\APG.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\APG.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
APO,D:\us-tech-quant\state\v18\price_cache\APO.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\APO.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
APP,D:\us-tech-quant\state\v18\price_cache\APP.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\APP.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ARGT,D:\us-tech-quant\state\v18\price_cache\ARGT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\ARGT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
AXON,D:\us-tech-quant\state\v18\price_cache\AXON.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\AXON.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BABA,D:\us-tech-quant\state\v18\price_cache\BABA.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BABA.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BAC,D:\us-tech-quant\state\v18\price_cache\BAC.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BAC.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BALL,D:\us-tech-quant\state\v18\price_cache\BALL.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BALL.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BIDU,D:\us-tech-quant\state\v18\price_cache\BIDU.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BIDU.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BITF,D:\us-tech-quant\state\v18\price_cache\BITF.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BITF.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BKNG,D:\us-tech-quant\state\v18\price_cache\BKNG.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BKNG.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
BLTE,D:\us-tech-quant\state\v18\price_cache\BLTE.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R6_20260521_160907\BLTE.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
