ticker,staged_local_price_available,staged_row_count,latest_staged_date,min_staged_date,history_span_days,minimum_history_threshold_met,staged_scan_status
AA,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
AAL,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
ABR,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
ADBE,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
ADMA,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
ADSK,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
AEIS,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
AEVA,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
AFRM,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
AGX,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
ALM,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
AMC,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
APG,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
APLD,TRUE,1029,2026-05-20,2022-04-13,1498,TRUE,STAGED_FULL_HISTORY_READY
APO,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
APP,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
ARGT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
AXON,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
BABA,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
BAC,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
BALL,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
BIDU,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
BITF,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
BKNG,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
BLSH,TRUE,194,2026-05-20,2025-08-13,280,FALSE,STAGED_INSUFFICIENT_HISTORY
BLTE,TRUE,1018,2026-05-20,2022-04-29,1482,TRUE,STAGED_FULL_HISTORY_READY
BN,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
BSX,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
BW,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
BYND,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CAI,TRUE,232,2026-05-20,2025-06-18,336,FALSE,STAGED_INSUFFICIENT_HISTORY
CART,TRUE,670,2026-05-20,2023-09-19,974,TRUE,STAGED_FULL_HISTORY_READY
CDNS,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CDTX,FALSE,0,,,0,FALSE,STAGED_EMPTY_DATA
CFLT,FALSE,0,,,0,FALSE,STAGED_EMPTY_DATA
CHPT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CHRW,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CHYM,TRUE,236,2026-05-20,2025-06-12,342,FALSE,STAGED_INSUFFICIENT_HISTORY
CLF,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CLH,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CLSK,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CMG,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
LINE,TRUE,457,2026-05-20,2024-07-25,664,FALSE,STAGED_INSUFFICIENT_HISTORY
LPLA,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
LSCC,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
LYB,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
