priority_rank,ticker,current_output_bucket,trust_level,official_rank_allowed,watch_only,trade_allowed,data_gap_reason,rolling_ledger_status,never_success,stale_or_overdue,official_price_cache_available,factor_present,technical_present,tier_migration_present,held_out_from_previous_batch,previous_hold_reason,batch3_candidate,batch3_priority_rank,selection_reason,exclusion_reason
11,PI,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,11,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
12,PINS,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,12,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
13,PLUG,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,13,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
14,PM,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,14,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
15,PONY,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,15,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
16,PSIX,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,16,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
17,PTGX,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,17,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
18,PTON,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,18,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
19,PUMP,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,19,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
20,PYPL,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,20,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
