batch_id,ticker,fetch_attempted,fetch_status,failure_reason,requested_start_date,requested_end_date,actual_min_date,actual_max_date,row_count,schema_valid,staged_file_path
V18_23C_BATCH2,AA,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AA.csv
V18_23C_BATCH2,AAL,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AAL.csv
V18_23C_BATCH2,ABR,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ABR.csv
V18_23C_BATCH2,ADBE,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ADBE.csv
V18_23C_BATCH2,ADMA,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ADMA.csv
V18_23C_BATCH2,ADSK,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ADSK.csv
V18_23C_BATCH2,AEIS,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AEIS.csv
V18_23C_BATCH2,AEVA,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AEVA.csv
V18_23C_BATCH2,AFRM,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AFRM.csv
V18_23C_BATCH2,AGX,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AGX.csv
V18_23C_BATCH2,ALM,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ALM.csv
V18_23C_BATCH2,AMC,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AMC.csv
V18_23C_BATCH2,APG,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\APG.csv
V18_23C_BATCH2,APLD,TRUE,SUCCESS,,2021-05-12,2026-05-21,2022-04-13,2026-05-20,1029,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\APLD.csv
V18_23C_BATCH2,APO,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\APO.csv
V18_23C_BATCH2,APP,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\APP.csv
V18_23C_BATCH2,ARGT,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ARGT.csv
V18_23C_BATCH2,AXON,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AXON.csv
V18_23C_BATCH2,BABA,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BABA.csv
V18_23C_BATCH2,BAC,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BAC.csv
V18_23C_BATCH2,BALL,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BALL.csv
V18_23C_BATCH2,BIDU,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BIDU.csv
V18_23C_BATCH2,BITF,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BITF.csv
V18_23C_BATCH2,BKNG,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BKNG.csv
V18_23C_BATCH2,BLSH,TRUE,SUCCESS,,2021-05-12,2026-05-21,2025-08-13,2026-05-20,194,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BLSH.csv
V18_23C_BATCH2,BLTE,TRUE,SUCCESS,,2021-05-12,2026-05-21,2022-04-29,2026-05-20,1018,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BLTE.csv
V18_23C_BATCH2,BN,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BN.csv
V18_23C_BATCH2,BSX,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BSX.csv
V18_23C_BATCH2,BW,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BW.csv
V18_23C_BATCH2,BYND,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BYND.csv
V18_23C_BATCH2,CAI,TRUE,SUCCESS,,2021-05-12,2026-05-21,2025-06-18,2026-05-20,232,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CAI.csv
V18_23C_BATCH2,CART,TRUE,SUCCESS,,2021-05-12,2026-05-21,2023-09-19,2026-05-20,670,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CART.csv
V18_23C_BATCH2,CDNS,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CDNS.csv
V18_23C_BATCH2,CDTX,TRUE,EMPTY,EMPTY_DATA,2021-05-12,2026-05-21,,,0,FALSE,
V18_23C_BATCH2,CFLT,TRUE,EMPTY,EMPTY_DATA,2021-05-12,2026-05-21,,,0,FALSE,
V18_23C_BATCH2,CHPT,TRUE,SUCCESS,,2021-05-12,2026-05-21,2021-05-12,2026-05-20,1262,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CHPT.csv
