batch_id,ticker,fetch_status,staged_file_exists,staged_row_count,staged_min_date,staged_max_date,latest_date_age_days,has_required_ohlcv_columns,close_non_null_count,volume_non_null_count,duplicate_date_count,missing_date_or_parse_issue_count,non_positive_close_count,suspicious_large_gap_count,suspicious_return_outlier_count,staged_local_price_scan_success_from_r4,staged_full_history_ready_from_r4,staged_insufficient_history_from_r4,official_price_overlap_found,existing_official_latest_date,staged_newer_than_official,recommended_integration_action,integration_block_reason,quality_grade,classification
V18_23C_BATCH2,BALL,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,BIDU,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,BITF,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,BKNG,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,BLSH,SUCCESS,TRUE,194,2025-08-13,2026-05-20,1,TRUE,194,194,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,,UNKNOWN,DRY_RUN_MERGE_PRICE_ONLY_PARTIAL_HISTORY,Not factor-ready.,B,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY
V18_23C_BATCH2,BLTE,SUCCESS,TRUE,1018,2022-04-29,2026-05-20,1,TRUE,1018,1018,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,BN,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,BSX,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,BW,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,2,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,HOLD_REVIEW,Suspicious staged data quality issue.,C,HOLD_SUSPICIOUS_PRICE_DATA
V18_23C_BATCH2,BYND,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,2,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,HOLD_REVIEW,Suspicious staged data quality issue.,C,HOLD_SUSPICIOUS_PRICE_DATA
V18_23C_BATCH2,CAI,SUCCESS,TRUE,232,2025-06-18,2026-05-20,1,TRUE,232,232,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,,UNKNOWN,DRY_RUN_MERGE_PRICE_ONLY_PARTIAL_HISTORY,Not factor-ready.,B,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY
