batch3_priority_rank,ticker,exclusion_reason,held_out_from_previous_batch,previous_hold_reason,current_output_bucket,trust_level
66,USFD,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
67,V,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
68,VEEV,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
69,VIAV,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
70,VIST,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
71,VMC,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
72,WAB,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
73,WDAY,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
74,WHR,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
75,WING,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
76,WLK,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
77,WOLF,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
78,WULF,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
79,WVE,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
80,WWD,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
81,WYFI,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
82,XENE,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
83,XLF,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
84,XPO,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
85,XYZ,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
86,YPF,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
87,Z,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
88,ZG,BATCH_SIZE_CAP_65,FALSE,NONE,DATA_NOT_READY,NONE
