ticker,r16_candidate,r17_fetch_attempted,fetch_success,fetch_empty,fetch_fail,raw_file_exists,normalized_file_exists,normalized_row_count,min_date,max_date,latest_date,close_column_available,close_non_null_count,duplicate_date_count,negative_or_zero_close_count,suspicious_gap_count,full_history_ready,partial_history,invalid_artifact,artifact_reason,quality_status,integration_gate_decision,hold_reason,recommended_next_action
PYPL,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2737,2015-07-06,2026-05-21,2026-05-21,TRUE,2737,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
QS,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1448,2020-08-17,2026-05-21,2026-05-21,TRUE,1448,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
QSR,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2877,2014-12-11,2026-05-21,2026-05-21,TRUE,2877,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RBLX,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1307,2021-03-10,2026-05-21,2026-05-21,TRUE,1307,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RDDT,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,544,2024-03-21,2026-05-21,2026-05-21,TRUE,544,0,0,0,FALSE,TRUE,FALSE,,FETCH_SUCCESS_PARTIAL_HISTORY,PRICE_ONLY_PARTIAL_HOLD,Price-only partial history.,Hold out of official integration until full-history coverage is available.
RERE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1237,2021-06-18,2026-05-21,2026-05-21,TRUE,1237,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RH,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3407,2012-11-02,2026-05-21,2026-05-21,TRUE,3407,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RIOT,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2551,2016-03-31,2026-05-21,2026-05-21,TRUE,2551,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RKT,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1455,2020-08-06,2026-05-21,2026-05-21,TRUE,1455,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RNG,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3181,2013-09-27,2026-05-21,2026-05-21,TRUE,3181,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
ROKU,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2173,2017-09-28,2026-05-21,2026-05-21,TRUE,2173,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RSP,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,5802,2003-05-01,2026-05-21,2026-05-21,TRUE,5802,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RTX,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,16142,1962-04-02,2026-05-21,2026-05-21,TRUE,16142,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RVMD,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1576,2020-02-13,2026-05-21,2026-05-21,TRUE,1576,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SATS,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4626,2008-01-02,2026-05-21,2026-05-21,TRUE,4626,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SCCO,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7644,1996-01-05,2026-05-21,2026-05-21,TRUE,7644,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SCHW,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,9740,1987-09-22,2026-05-21,2026-05-21,TRUE,9740,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2157,2017-10-20,2026-05-21,2026-05-21,TRUE,2157,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SEI,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2269,2017-05-12,2026-05-21,2026-05-21,TRUE,2269,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SFIX,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2137,2017-11-17,2026-05-21,2026-05-21,TRUE,2137,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SFM,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3221,2013-08-01,2026-05-21,2026-05-21,TRUE,3221,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SHOP,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2768,2015-05-20,2026-05-21,2026-05-21,TRUE,2768,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SHW,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,11640,1980-03-17,2026-05-21,2026-05-21,TRUE,11640,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SITM,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1633,2019-11-20,2026-05-21,2026-05-21,TRUE,1633,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SMTC,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,11640,1980-03-17,2026-05-21,2026-05-21,TRUE,11640,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SNPS,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,8620,1992-02-26,2026-05-21,2026-05-21,TRUE,8620,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
SOLS,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,148,2025-10-20,2026-05-21,2026-05-21,TRUE,148,0,0,0,FALSE,TRUE,FALSE,,FETCH_SUCCESS_PARTIAL_HISTORY,PRICE_ONLY_PARTIAL_HOLD,Price-only partial history.,Hold out of official integration until full-history coverage is available.
SPOT,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2046,2018-04-03,2026-05-21,2026-05-21,TRUE,2046,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
STG,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2052,2018-03-23,2026-05-21,2026-05-21,TRUE,2052,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
STM,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7915,1994-12-08,2026-05-21,2026-05-21,TRUE,7915,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
