ticker,original_path,backup_path,original_existed,backup_created,restore_action
CNM,D:\us-tech-quant\state\v18\price_cache\CNM.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\CNM.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
COF,D:\us-tech-quant\state\v18\price_cache\COF.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\COF.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CPAY,D:\us-tech-quant\state\v18\price_cache\CPAY.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\CPAY.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CPNG,D:\us-tech-quant\state\v18\price_cache\CPNG.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\CPNG.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CRH,D:\us-tech-quant\state\v18\price_cache\CRH.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\CRH.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CRS,D:\us-tech-quant\state\v18\price_cache\CRS.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\CRS.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
CSGP,D:\us-tech-quant\state\v18\price_cache\CSGP.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\CSGP.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
DAKT,D:\us-tech-quant\state\v18\price_cache\DAKT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\DAKT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
DAL,D:\us-tech-quant\state\v18\price_cache\DAL.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\DAL.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
DASH,D:\us-tech-quant\state\v18\price_cache\DASH.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\DASH.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
DB,D:\us-tech-quant\state\v18\price_cache\DB.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\DB.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
DIS,D:\us-tech-quant\state\v18\price_cache\DIS.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\DIS.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
DOCU,D:\us-tech-quant\state\v18\price_cache\DOCU.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\DOCU.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
DUOL,D:\us-tech-quant\state\v18\price_cache\DUOL.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\DUOL.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
EEM,D:\us-tech-quant\state\v18\price_cache\EEM.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\EEM.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ENPH,D:\us-tech-quant\state\v18\price_cache\ENPH.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\ENPH.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
EQIX,D:\us-tech-quant\state\v18\price_cache\EQIX.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\EQIX.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
EQT,D:\us-tech-quant\state\v18\price_cache\EQT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\EQT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ET,D:\us-tech-quant\state\v18\price_cache\ET.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\ET.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
EWY,D:\us-tech-quant\state\v18\price_cache\EWY.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\EWY.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
EWZ,D:\us-tech-quant\state\v18\price_cache\EWZ.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\EWZ.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
FLS,D:\us-tech-quant\state\v18\price_cache\FLS.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\FLS.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
FLUT,D:\us-tech-quant\state\v18\price_cache\FLUT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\FLUT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
FWONK,D:\us-tech-quant\state\v18\price_cache\FWONK.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\FWONK.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
GEHC,D:\us-tech-quant\state\v18\price_cache\GEHC.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\GEHC.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
