ticker,staged_local_price_available,staged_row_count,latest_staged_date,min_staged_date,history_span_days,minimum_history_threshold_met,staged_scan_status
CNM,TRUE,1213,2026-05-20,2021-07-22,1763,TRUE,STAGED_FULL_HISTORY_READY
COF,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
COG,FALSE,0,,,0,FALSE,STAGED_FETCH_FAILED
COGT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CPAY,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CPNG,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CRCL,TRUE,241,2026-05-20,2025-06-05,349,FALSE,STAGED_INSUFFICIENT_HISTORY
CRH,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CRS,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CSGP,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
CVNA,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
DAKT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
DAL,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
DASH,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
DB,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
DBVT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
DIS,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
DOCU,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
DUOL,TRUE,1209,2026-05-20,2021-07-28,1757,TRUE,STAGED_FULL_HISTORY_READY
EEM,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
ENPH,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
EQIX,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
EQT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
ET,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
EWY,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
EWZ,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
FCNCA,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
FIGR,TRUE,174,2026-05-20,2025-09-11,251,FALSE,STAGED_INSUFFICIENT_HISTORY
FLS,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
FLUT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
FWONK,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
GEHC,TRUE,859,2026-05-20,2022-12-15,1252,TRUE,STAGED_FULL_HISTORY_READY
GEMI,TRUE,173,2026-05-20,2025-09-12,250,FALSE,STAGED_INSUFFICIENT_HISTORY
