ticker,staged_path,destination_path,merge_status,before_row_count,staged_row_count,after_row_count,added_or_updated_row_count,failure_reason
CNM,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CNM.csv,D:\us-tech-quant\state\v18\price_cache\CNM.csv,SUCCESS,0,1213,1213,1213,
COF,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\COF.csv,D:\us-tech-quant\state\v18\price_cache\COF.csv,SUCCESS,0,1262,1262,1262,
CPAY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CPAY.csv,D:\us-tech-quant\state\v18\price_cache\CPAY.csv,SUCCESS,0,1262,1262,1262,
CPNG,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CPNG.csv,D:\us-tech-quant\state\v18\price_cache\CPNG.csv,SUCCESS,0,1262,1262,1262,
CRH,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CRH.csv,D:\us-tech-quant\state\v18\price_cache\CRH.csv,SUCCESS,0,1262,1262,1262,
CRS,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CRS.csv,D:\us-tech-quant\state\v18\price_cache\CRS.csv,SUCCESS,0,1262,1262,1262,
CSGP,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CSGP.csv,D:\us-tech-quant\state\v18\price_cache\CSGP.csv,SUCCESS,0,1262,1262,1262,
DAKT,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DAKT.csv,D:\us-tech-quant\state\v18\price_cache\DAKT.csv,SUCCESS,0,1262,1262,1262,
DAL,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DAL.csv,D:\us-tech-quant\state\v18\price_cache\DAL.csv,SUCCESS,0,1262,1262,1262,
DASH,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DASH.csv,D:\us-tech-quant\state\v18\price_cache\DASH.csv,SUCCESS,0,1262,1262,1262,
DB,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DB.csv,D:\us-tech-quant\state\v18\price_cache\DB.csv,SUCCESS,0,1262,1262,1262,
DIS,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DIS.csv,D:\us-tech-quant\state\v18\price_cache\DIS.csv,SUCCESS,0,1262,1262,1262,
DOCU,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DOCU.csv,D:\us-tech-quant\state\v18\price_cache\DOCU.csv,SUCCESS,0,1262,1262,1262,
DUOL,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DUOL.csv,D:\us-tech-quant\state\v18\price_cache\DUOL.csv,SUCCESS,0,1209,1209,1209,
EEM,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EEM.csv,D:\us-tech-quant\state\v18\price_cache\EEM.csv,SUCCESS,0,1262,1262,1262,
ENPH,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\ENPH.csv,D:\us-tech-quant\state\v18\price_cache\ENPH.csv,SUCCESS,0,1262,1262,1262,
EQIX,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EQIX.csv,D:\us-tech-quant\state\v18\price_cache\EQIX.csv,SUCCESS,0,1262,1262,1262,
EQT,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EQT.csv,D:\us-tech-quant\state\v18\price_cache\EQT.csv,SUCCESS,0,1262,1262,1262,
ET,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\ET.csv,D:\us-tech-quant\state\v18\price_cache\ET.csv,SUCCESS,0,1262,1262,1262,
EWY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EWY.csv,D:\us-tech-quant\state\v18\price_cache\EWY.csv,SUCCESS,0,1262,1262,1262,
EWZ,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EWZ.csv,D:\us-tech-quant\state\v18\price_cache\EWZ.csv,SUCCESS,0,1262,1262,1262,
FLS,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\FLS.csv,D:\us-tech-quant\state\v18\price_cache\FLS.csv,SUCCESS,0,1262,1262,1262,
FLUT,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\FLUT.csv,D:\us-tech-quant\state\v18\price_cache\FLUT.csv,SUCCESS,0,1262,1262,1262,
FWONK,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\FWONK.csv,D:\us-tech-quant\state\v18\price_cache\FWONK.csv,SUCCESS,0,1262,1262,1262,
GEHC,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GEHC.csv,D:\us-tech-quant\state\v18\price_cache\GEHC.csv,SUCCESS,0,859,859,859,
GOOG,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GOOG.csv,D:\us-tech-quant\state\v18\price_cache\GOOG.csv,SUCCESS,0,1262,1262,1262,
GRAB,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GRAB.csv,D:\us-tech-quant\state\v18\price_cache\GRAB.csv,SUCCESS,0,1262,1262,1262,
GS,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GS.csv,D:\us-tech-quant\state\v18\price_cache\GS.csv,SUCCESS,0,1262,1262,1262,
GSG,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GSG.csv,D:\us-tech-quant\state\v18\price_cache\GSG.csv,SUCCESS,0,1262,1262,1262,
GT,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GT.csv,D:\us-tech-quant\state\v18\price_cache\GT.csv,SUCCESS,0,1262,1262,1262,
HIVE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\HIVE.csv,D:\us-tech-quant\state\v18\price_cache\HIVE.csv,SUCCESS,0,1262,1262,1262,
HLT,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\HLT.csv,D:\us-tech-quant\state\v18\price_cache\HLT.csv,SUCCESS,0,1262,1262,1262,
HUBS,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\HUBS.csv,D:\us-tech-quant\state\v18\price_cache\HUBS.csv,SUCCESS,0,1262,1262,1262,
HUM,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\HUM.csv,D:\us-tech-quant\state\v18\price_cache\HUM.csv,SUCCESS,0,1262,1262,1262,
HUT,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\HUT.csv,D:\us-tech-quant\state\v18\price_cache\HUT.csv,SUCCESS,0,1262,1262,1262,
IBIT,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\IBIT.csv,D:\us-tech-quant\state\v18\price_cache\IBIT.csv,SUCCESS,0,591,591,591,
INFY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\INFY.csv,D:\us-tech-quant\state\v18\price_cache\INFY.csv,SUCCESS,0,1262,1262,1262,
ISRG,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\ISRG.csv,D:\us-tech-quant\state\v18\price_cache\ISRG.csv,SUCCESS,0,1262,1262,1262,
IWM,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\IWM.csv,D:\us-tech-quant\state\v18\price_cache\IWM.csv,SUCCESS,0,1262,1262,1262,
JCI,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\JCI.csv,D:\us-tech-quant\state\v18\price_cache\JCI.csv,SUCCESS,0,1262,1262,1262,
JD,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\JD.csv,D:\us-tech-quant\state\v18\price_cache\JD.csv,SUCCESS,0,1262,1262,1262,
JHX,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\JHX.csv,D:\us-tech-quant\state\v18\price_cache\JHX.csv,SUCCESS,0,1262,1262,1262,
KKR,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\KKR.csv,D:\us-tech-quant\state\v18\price_cache\KKR.csv,SUCCESS,0,1262,1262,1262,
KNX,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\KNX.csv,D:\us-tech-quant\state\v18\price_cache\KNX.csv,SUCCESS,0,1262,1262,1262,
KRC,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\KRC.csv,D:\us-tech-quant\state\v18\price_cache\KRC.csv,SUCCESS,0,1262,1262,1262,
KVYO,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\KVYO.csv,D:\us-tech-quant\state\v18\price_cache\KVYO.csv,SUCCESS,0,669,669,669,
KWEB,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\KWEB.csv,D:\us-tech-quant\state\v18\price_cache\KWEB.csv,SUCCESS,0,1262,1262,1262,
LBRT,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\LBRT.csv,D:\us-tech-quant\state\v18\price_cache\LBRT.csv,SUCCESS,0,1262,1262,1262,
LCID,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\LCID.csv,D:\us-tech-quant\state\v18\price_cache\LCID.csv,SUCCESS,0,1262,1262,1262,
LHX,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\LHX.csv,D:\us-tech-quant\state\v18\price_cache\LHX.csv,SUCCESS,0,1262,1262,1262,
LIN,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\LIN.csv,D:\us-tech-quant\state\v18\price_cache\LIN.csv,SUCCESS,0,1262,1262,1262,
