batch3_priority_rank,ticker,hold_reason,classification,current_output_bucket,trust_level,official_price_cache_available,factor_present,technical_present
1,COG,Empty provider response.,HOLD_EMPTY_FETCH,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
2,COGT,Suspicious staged data quality issue.,HOLD_SUSPICIOUS_PRICE_DATA,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
3,CRCL,Not full factor-ready.,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
4,CVNA,Suspicious staged data quality issue.,HOLD_SUSPICIOUS_PRICE_DATA,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
5,DBVT,Suspicious staged data quality issue.,HOLD_SUSPICIOUS_PRICE_DATA,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
6,FCNCA,Suspicious staged data quality issue.,HOLD_SUSPICIOUS_PRICE_DATA,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
7,FIGR,Not full factor-ready.,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
8,GEMI,Not full factor-ready.,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
9,HOOD,Suspicious staged data quality issue.,HOLD_SUSPICIOUS_PRICE_DATA,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
10,HTZ,Suspicious staged data quality issue.,HOLD_SUSPICIOUS_PRICE_DATA,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
11,INSM,Suspicious staged data quality issue.,HOLD_SUSPICIOUS_PRICE_DATA,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
12,JBS,Not full factor-ready.,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
13,JFROG,Empty provider response.,HOLD_EMPTY_FETCH,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
14,KLAR,Not full factor-ready.,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE
