ticker,fetch_status,staged_file_exists,staged_row_count,staged_min_date,staged_max_date,latest_date_age_days,has_required_ohlcv_columns,close_non_null_count,volume_non_null_count,duplicate_date_count,missing_date_or_parse_issue_count,non_positive_close_count,suspicious_large_gap_count,suspicious_return_outlier_count,full_history_ready_from_v18_23C,staged_local_price_scan_success_from_v18_23C,insufficient_history_flag_from_v18_23C,official_price_overlap_found,existing_official_latest_date,staged_newer_than_official,recommended_integration_action,integration_block_reason,quality_score,quality_grade,classification
EWZ,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
FIGR,SUCCESS,TRUE,174,2025-09-11,2026-05-20,1,TRUE,174,174,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,,TRUE,DRY_RUN_MERGE_PRICE_ONLY_PARTIAL_HISTORY,Not full factor-ready.,90,A,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY
FLS,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
FLUT,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
FWONK,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
GEHC,SUCCESS,TRUE,859,2022-12-15,2026-05-20,1,TRUE,859,859,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
GEMI,SUCCESS,TRUE,173,2025-09-12,2026-05-20,1,TRUE,173,173,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,,TRUE,DRY_RUN_MERGE_PRICE_ONLY_PARTIAL_HISTORY,Not full factor-ready.,90,A,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY
GOOG,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
GRAB,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
GS,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
GSG,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
GT,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
HIVE,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
HLT,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
HUBS,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
HUM,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
HUT,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
IBIT,SUCCESS,TRUE,591,2024-01-11,2026-05-20,1,TRUE,591,591,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
INFY,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
ISRG,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
IWM,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
JBS,SUCCESS,TRUE,235,2025-06-13,2026-05-20,1,TRUE,235,235,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,,TRUE,DRY_RUN_MERGE_PRICE_ONLY_PARTIAL_HISTORY,Not full factor-ready.,90,A,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY
JCI,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
JD,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
JHX,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
KKR,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
KLAR,SUCCESS,TRUE,174,2025-09-11,2026-05-20,1,TRUE,174,174,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,,TRUE,DRY_RUN_MERGE_PRICE_ONLY_PARTIAL_HISTORY,Not full factor-ready.,90,A,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY
KNX,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
KRC,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
KVYO,SUCCESS,TRUE,669,2023-09-20,2026-05-20,1,TRUE,669,669,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
KWEB,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
LBRT,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
LCID,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
LHX,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
LIN,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
