metric,value,notes
status,OK_V18_25A_R23_MISSING_CACHE_BACKFILL_PLAN_READY,
r22b_local_validation_fail_count,59,
no_local_price_cache_fail_count,59,
raw_candidate_count,59,
deduped_candidate_count,59,
approved_for_next_staged_backfill_count,58,
held_out_count,1,
invalid_or_artifact_count,1,
already_has_local_cache_count,0,
not_never_success_count,0,
not_in_ledger_count,0,
duplicate_excluded_count,0,
review_needed_count,0,
external_fetch_executed,FALSE,
official_price_cache_integration_allowed_now,FALSE,
