ticker,candidate_priority_rank,fetch_provider,fetch_status,quality_status,raw_row_count,normalized_row_count,min_date,max_date,latest_date,staged_raw_path,staged_normalized_path,error_message
OKTA,1,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2293,2293,2017-04-07,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\OKTA.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\OKTA.csv,
OLMA,2,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1381,1381,2020-11-19,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\OLMA.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\OLMA.csv,
OLPX,3,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1165,1165,2021-09-30,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\OLPX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\OLPX.csv,
OPCH,4,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,7489,7489,1996-08-15,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\OPCH.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\OPCH.csv,
PATH,5,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1278,1278,2021-04-21,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PATH.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PATH.csv,
PCOR,6,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1257,1257,2021-05-20,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PCOR.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PCOR.csv,
PCT,7,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1472,1472,2020-07-14,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PCT.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PCT.csv,
PDD,8,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1966,1966,2018-07-26,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PDD.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PDD.csv,
PFGC,9,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2676,2676,2015-09-30,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PFGC.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PFGC.csv,
PGNY,10,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1651,1651,2019-10-25,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PGNY.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PGNY.csv,
PI,11,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2473,2473,2016-07-21,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PI.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PI.csv,
PINS,12,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1783,1783,2019-04-18,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PINS.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PINS.csv,
PLUG,13,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,6680,6680,1999-10-29,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PLUG.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PLUG.csv,
PM,14,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,4575,4575,2008-03-17,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PM.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PM.csv,
PONY,15,yfinance,FETCH_SUCCESS_PARTIAL_HISTORY,FETCH_SUCCESS_PARTIAL_HISTORY,370,370,2024-11-27,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PONY.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PONY.csv,
PSIX,16,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,3545,3545,2012-04-17,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PSIX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PSIX.csv,
PTGX,17,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2458,2458,2016-08-11,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PTGX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PTGX.csv,
PTON,18,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1672,1672,2019-09-26,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PTON.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PTON.csv,
PUMP,19,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2308,2308,2017-03-17,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PUMP.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PUMP.csv,
PYPL,20,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2737,2737,2015-07-06,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PYPL.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PYPL.csv,
QS,21,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1448,1448,2020-08-17,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\QS.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\QS.csv,
QSR,22,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2877,2877,2014-12-11,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\QSR.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\QSR.csv,
