ticker,classification,staged_file,staged_row_count,quality_grade
AA,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AA.csv,1262,A
AAL,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AAL.csv,1262,A
ABR,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ABR.csv,1262,A
ADBE,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ADBE.csv,1262,A
ADMA,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ADMA.csv,1262,A
ADSK,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ADSK.csv,1262,A
AEIS,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AEIS.csv,1262,A
AEVA,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AEVA.csv,1262,A
AFRM,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AFRM.csv,1262,A
AGX,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AGX.csv,1262,A
ALM,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ALM.csv,1262,A
APG,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\APG.csv,1262,A
APO,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\APO.csv,1262,A
APP,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\APP.csv,1262,A
ARGT,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ARGT.csv,1262,A
AXON,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AXON.csv,1262,A
BABA,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BABA.csv,1262,A
BAC,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BAC.csv,1262,A
BALL,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BALL.csv,1262,A
BIDU,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BIDU.csv,1262,A
BITF,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BITF.csv,1262,A
BKNG,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BKNG.csv,1262,A
BLTE,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BLTE.csv,1018,A
BN,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BN.csv,1262,A
BSX,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BSX.csv,1262,A
CART,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CART.csv,670,A
CDNS,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CDNS.csv,1262,A
CHPT,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CHPT.csv,1262,A
CHRW,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CHRW.csv,1262,A
CLF,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CLF.csv,1262,A
CLH,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CLH.csv,1262,A
CLSK,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CLSK.csv,1262,A
CMG,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CMG.csv,1262,A
LPLA,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\LPLA.csv,1262,A
LSCC,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\LSCC.csv,1262,A
LYB,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\LYB.csv,1262,A
LYFT,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\LYFT.csv,1262,A
MA,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MA.csv,1262,A
MCK,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MCK.csv,1262,A
MELI,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MELI.csv,1262,A
MOH,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MOH.csv,1262,A
MPLX,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MPLX.csv,1262,A
MTSI,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MTSI.csv,1262,A
MTZ,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MTZ.csv,1262,A
NAMS,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NAMS.csv,1262,A
NFLX,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NFLX.csv,1262,A
NI,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NI.csv,1262,A
NRG,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NRG.csv,1262,A
NTRA,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NTRA.csv,1262,A
NU,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NU.csv,1115,A
NUVB,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NUVB.csv,1262,A
OC,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\OC.csv,1262,A
