ticker,fetch_attempted,fetch_success,fetch_empty,fetch_fail,raw_row_count,normalized_row_count,min_date,max_date,latest_date,close_column_available,close_non_null_count,duplicate_date_count_before_cleaning,duplicate_date_count_after_cleaning,negative_or_zero_close_count,suspicious_gap_count,full_history_ready,price_only_partial,quality_status,staged_raw_path,staged_normalized_path,error_message
PSIX,TRUE,TRUE,FALSE,FALSE,3545,3545,2012-04-17,2026-05-21,2026-05-21,TRUE,3545,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PSIX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PSIX.csv,
PTGX,TRUE,TRUE,FALSE,FALSE,2458,2458,2016-08-11,2026-05-21,2026-05-21,TRUE,2458,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PTGX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PTGX.csv,
PTON,TRUE,TRUE,FALSE,FALSE,1672,1672,2019-09-26,2026-05-21,2026-05-21,TRUE,1672,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PTON.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PTON.csv,
PUMP,TRUE,TRUE,FALSE,FALSE,2308,2308,2017-03-17,2026-05-21,2026-05-21,TRUE,2308,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PUMP.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PUMP.csv,
PYPL,TRUE,TRUE,FALSE,FALSE,2737,2737,2015-07-06,2026-05-21,2026-05-21,TRUE,2737,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PYPL.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PYPL.csv,
QS,TRUE,TRUE,FALSE,FALSE,1448,1448,2020-08-17,2026-05-21,2026-05-21,TRUE,1448,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\QS.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\QS.csv,
QSR,TRUE,TRUE,FALSE,FALSE,2877,2877,2014-12-11,2026-05-21,2026-05-21,TRUE,2877,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\QSR.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\QSR.csv,
RBLX,TRUE,TRUE,FALSE,FALSE,1307,1307,2021-03-10,2026-05-21,2026-05-21,TRUE,1307,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RBLX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RBLX.csv,
RDDT,TRUE,TRUE,FALSE,FALSE,544,544,2024-03-21,2026-05-21,2026-05-21,TRUE,544,0,0,0,0,FALSE,TRUE,FETCH_SUCCESS_PARTIAL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RDDT.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RDDT.csv,
RERE,TRUE,TRUE,FALSE,FALSE,1237,1237,2021-06-18,2026-05-21,2026-05-21,TRUE,1237,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RERE.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RERE.csv,
RH,TRUE,TRUE,FALSE,FALSE,3407,3407,2012-11-02,2026-05-21,2026-05-21,TRUE,3407,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RH.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RH.csv,
RIOT,TRUE,TRUE,FALSE,FALSE,2551,2551,2016-03-31,2026-05-21,2026-05-21,TRUE,2551,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RIOT.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RIOT.csv,
RKT,TRUE,TRUE,FALSE,FALSE,1455,1455,2020-08-06,2026-05-21,2026-05-21,TRUE,1455,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RKT.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RKT.csv,
RNG,TRUE,TRUE,FALSE,FALSE,3181,3181,2013-09-27,2026-05-21,2026-05-21,TRUE,3181,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RNG.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RNG.csv,
ROKU,TRUE,TRUE,FALSE,FALSE,2173,2173,2017-09-28,2026-05-21,2026-05-21,TRUE,2173,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\ROKU.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\ROKU.csv,
RSP,TRUE,TRUE,FALSE,FALSE,5802,5802,2003-05-01,2026-05-21,2026-05-21,TRUE,5802,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RSP.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RSP.csv,
RTX,TRUE,TRUE,FALSE,FALSE,16142,16142,1962-04-02,2026-05-21,2026-05-21,TRUE,16142,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RTX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RTX.csv,
