ticker,normalized_file,file_exists,readable,required_columns_present,row_count,min_date,max_date,latest_close,latest_volume,date_parse_ok,duplicate_date_count,null_close_count,r23b_quality_status,quality_status,integration_candidate_status,reason,provider,fetch_run_id
BLSH,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/BLSH.csv,TRUE,TRUE,TRUE,196,2025-08-13,2026-05-22,36.18009948730469,394843,TRUE,0,0,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917
CAI,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CAI.csv,TRUE,TRUE,TRUE,234,2025-06-18,2026-05-22,15.734999656677246,276861,TRUE,0,0,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917
CDTX,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CDTX.csv,FALSE,FALSE,FALSE,0,,,,,FALSE,0,0,EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,R23B classified ticker as EMPTY_FETCH.,,
CFLT,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CFLT.csv,FALSE,FALSE,FALSE,0,,,,,FALSE,0,0,EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,R23B classified ticker as EMPTY_FETCH.,,
CHYM,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CHYM.csv,TRUE,TRUE,TRUE,238,2025-06-12,2026-05-22,17.979999542236328,589105,TRUE,0,0,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917
COG,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/COG.csv,FALSE,FALSE,FALSE,0,,,,,FALSE,0,0,EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,HELD_OUT_EMPTY_FETCH,R23B classified ticker as EMPTY_FETCH.,,
CRCL,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CRCL.csv,TRUE,TRUE,TRUE,243,2025-06-05,2026-05-22,114.36849975585938,4412700,TRUE,0,0,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917
FIGR,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/FIGR.csv,TRUE,TRUE,TRUE,176,2025-09-11,2026-05-22,33.86000061035156,898697,TRUE,0,0,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917
GEMI,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/GEMI.csv,TRUE,TRUE,TRUE,175,2025-09-12,2026-05-22,5.380300045013428,545244,TRUE,0,0,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917
JBS,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/JBS.csv,TRUE,TRUE,TRUE,237,2025-06-13,2026-05-22,13.149999618530273,2201214,TRUE,0,0,PARTIAL_HISTORY_HOLD,HELD_OUT_PARTIAL_HISTORY,HELD_OUT_PARTIAL_HISTORY,Partial history remains held out for separate policy handling.,yfinance,V18_25A_R23B_20260523_000917
