ticker,normalized_row_count,min_date,max_date,latest_date,quality_status,integration_gate_decision,recommended_next_action
OKTA,2293,2017-04-07,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
OLMA,1381,2020-11-19,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
OLPX,1165,2021-09-30,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
OPCH,7489,1996-08-15,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PATH,1278,2021-04-21,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PCOR,1257,2021-05-20,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PCT,1472,2020-07-14,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PDD,1966,2018-07-26,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PFGC,2676,2015-09-30,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PGNY,1651,2019-10-25,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PI,2473,2016-07-21,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
