ticker,staged_path,official_cache_path,integration_status,before_row_count,staged_row_count,after_row_count,latest_date,duplicate_dates_dropped,failure_reason
CLSK,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CLSK.csv,D:\us-tech-quant\state\v18\price_cache\CLSK.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
CMG,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\CMG.csv,D:\us-tech-quant\state\v18\price_cache\CMG.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
LPLA,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\LPLA.csv,D:\us-tech-quant\state\v18\price_cache\LPLA.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
LSCC,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\LSCC.csv,D:\us-tech-quant\state\v18\price_cache\LSCC.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
LYB,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\LYB.csv,D:\us-tech-quant\state\v18\price_cache\LYB.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
LYFT,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\LYFT.csv,D:\us-tech-quant\state\v18\price_cache\LYFT.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
MA,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MA.csv,D:\us-tech-quant\state\v18\price_cache\MA.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
MCK,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MCK.csv,D:\us-tech-quant\state\v18\price_cache\MCK.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
MELI,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MELI.csv,D:\us-tech-quant\state\v18\price_cache\MELI.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
MOH,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MOH.csv,D:\us-tech-quant\state\v18\price_cache\MOH.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
MPLX,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MPLX.csv,D:\us-tech-quant\state\v18\price_cache\MPLX.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
MTSI,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MTSI.csv,D:\us-tech-quant\state\v18\price_cache\MTSI.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
MTZ,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\MTZ.csv,D:\us-tech-quant\state\v18\price_cache\MTZ.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
NAMS,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NAMS.csv,D:\us-tech-quant\state\v18\price_cache\NAMS.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
NFLX,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NFLX.csv,D:\us-tech-quant\state\v18\price_cache\NFLX.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
NI,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NI.csv,D:\us-tech-quant\state\v18\price_cache\NI.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
NRG,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NRG.csv,D:\us-tech-quant\state\v18\price_cache\NRG.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
NTRA,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NTRA.csv,D:\us-tech-quant\state\v18\price_cache\NTRA.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
NU,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NU.csv,D:\us-tech-quant\state\v18\price_cache\NU.csv,SUCCESS,1115,1115,1115,2026-05-20,0,
NUVB,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\NUVB.csv,D:\us-tech-quant\state\v18\price_cache\NUVB.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
OC,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\OC.csv,D:\us-tech-quant\state\v18\price_cache\OC.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
