ticker,rank,composite_candidate_score,primary_theme,recommendation_tier,manual_action,risk_bucket,technical_timing_status,technical_timing_score,overheat_flag,buy_now_status,buy_now_score,buy_gate_result,buy_block_reason,entry_condition,manual_operator_action,gate_recommendation_pass,gate_technical_pass,gate_overheat_pass,gate_risk_pass,gate_operator_pass,gate_data_quality_pass,gate_summary,source_recommendation_file,source_technical_file,generated_at,run_id
VIAV,1,51.800559,DATA_INFRASTRUCTURE,CORE_CANDIDATE,REVIEW_FIRST,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,60.0,FALSE,BLOCKED_BY_OPERATOR_STATE,75,BLOCK,HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=CORE_CANDIDATE;technical=FAVORABLE;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
SITM,2,51.403528,SEMICONDUCTOR,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,TECHNICAL_CAUTION;HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
TSEM,3,50.428133,SEMICONDUCTOR,CORE_CANDIDATE,REVIEW_FIRST,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,65,BLOCK,TECHNICAL_CAUTION;HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=CORE_CANDIDATE;technical=CAUTION;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
STM,4,49.556907,SEMICONDUCTOR,CORE_CANDIDATE,REVIEW_FIRST,MEDIUM_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,75,BLOCK,TECHNICAL_CAUTION,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=CORE_CANDIDATE;technical=CAUTION;risk=MEDIUM_RISK;overheat=FALSE;manual_only=TRUE,,,,
BW,5,47.521200,POWER_INFRASTRUCTURE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,40.0,FALSE,BLOCKED_BY_OPERATOR_STATE,25,BLOCK,TECHNICAL_CAUTION;EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
PLUG,6,46.199608,ENERGY,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,25,BLOCK,TECHNICAL_CAUTION;EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
TTMI,7,43.509206,ELECTRONICS_SUPPLY_CHAIN,CORE_CANDIDATE,REVIEW_FIRST,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,40.0,FALSE,BLOCKED_BY_OPERATOR_STATE,65,BLOCK,TECHNICAL_CAUTION;HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=CORE_CANDIDATE;technical=CAUTION;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
TWLO,8,41.763811,SOFTWARE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,TECHNICAL_CAUTION;HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
HTZ,9,40.914843,TRANSPORTATION,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,70.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=FAVORABLE;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
PUMP,10,40.669884,ENERGY,WATCHLIST_STRONG,WATCH_FOR_ENTRY,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,55,BLOCK,TECHNICAL_CAUTION;HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=WATCHLIST_STRONG;technical=CAUTION;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
