ticker,rank,composite_candidate_score,primary_theme,recommendation_tier,buy_now_status,position_policy_status,cost_adjusted_trade_status,risk_bucket,suggested_initial_notional_usd,suggested_max_notional_usd,estimated_total_roundtrip_cost_pct,minimum_required_expected_return_pct,account_trade_status,account_trade_action,account_gate_result,account_block_reason,current_position_notional_usd,current_position_pct,current_shares,current_avg_cost_usd,current_unrealized_pnl_pct,current_theme_exposure_pct,projected_theme_exposure_pct_after_trade,current_high_risk_exposure_pct,projected_high_risk_exposure_pct_after_trade,account_total_value_usd,cash_usd,cash_reserve_required_usd,available_cash_after_reserve_usd,suggested_account_initial_notional_usd,max_additional_notional_usd,cash_after_suggested_trade_usd,would_exceed_cash_reserve_flag,would_exceed_single_position_cap_flag,would_exceed_theme_exposure_cap_flag,would_exceed_high_risk_exposure_cap_flag,would_exceed_active_position_limit_flag,would_exceed_speculative_position_limit_flag,would_exceed_new_buys_per_day_flag,existing_position_flag,add_allowed_flag,new_buy_allowed_flag,trim_review_flag,manual_account_state_mode,account_state_quality_flag,account_plan_reason,source_cost_adjusted_file,source_account_state_file,generated_at,run_id
VIAV,1,51.800559,DATA_INFRASTRUCTURE,CORE_CANDIDATE,BLOCKED_BY_OPERATOR_STATE,POSITION_OPERATOR_BLOCKED,BLOCKED_BY_OPERATOR_STATE,HIGH_RISK,0.00,0.00,0.0000,1.5000,BLOCKED_BY_OPERATOR_STATE,BLOCKED,BLOCK,BLOCKED_BY_OPERATOR_STATE,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,2000.00,2000.00,300.00,1700.00,0.00,0.00,2000.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TEMPLATE_OR_EMPTY_ACCOUNT_ASSUMPTION,WARN_TEMPLATE_EMPTY_ACCOUNT,BLOCKED_BY_OPERATOR_STATE,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_COST_ADJUSTED_TRADE_PLAN.csv,D:\us-tech-quant\state\v18\manual_account\V18_MANUAL_ACCOUNT_STATE.csv,2026-05-24T18:28:41,V18_31D_20260524_182841
SITM,2,51.403528,SEMICONDUCTOR,SPECULATIVE_SATELLITE,BLOCKED_BY_OPERATOR_STATE,POSITION_OPERATOR_BLOCKED,BLOCKED_BY_OPERATOR_STATE,HIGH_RISK,0.00,0.00,0.0000,3.0000,BLOCKED_BY_OPERATOR_STATE,BLOCKED,BLOCK,BLOCKED_BY_OPERATOR_STATE,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,2000.00,2000.00,300.00,1700.00,0.00,0.00,2000.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TEMPLATE_OR_EMPTY_ACCOUNT_ASSUMPTION,WARN_TEMPLATE_EMPTY_ACCOUNT,BLOCKED_BY_OPERATOR_STATE,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_COST_ADJUSTED_TRADE_PLAN.csv,D:\us-tech-quant\state\v18\manual_account\V18_MANUAL_ACCOUNT_STATE.csv,2026-05-24T18:28:41,V18_31D_20260524_182841
TSEM,3,50.428133,SEMICONDUCTOR,CORE_CANDIDATE,BLOCKED_BY_OPERATOR_STATE,POSITION_OPERATOR_BLOCKED,BLOCKED_BY_OPERATOR_STATE,HIGH_RISK,0.00,0.00,0.0000,1.5000,BLOCKED_BY_OPERATOR_STATE,BLOCKED,BLOCK,BLOCKED_BY_OPERATOR_STATE,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,2000.00,2000.00,300.00,1700.00,0.00,0.00,2000.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TEMPLATE_OR_EMPTY_ACCOUNT_ASSUMPTION,WARN_TEMPLATE_EMPTY_ACCOUNT,BLOCKED_BY_OPERATOR_STATE,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_COST_ADJUSTED_TRADE_PLAN.csv,D:\us-tech-quant\state\v18\manual_account\V18_MANUAL_ACCOUNT_STATE.csv,2026-05-24T18:28:41,V18_31D_20260524_182841
STM,4,49.556907,SEMICONDUCTOR,CORE_CANDIDATE,BLOCKED_BY_OPERATOR_STATE,POSITION_OPERATOR_BLOCKED,BLOCKED_BY_OPERATOR_STATE,MEDIUM_RISK,0.00,0.00,0.0000,1.5000,BLOCKED_BY_OPERATOR_STATE,BLOCKED,BLOCK,BLOCKED_BY_OPERATOR_STATE,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,2000.00,2000.00,300.00,1700.00,0.00,0.00,2000.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TEMPLATE_OR_EMPTY_ACCOUNT_ASSUMPTION,WARN_TEMPLATE_EMPTY_ACCOUNT,BLOCKED_BY_OPERATOR_STATE,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_COST_ADJUSTED_TRADE_PLAN.csv,D:\us-tech-quant\state\v18\manual_account\V18_MANUAL_ACCOUNT_STATE.csv,2026-05-24T18:28:41,V18_31D_20260524_182841
BW,5,47.521200,POWER_INFRASTRUCTURE,SPECULATIVE_SATELLITE,BLOCKED_BY_OPERATOR_STATE,POSITION_OPERATOR_BLOCKED,BLOCKED_BY_OPERATOR_STATE,EXTREME_RISK,0.00,0.00,0.0000,3.0000,BLOCKED_BY_OPERATOR_STATE,BLOCKED,BLOCK,BLOCKED_BY_OPERATOR_STATE,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,2000.00,2000.00,300.00,1700.00,0.00,0.00,2000.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TEMPLATE_OR_EMPTY_ACCOUNT_ASSUMPTION,WARN_TEMPLATE_EMPTY_ACCOUNT,BLOCKED_BY_OPERATOR_STATE,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_COST_ADJUSTED_TRADE_PLAN.csv,D:\us-tech-quant\state\v18\manual_account\V18_MANUAL_ACCOUNT_STATE.csv,2026-05-24T18:28:41,V18_31D_20260524_182841
PLUG,6,46.199608,ENERGY,SPECULATIVE_SATELLITE,BLOCKED_BY_OPERATOR_STATE,POSITION_OPERATOR_BLOCKED,BLOCKED_BY_OPERATOR_STATE,EXTREME_RISK,0.00,0.00,0.0000,3.0000,BLOCKED_BY_OPERATOR_STATE,BLOCKED,BLOCK,BLOCKED_BY_OPERATOR_STATE,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,2000.00,2000.00,300.00,1700.00,0.00,0.00,2000.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TEMPLATE_OR_EMPTY_ACCOUNT_ASSUMPTION,WARN_TEMPLATE_EMPTY_ACCOUNT,BLOCKED_BY_OPERATOR_STATE,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_COST_ADJUSTED_TRADE_PLAN.csv,D:\us-tech-quant\state\v18\manual_account\V18_MANUAL_ACCOUNT_STATE.csv,2026-05-24T18:28:41,V18_31D_20260524_182841
TTMI,7,43.509206,ELECTRONICS_SUPPLY_CHAIN,CORE_CANDIDATE,BLOCKED_BY_OPERATOR_STATE,POSITION_OPERATOR_BLOCKED,BLOCKED_BY_OPERATOR_STATE,HIGH_RISK,0.00,0.00,0.0000,1.5000,BLOCKED_BY_OPERATOR_STATE,BLOCKED,BLOCK,BLOCKED_BY_OPERATOR_STATE,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,2000.00,2000.00,300.00,1700.00,0.00,0.00,2000.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TEMPLATE_OR_EMPTY_ACCOUNT_ASSUMPTION,WARN_TEMPLATE_EMPTY_ACCOUNT,BLOCKED_BY_OPERATOR_STATE,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_COST_ADJUSTED_TRADE_PLAN.csv,D:\us-tech-quant\state\v18\manual_account\V18_MANUAL_ACCOUNT_STATE.csv,2026-05-24T18:28:41,V18_31D_20260524_182841
TWLO,8,41.763811,SOFTWARE,SPECULATIVE_SATELLITE,BLOCKED_BY_OPERATOR_STATE,POSITION_OPERATOR_BLOCKED,BLOCKED_BY_OPERATOR_STATE,HIGH_RISK,0.00,0.00,0.0000,3.0000,BLOCKED_BY_OPERATOR_STATE,BLOCKED,BLOCK,BLOCKED_BY_OPERATOR_STATE,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,2000.00,2000.00,300.00,1700.00,0.00,0.00,2000.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TEMPLATE_OR_EMPTY_ACCOUNT_ASSUMPTION,WARN_TEMPLATE_EMPTY_ACCOUNT,BLOCKED_BY_OPERATOR_STATE,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_COST_ADJUSTED_TRADE_PLAN.csv,D:\us-tech-quant\state\v18\manual_account\V18_MANUAL_ACCOUNT_STATE.csv,2026-05-24T18:28:41,V18_31D_20260524_182841
HTZ,9,40.914843,TRANSPORTATION,SPECULATIVE_SATELLITE,BLOCKED_BY_OPERATOR_STATE,POSITION_OPERATOR_BLOCKED,BLOCKED_BY_OPERATOR_STATE,EXTREME_RISK,0.00,0.00,0.0000,3.0000,BLOCKED_BY_OPERATOR_STATE,BLOCKED,BLOCK,BLOCKED_BY_OPERATOR_STATE,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,2000.00,2000.00,300.00,1700.00,0.00,0.00,2000.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TEMPLATE_OR_EMPTY_ACCOUNT_ASSUMPTION,WARN_TEMPLATE_EMPTY_ACCOUNT,BLOCKED_BY_OPERATOR_STATE,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_COST_ADJUSTED_TRADE_PLAN.csv,D:\us-tech-quant\state\v18\manual_account\V18_MANUAL_ACCOUNT_STATE.csv,2026-05-24T18:28:41,V18_31D_20260524_182841
PUMP,10,40.669884,ENERGY,WATCHLIST_STRONG,BLOCKED_BY_OPERATOR_STATE,POSITION_OPERATOR_BLOCKED,BLOCKED_BY_OPERATOR_STATE,HIGH_RISK,0.00,0.00,0.0000,1.5000,BLOCKED_BY_OPERATOR_STATE,BLOCKED,BLOCK,BLOCKED_BY_OPERATOR_STATE,0.00,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,2000.00,2000.00,300.00,1700.00,0.00,0.00,2000.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TEMPLATE_OR_EMPTY_ACCOUNT_ASSUMPTION,WARN_TEMPLATE_EMPTY_ACCOUNT,BLOCKED_BY_OPERATOR_STATE,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_COST_ADJUSTED_TRADE_PLAN.csv,D:\us-tech-quant\state\v18\manual_account\V18_MANUAL_ACCOUNT_STATE.csv,2026-05-24T18:28:41,V18_31D_20260524_182841
