experiment_id,experiment_name,experiment_family,experiment_type,signal_source,candidate_scope,portfolio_construction_method,benchmark,expected_horizons,current_forward_readiness,entry_count,matured_horizon_count,any_forward_outcome_available,readiness_status,upstream_files,downstream_recommended_next_step,notes
PAPER_TOP20,Paper Top20 equal-weight,Top20,PAPER_TRADING,V18_DAILY_SIGNAL_FREEZE_LEDGER / V18_CURRENT_FULL_RANKED_CANDIDATES,Top20,TOP20_EQUAL_WEIGHT,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,20,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/paper_trading/V18_36A_PAPER_FORWARD_RETURNS.csv;outputs/v18/ops/V18_38A_FORWARD_EVIDENCE_DETAIL.csv,"Wait for forward returns to mature, then compare net return and benchmark excess return.",Registered from paper trading forward attribution evidence.
PAPER_TOP50,Paper Top50 equal-weight,Top50,PAPER_TRADING,V18_DAILY_SIGNAL_FREEZE_LEDGER / V18_CURRENT_FULL_RANKED_CANDIDATES,Top50,TOP50_EQUAL_WEIGHT,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,50,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/paper_trading/V18_36A_PAPER_FORWARD_RETURNS.csv;outputs/v18/ops/V18_38A_FORWARD_EVIDENCE_DETAIL.csv,"Wait for forward returns to mature, then compare net return and benchmark excess return.",Registered from paper trading forward attribution evidence.
PAPER_TOP100,Paper Top100 equal-weight,Top100,PAPER_TRADING,V18_DAILY_SIGNAL_FREEZE_LEDGER / V18_CURRENT_FULL_RANKED_CANDIDATES,Top100,TOP100_EQUAL_WEIGHT,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,100,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/paper_trading/V18_36A_PAPER_FORWARD_RETURNS.csv;outputs/v18/ops/V18_38A_FORWARD_EVIDENCE_DETAIL.csv,"Wait for forward returns to mature, then compare net return and benchmark excess return.",Registered from paper trading forward attribution evidence.
PAPER_FULL318,Paper Full318 equal-weight observation,Full318,PAPER_TRADING,V18_DAILY_SIGNAL_FREEZE_LEDGER / V18_CURRENT_FULL_RANKED_CANDIDATES,Full318,FULL318_EQUAL_WEIGHT_OBSERVATION,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,318,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/paper_trading/V18_36A_PAPER_FORWARD_RETURNS.csv;outputs/v18/ops/V18_38A_FORWARD_EVIDENCE_DETAIL.csv,"Wait for forward returns to mature, then compare net return and benchmark excess return.",Registered from paper trading forward attribution evidence.
SHADOW_PORTFOLIO_TOP20_EQUAL_WEIGHT,Top20 等权篮子,SHADOW_PORTFOLIO_TOP20_EQUAL_WEIGHT,SHADOW_PORTFOLIO,CURRENT_RANKED_CANDIDATES,CURRENT_RANKED_CANDIDATES,TOP_N_EQUAL_WEIGHT,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,20,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_37B_SHADOW_PORTFOLIO_REGISTRY.csv;outputs/v18/ops/V18_37C_SHADOW_PORTFOLIO_SNAPSHOT_DETAIL.csv,Wait for forward outcomes before shadow portfolio league table.,当前排名前 20 的等权研究篮子。
SHADOW_PORTFOLIO_TOP50_EQUAL_WEIGHT,Top50 等权篮子,SHADOW_PORTFOLIO_TOP50_EQUAL_WEIGHT,SHADOW_PORTFOLIO,CURRENT_RANKED_CANDIDATES,CURRENT_RANKED_CANDIDATES,TOP_N_EQUAL_WEIGHT,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,50,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_37B_SHADOW_PORTFOLIO_REGISTRY.csv;outputs/v18/ops/V18_37C_SHADOW_PORTFOLIO_SNAPSHOT_DETAIL.csv,Wait for forward outcomes before shadow portfolio league table.,当前排名前 50 的等权研究篮子。
SHADOW_PORTFOLIO_TOP100_EQUAL_WEIGHT,Top100 等权篮子,SHADOW_PORTFOLIO_TOP100_EQUAL_WEIGHT,SHADOW_PORTFOLIO,CURRENT_RANKED_CANDIDATES,CURRENT_RANKED_CANDIDATES,TOP_N_EQUAL_WEIGHT,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,100,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_37B_SHADOW_PORTFOLIO_REGISTRY.csv;outputs/v18/ops/V18_37C_SHADOW_PORTFOLIO_SNAPSHOT_DETAIL.csv,Wait for forward outcomes before shadow portfolio league table.,当前排名前 100 的等权研究篮子。
SHADOW_PORTFOLIO_FULL318_EQUAL_WEIGHT,全当前候选等权篮子,SHADOW_PORTFOLIO_FULL318_EQUAL_WEIGHT,SHADOW_PORTFOLIO,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,FULL_CURRENT_EQUAL_WEIGHT,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,318,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_37B_SHADOW_PORTFOLIO_REGISTRY.csv;outputs/v18/ops/V18_37C_SHADOW_PORTFOLIO_SNAPSHOT_DETAIL.csv,Wait for forward outcomes before shadow portfolio league table.,当前可用完整候选宇宙的等权研究篮子。
SHADOW_PORTFOLIO_TOP20_SCORE_WEIGHTED,Top20 分数加权篮子,SHADOW_PORTFOLIO_TOP20_SCORE_WEIGHTED,SHADOW_PORTFOLIO,CURRENT_RANKED_CANDIDATES,CURRENT_RANKED_CANDIDATES,TOP_N_SCORE_WEIGHTED,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,20,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_37B_SHADOW_PORTFOLIO_REGISTRY.csv;outputs/v18/ops/V18_37C_SHADOW_PORTFOLIO_SNAPSHOT_DETAIL.csv,Wait for forward outcomes before shadow portfolio league table.,优先使用 composite_candidate_score 的分数加权研究篮子。
SHADOW_PORTFOLIO_TOP50_SCORE_WEIGHTED,Top50 分数加权篮子,SHADOW_PORTFOLIO_TOP50_SCORE_WEIGHTED,SHADOW_PORTFOLIO,CURRENT_RANKED_CANDIDATES,CURRENT_RANKED_CANDIDATES,TOP_N_SCORE_WEIGHTED,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,50,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_37B_SHADOW_PORTFOLIO_REGISTRY.csv;outputs/v18/ops/V18_37C_SHADOW_PORTFOLIO_SNAPSHOT_DETAIL.csv,Wait for forward outcomes before shadow portfolio league table.,优先使用 composite_candidate_score 的分数加权研究篮子。
SHADOW_PORTFOLIO_TOP100_SCORE_WEIGHTED,Top100 分数加权篮子,SHADOW_PORTFOLIO_TOP100_SCORE_WEIGHTED,SHADOW_PORTFOLIO,CURRENT_RANKED_CANDIDATES,CURRENT_RANKED_CANDIDATES,TOP_N_SCORE_WEIGHTED,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,100,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_37B_SHADOW_PORTFOLIO_REGISTRY.csv;outputs/v18/ops/V18_37C_SHADOW_PORTFOLIO_SNAPSHOT_DETAIL.csv,Wait for forward outcomes before shadow portfolio league table.,优先使用 composite_candidate_score 的分数加权研究篮子。
SHADOW_PORTFOLIO_LOW_VOL_ADJUSTED_TOP50,低波动调整 Top50,SHADOW_PORTFOLIO_LOW_VOL_ADJUSTED_TOP50,SHADOW_PORTFOLIO,CURRENT_RANKED_CANDIDATES_WITH_RISK_PROXY,CURRENT_RANKED_CANDIDATES_WITH_RISK_PROXY,LOW_VOL_ADJUSTED_TOP_N,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,50,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_37B_SHADOW_PORTFOLIO_REGISTRY.csv;outputs/v18/ops/V18_37C_SHADOW_PORTFOLIO_SNAPSHOT_DETAIL.csv,Wait for forward outcomes before shadow portfolio league table.,仅在存在可用波动或风险代理字段时生成权重。
SHADOW_PORTFOLIO_MOTIF_READY_EQUAL_WEIGHT,Ready Motif 等权篮子,SHADOW_PORTFOLIO_MOTIF_READY_EQUAL_WEIGHT,SHADOW_PORTFOLIO,V18_37A_READY_MOTIFS,V18_37A_READY_MOTIFS,READY_MOTIF_EQUAL_WEIGHT,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,18,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_37B_SHADOW_PORTFOLIO_REGISTRY.csv;outputs/v18/ops/V18_37C_SHADOW_PORTFOLIO_SNAPSHOT_DETAIL.csv,Wait for forward outcomes before shadow portfolio league table.,只使用 V18.37A 标记为 READY/READY_REAL_EVIDENCE 的 motif 候选。
SHADOW_PORTFOLIO_MOTIF_READY_TOPN_BLEND,Ready Motif TopN 混合篮子,SHADOW_PORTFOLIO_MOTIF_READY_TOPN_BLEND,SHADOW_PORTFOLIO,V18_37A_READY_MOTIFS,V18_37A_READY_MOTIFS,READY_MOTIF_TOPN_BLEND,SPY;QQQ,1D;3D;5D;10D;20D,PARTIAL_READY,18,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_37B_SHADOW_PORTFOLIO_REGISTRY.csv;outputs/v18/ops/V18_37C_SHADOW_PORTFOLIO_SNAPSHOT_DETAIL.csv,Wait for forward outcomes before shadow portfolio league table.,每个 ready motif 先等权，再聚合到股票层面。
LEAN_MOTIF_VALUE_MOMENTUM,价值动量,LEAN_MOTIF_VALUE_MOMENTUM,STRATEGY_MOTIF,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,MOTIF_SHADOW_CANDIDATES,LEAN_INSPIRED_MOTIF:VALUE_MOMENTUM,,,NOT_READY,10,0,FALSE,MISSING_INPUT,outputs/v18/ops/V18_37A_STRATEGY_MOTIF_REGISTRY.csv;outputs/v18/ops/V18_37A_LEAN_INSPIRED_STRATEGY_MOTIF_SUMMARY.csv,Use as research grouping; connect to forward outcomes only after motif-level performance evidence exists.,evidence_status=MISSING_REQUIRED_FACTOR; research_readiness=NOT_READY
LEAN_MOTIF_QUALITY_MOMENTUM,质量动量,LEAN_MOTIF_QUALITY_MOMENTUM,STRATEGY_MOTIF,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,MOTIF_SHADOW_CANDIDATES,LEAN_INSPIRED_MOTIF:QUALITY_MOMENTUM,,,NOT_READY,10,0,FALSE,MISSING_INPUT,outputs/v18/ops/V18_37A_STRATEGY_MOTIF_REGISTRY.csv;outputs/v18/ops/V18_37A_LEAN_INSPIRED_STRATEGY_MOTIF_SUMMARY.csv,Use as research grouping; connect to forward outcomes only after motif-level performance evidence exists.,evidence_status=MISSING_REQUIRED_FACTOR; research_readiness=NOT_READY
