ticker,rank,composite_candidate_score,primary_theme,theme_rank,role_bucket,volatility_bucket,technical_timing_score,overheat_penalty,recommendation_tier,recommendation_action,risk_label,reason_codes,audit_flag,audit_comment
APLD,12,40.362536,AI_INFRASTRUCTURE,1,SPECULATIVE_SATELLITE,EXTREME,40.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
U,13,39.897302,SOFTWARE,2,SPECULATIVE_SATELLITE,HIGH,70.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION,POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW,"POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW: rank 13, tier SPECULATIVE_SATELLITE, theme SOFTWARE, volatility HIGH. Top-ranked / top-theme candidate is speculative despite only high volatility and no technical overheat flag. Only high-volatility downgrade is visible in the current reason set for a top-ranked candidate."
SMTC,14,39.742207,SEMICONDUCTOR,4,CYCLICAL_GROWTH,HIGH,40.0,0,CORE_CANDIDATE,REVIEW_FIRST,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;CYCLICAL_GROWTH_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION;CALIBRATED_CORE_ELIGIBLE;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
SEI,15,39.144581,ENERGY,3,SPECULATIVE_SATELLITE,EXTREME,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
SATS,16,38.622888,DATA_INFRASTRUCTURE,2,SPECULATIVE_SATELLITE,HIGH,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION,POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW,"POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW: rank 16, tier SPECULATIVE_SATELLITE, theme DATA_INFRASTRUCTURE, volatility HIGH. Top-ranked / top-theme candidate is speculative despite only high volatility and no technical overheat flag. Only high-volatility downgrade is visible in the current reason set for a top-ranked candidate."
RVMD,17,38.438059,HEALTHCARE,1,SPECULATIVE_SATELLITE,EXTREME,40.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
XYZ,18,38.326374,FINTECH,1,SPECULATIVE_SATELLITE,HIGH,60.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION,POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW,"POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW: rank 18, tier SPECULATIVE_SATELLITE, theme FINTECH, volatility HIGH. Top-ranked / top-theme candidate is speculative despite only high volatility and no technical overheat flag. Only high-volatility downgrade is visible in the current reason set for a top-ranked candidate."
WULF,19,38.015944,CRYPTO_BETA,1,SPECULATIVE_SATELLITE,EXTREME,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
QSR,20,37.694858,CONSUMER,2,NON_CORE,MEDIUM,70.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,MEDIUM_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
XENE,21,37.636994,HEALTHCARE,2,SPECULATIVE_SATELLITE,EXTREME,60.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
TWST,22,37.448987,HEALTHCARE,3,SPECULATIVE_SATELLITE,EXTREME,60.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
RIOT,23,36.503542,CRYPTO_BETA,2,SPECULATIVE_SATELLITE,EXTREME,40.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
ROKU,24,36.420390,INTERNET_PLATFORM,1,SPECULATIVE_SATELLITE,HIGH,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION,POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW,"POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW: rank 24, tier SPECULATIVE_SATELLITE, theme INTERNET_PLATFORM, volatility HIGH. Top-ranked / top-theme candidate is speculative despite only high volatility and no technical overheat flag. Only high-volatility downgrade is visible in the current reason set for a top-ranked candidate."
UNH,25,36.332522,HEALTHCARE,4,DEFENSIVE_HEDGE,LOW,50.0,0,DEFENSIVE_HEDGE,DEFENSIVE_HOLD_CANDIDATE,DEFENSIVE_RISK,TOP_30_RANK;TOP_75_RANK;DEFENSIVE_ROLE;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
VIST,26,36.042571,ENERGY,4,TACTICAL_BETA,HIGH,50.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
DBVT,27,35.851684,HEALTHCARE,5,SPECULATIVE_SATELLITE,EXTREME,70.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
XPO,28,35.726432,TRANSPORTATION,2,CYCLICAL_GROWTH,HIGH,60.0,0,CORE_CANDIDATE,REVIEW_FIRST,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;CYCLICAL_GROWTH_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION;CALIBRATED_CORE_ELIGIBLE;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
WLK,29,35.644882,INDUSTRIAL,1,TACTICAL_BETA,MEDIUM,70.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,MEDIUM_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
PTON,30,34.719287,CONSUMER,3,SPECULATIVE_SATELLITE,EXTREME,60.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
PCT,31,34.600968,INDUSTRIAL,2,SPECULATIVE_SATELLITE,EXTREME,40.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
UPST,32,34.519048,FINTECH,2,SPECULATIVE_SATELLITE,EXTREME,70.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
CVNA,33,34.321612,ECOMMERCE,1,SPECULATIVE_SATELLITE,EXTREME,70.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
BLTE,34,34.247077,HEALTHCARE,6,SPECULATIVE_SATELLITE,EXTREME,68.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_75_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT,NONE,No calibration issue identified under current audit rules.
BYND,35,33.941802,CONSUMER,4,SPECULATIVE_SATELLITE,EXTREME,70.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_75_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
RNG,36,33.774110,SOFTWARE,3,SPECULATIVE_SATELLITE,HIGH,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION,POSSIBLE_WATCHLIST_REVIEW,"POSSIBLE_WATCHLIST_REVIEW: rank 36, tier SPECULATIVE_SATELLITE, theme SOFTWARE, volatility HIGH. Top-ranked / top-theme candidate is speculative despite only high volatility and no technical overheat flag."
PTGX,37,33.581955,HEALTHCARE,7,SPECULATIVE_SATELLITE,EXTREME,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_75_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
USFD,38,33.542380,CONSUMER,5,NON_CORE,MEDIUM,70.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,MEDIUM_RISK,TOP_75_RANK;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
SFIX,39,33.536378,ECOMMERCE,2,SPECULATIVE_SATELLITE,EXTREME,70.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
WAB,40,33.445361,TRANSPORTATION,3,CYCLICAL_GROWTH,MEDIUM,60.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,MEDIUM_RISK,TOP_75_RANK;TOP_3_THEME_RANK;CYCLICAL_GROWTH_ROLE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
SNPS,41,32.881778,SOFTWARE,4,CORE_GROWTH,MEDIUM,50.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,MEDIUM_RISK,TOP_75_RANK;CORE_GROWTH_ROLE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
VMC,42,32.809491,INDUSTRIAL,3,CYCLICAL_GROWTH,MEDIUM,70.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,MEDIUM_RISK,TOP_75_RANK;TOP_3_THEME_RANK;CYCLICAL_GROWTH_ROLE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
PYPL,43,32.785338,FINTECH,3,TACTICAL_BETA,MEDIUM,70.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,MEDIUM_RISK,TOP_75_RANK;TOP_3_THEME_RANK;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
SHW,44,32.689895,CONSUMER,6,CORE_GROWTH,LOW,70.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,LOW_RISK,TOP_75_RANK;CORE_GROWTH_ROLE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
RDDT,45,32.457146,INTERNET_PLATFORM,2,SPECULATIVE_SATELLITE,HIGH,70.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION,POSSIBLE_WATCHLIST_REVIEW,"POSSIBLE_WATCHLIST_REVIEW: rank 45, tier SPECULATIVE_SATELLITE, theme INTERNET_PLATFORM, volatility HIGH. Top-ranked / top-theme candidate is speculative despite only high volatility and no technical overheat flag."
TEVA,46,32.389117,HEALTHCARE,8,DEFENSIVE_HEDGE,MEDIUM,50.0,0,DEFENSIVE_HEDGE,DEFENSIVE_HOLD_CANDIDATE,DEFENSIVE_RISK,TOP_75_RANK;DEFENSIVE_ROLE;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
SFM,47,32.322369,CONSUMER,7,DEFENSIVE_HEDGE,MEDIUM,50.0,0,DEFENSIVE_HEDGE,DEFENSIVE_HOLD_CANDIDATE,DEFENSIVE_RISK,TOP_75_RANK;DEFENSIVE_ROLE;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
WWD,48,32.304956,INDUSTRIAL,4,CYCLICAL_GROWTH,MEDIUM,60.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,MEDIUM_RISK,TOP_75_RANK;CYCLICAL_GROWTH_ROLE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
ECL,49,32.264952,INDUSTRIAL,5,CORE_GROWTH,LOW,72.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,DEFENSIVE_RISK,TOP_75_RANK;CORE_GROWTH_ROLE;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
UBER,50,32.166154,TRANSPORTATION,4,CORE_GROWTH,HIGH,60.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,HIGH_RISK,TOP_75_RANK;CORE_GROWTH_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
PINS,51,32.146805,INTERNET_PLATFORM,3,CYCLICAL_GROWTH,HIGH,60.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,HIGH_RISK,TOP_75_RANK;TOP_3_THEME_RANK;CYCLICAL_GROWTH_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
VEEV,52,31.947966,SOFTWARE,5,CORE_GROWTH,MEDIUM,70.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,MEDIUM_RISK,TOP_75_RANK;CORE_GROWTH_ROLE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
COGT,53,31.722303,HEALTHCARE,9,SPECULATIVE_SATELLITE,EXTREME,70.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_75_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
PCOR,54,31.292054,SOFTWARE,6,SPECULATIVE_SATELLITE,HIGH,70.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TOP_75_RANK;SPECULATIVE_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION,POSSIBLE_WATCHLIST_REVIEW,"POSSIBLE_WATCHLIST_REVIEW: rank 54, tier SPECULATIVE_SATELLITE, theme SOFTWARE, volatility HIGH. Top-ranked / top-theme candidate is speculative despite only high volatility and no technical overheat flag."
QS,55,31.180681,ENERGY,5,SPECULATIVE_SATELLITE,EXTREME,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_75_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
PI,56,30.652828,SEMICONDUCTOR,5,SPECULATIVE_SATELLITE,HIGH,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TOP_75_RANK;SPECULATIVE_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION,POSSIBLE_WATCHLIST_REVIEW,"POSSIBLE_WATCHLIST_REVIEW: rank 56, tier SPECULATIVE_SATELLITE, theme SEMICONDUCTOR, volatility HIGH. Top-ranked / top-theme candidate is speculative despite only high volatility and no technical overheat flag."
NVAX,57,30.438120,HEALTHCARE,10,SPECULATIVE_SATELLITE,EXTREME,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_75_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
TTD,58,30.316083,SOFTWARE,7,CORE_GROWTH,HIGH,70.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,HIGH_RISK,TOP_75_RANK;CORE_GROWTH_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
YPF,59,30.133517,ENERGY,6,TACTICAL_BETA,HIGH,40.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,HIGH_RISK,TOP_75_RANK;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
