ticker,rank,composite_candidate_score,primary_theme,theme_rank,role_bucket,volatility_bucket,technical_timing_score,overheat_penalty,recommendation_tier,recommendation_action,risk_label,reason_codes,audit_flag,audit_comment
VIAV,1,51.800559,DATA_INFRASTRUCTURE,1,CYCLICAL_GROWTH,HIGH,60.0,0,CORE_CANDIDATE,REVIEW_FIRST,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;CYCLICAL_GROWTH_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION;CALIBRATED_CORE_ELIGIBLE;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
SITM,2,51.403528,SEMICONDUCTOR,1,SPECULATIVE_SATELLITE,HIGH,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION,POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW,"POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW: rank 2, tier SPECULATIVE_SATELLITE, theme SEMICONDUCTOR, volatility HIGH. Top-ranked / top-theme candidate is speculative despite only high volatility and no technical overheat flag. Only high-volatility downgrade is visible in the current reason set for a top-ranked candidate."
TSEM,3,50.428133,SEMICONDUCTOR,2,CYCLICAL_GROWTH,HIGH,50.0,0,CORE_CANDIDATE,REVIEW_FIRST,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;CYCLICAL_GROWTH_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION;CALIBRATED_CORE_ELIGIBLE;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
STM,4,49.556907,SEMICONDUCTOR,3,CYCLICAL_GROWTH,MEDIUM,50.0,0,CORE_CANDIDATE,REVIEW_FIRST,MEDIUM_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;CYCLICAL_GROWTH_ROLE;TECHNICAL_CAUTION;CALIBRATED_CORE_ELIGIBLE;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
BW,5,47.521200,POWER_INFRASTRUCTURE,1,SPECULATIVE_SATELLITE,EXTREME,40.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
PLUG,6,46.199608,ENERGY,1,SPECULATIVE_SATELLITE,EXTREME,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
TTMI,7,43.509206,ELECTRONICS_SUPPLY_CHAIN,1,CYCLICAL_GROWTH,HIGH,40.0,0,CORE_CANDIDATE,REVIEW_FIRST,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;CYCLICAL_GROWTH_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION;CALIBRATED_CORE_ELIGIBLE;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
TWLO,8,41.763811,SOFTWARE,1,SPECULATIVE_SATELLITE,HIGH,50.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION,POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW,"POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW: rank 8, tier SPECULATIVE_SATELLITE, theme SOFTWARE, volatility HIGH. Top-ranked / top-theme candidate is speculative despite only high volatility and no technical overheat flag. Only high-volatility downgrade is visible in the current reason set for a top-ranked candidate."
HTZ,9,40.914843,TRANSPORTATION,1,TACTICAL_BETA,EXTREME,70.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;EXTREME_VOLATILITY;EXTREME_VOLATILITY_LIMIT;TECHNICAL_CAUTION,NONE,No calibration issue identified under current audit rules.
PUMP,10,40.669884,ENERGY,2,TACTICAL_BETA,HIGH,50.0,0,WATCHLIST_STRONG,WATCH_FOR_ENTRY,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION;CALIBRATED_WATCHLIST_ELIGIBLE,NONE,No calibration issue identified under current audit rules.
OLPX,11,40.593772,CONSUMER,1,SPECULATIVE_SATELLITE,HIGH,60.0,0,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TOP_30_RANK;TOP_75_RANK;TOP_3_THEME_RANK;SPECULATIVE_ROLE;HIGH_VOLATILITY;HIGH_VOLATILITY_NOT_AUTO_DOWNGRADE;TECHNICAL_CAUTION,POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW,"POSSIBLE_WATCHLIST_REVIEW;VOLATILITY_RULE_REVIEW: rank 11, tier SPECULATIVE_SATELLITE, theme CONSUMER, volatility HIGH. Top-ranked / top-theme candidate is speculative despite only high volatility and no technical overheat flag. Only high-volatility downgrade is visible in the current reason set for a top-ranked candidate."
