ticker,source_batch,included,exclusion_reason
AMC,R23D_R23E,TRUE,
APLD,R23D_R23E,TRUE,
BW,R23D_R23E,TRUE,
BYND,R23D_R23E,TRUE,
COGT,R23D_R23E,TRUE,
CVNA,R23D_R23E,TRUE,
DBVT,R23D_R23E,TRUE,
FCNCA,R23D_R23E,TRUE,
HOOD,R23D_R23E,TRUE,
HTZ,R23D_R23E,TRUE,
INSM,R23D_R23E,TRUE,
NVAX,R23D_R23E,TRUE,
OKTA,R19_R20,TRUE,
OLMA,R19_R20,TRUE,
OLPX,R19_R20,TRUE,
OPCH,R19_R20,TRUE,
PATH,R19_R20,TRUE,
PCOR,R19_R20,TRUE,
PCT,R19_R20,TRUE,
PDD,R19_R20,TRUE,
PFGC,R19_R20,TRUE,
PGNY,R19_R20,TRUE,
PI,R19_R20,TRUE,
PINS,R19_R20,TRUE,
PLUG,R19_R20,TRUE,
PM,R19_R20,TRUE,
PSIX,R19_R20,TRUE,
PTGX,R19_R20,TRUE,
PTON,R19_R20,TRUE,
PUMP,R19_R20,TRUE,
PYPL,R19_R20,TRUE,
QS,R19_R20,TRUE,
QSR,R19_R20,TRUE,
RBLX,R19_R20,TRUE,
RERE,R19_R20,TRUE,
RH,R19_R20,TRUE,
RIOT,R19_R20,TRUE,
RKT,R19_R20,TRUE,
RNG,R19_R20,TRUE,
ROKU,R19_R20,TRUE,
RSP,R19_R20,TRUE,
RTX,R19_R20,TRUE,
RVMD,R19_R20,TRUE,
SATS,R19_R20,TRUE,
SCCO,R19_R20,TRUE,
SCHW,R19_R20,TRUE,
SE,R19_R20,TRUE,
SEI,R19_R20,TRUE,
SFIX,R19_R20,TRUE,
SFM,R19_R20,TRUE,
SHOP,R19_R20,TRUE,
SHW,R19_R20,TRUE,
SITM,R19_R20,TRUE,
SMTC,R19_R20,TRUE,
SNPS,R19_R20,TRUE,
SPOT,R19_R20,TRUE,
STG,R19_R20,TRUE,
STM,R19_R20,TRUE,
TEAM,R19_R20,TRUE,
TEVA,R19_R20,TRUE,
TIGR,R19_R20,TRUE,
TSEM,R19_R20,TRUE,
TTD,R19_R20,TRUE,
TTMI,R19_R20,TRUE,
TTWO,R19_R20,TRUE,
TWLO,R19_R20,TRUE,
TWST,R19_R20,TRUE,
U,R19_R20,TRUE,
UAL,R19_R20,TRUE,
UBER,R19_R20,TRUE,
UNH,R19_R20,TRUE,
UPST,R23D_R23E,TRUE,
USFD,R23D_R23E,TRUE,
V,R23D_R23E,TRUE,
VECO,R23D_R23E,TRUE,
VEEV,R23D_R23E,TRUE,
VIAV,R23D_R23E,TRUE,
VIST,R23D_R23E,TRUE,
VMC,R23D_R23E,TRUE,
WAB,R23D_R23E,TRUE,
WDAY,R23D_R23E,TRUE,
WHR,R23D_R23E,TRUE,
WING,R23D_R23E,TRUE,
WLK,R23D_R23E,TRUE,
WULF,R23D_R23E,TRUE,
WVE,R23D_R23E,TRUE,
WWD,R23D_R23E,TRUE,
XENE,R23D_R23E,TRUE,
XLF,R23D_R23E,TRUE,
XLK,R23D_R23E,TRUE,
XPO,R23D_R23E,TRUE,
XYZ,R23D_R23E,TRUE,
YPF,R23D_R23E,TRUE,
Z,R23D_R23E,TRUE,
ZG,R23D_R23E,TRUE,
