ticker,source_batch,price_ledger_ready,factor_ready,technical_ready,tier_ready,overall_classification,next_actions
SFIX,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SFM,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SHOP,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SHW,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SITM,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SMTC,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SNPS,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SPOT,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
STG,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
STM,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TEAM,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TEVA,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TIGR,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TSEM,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TTD,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TTMI,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TTWO,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TWLO,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TWST,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
U,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
UAL,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
UBER,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
UNH,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
UPST,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
USFD,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
V,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
VECO,R23D_R23E,TRUE,TRUE,TRUE,FALSE,READY_FOR_TIER_RECLASSIFICATION,REFRESH_TIER_CLASSIFICATION
VEEV,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
VIAV,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
VIST,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
VMC,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
WAB,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
WDAY,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
WHR,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
WING,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
WLK,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
WULF,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
WVE,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
WWD,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
XENE,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
XLF,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
XLK,R23D_R23E,TRUE,TRUE,TRUE,FALSE,READY_FOR_TIER_RECLASSIFICATION,REFRESH_TIER_CLASSIFICATION
XPO,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
XYZ,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
YPF,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
Z,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
ZG,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
