ticker,factor_pack_row_present,factor_score_present,factor_pack_rank_present,factor_missing_reason,factor_refresh_needed,factor_ready
USFD,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
V,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
VECO,TRUE,TRUE,TRUE,,FALSE,TRUE
VEEV,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
VIAV,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
VIST,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
VMC,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
WAB,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
WDAY,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
WHR,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
WING,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
WLK,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
WULF,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
WVE,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
WWD,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
XENE,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
XLF,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
XLK,TRUE,TRUE,TRUE,,FALSE,TRUE
XPO,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
XYZ,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
YPF,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
Z,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
ZG,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
