ticker,official_price_cache_present,local_price_cache_readable,price_row_count,min_price_date,max_price_date,latest_close,rolling_ledger_present,rolling_ledger_success_within_lookback,rolling_ledger_last_success_date,price_ledger_ready,reason
AMC,TRUE,TRUE,3124,2013-12-18,2026-05-21,1.559999942779541,TRUE,TRUE,2026-05-22,TRUE,
APLD,TRUE,TRUE,1030,2022-04-13,2026-05-21,48.02000045776367,TRUE,TRUE,2026-05-22,TRUE,
BW,TRUE,TRUE,2750,2015-06-16,2026-05-21,20.540000915527344,TRUE,TRUE,2026-05-22,TRUE,
BYND,TRUE,TRUE,1774,2019-05-02,2026-05-21,0.7889999747276306,TRUE,TRUE,2026-05-22,TRUE,
COGT,TRUE,TRUE,2048,2018-03-29,2026-05-21,32.58000183105469,TRUE,TRUE,2026-05-22,TRUE,
CVNA,TRUE,TRUE,2279,2017-04-28,2026-05-21,64.38999938964844,TRUE,TRUE,2026-05-22,TRUE,
DBVT,TRUE,TRUE,2912,2014-10-22,2026-05-21,18.56999969482422,TRUE,TRUE,2026-05-22,TRUE,
FCNCA,TRUE,TRUE,9971,1986-10-22,2026-05-21,1989.47998046875,TRUE,TRUE,2026-05-22,TRUE,
HOOD,TRUE,TRUE,1209,2021-07-29,2026-05-21,75.91999816894531,TRUE,TRUE,2026-05-22,TRUE,
HTZ,TRUE,TRUE,1228,2021-07-01,2026-05-21,5.059999942779541,TRUE,TRUE,2026-05-22,TRUE,
INSM,TRUE,TRUE,6532,2000-06-01,2026-05-21,109.52999877929688,TRUE,TRUE,2026-05-22,TRUE,
NVAX,TRUE,TRUE,7665,1995-12-05,2026-05-21,8.979999542236328,TRUE,TRUE,2026-05-22,TRUE,
OKTA,TRUE,TRUE,2293,2017-04-07,2026-05-21,90.19000244140625,TRUE,TRUE,2026-05-22,TRUE,
OLMA,TRUE,TRUE,1381,2020-11-19,2026-05-21,13.944999694824219,TRUE,TRUE,2026-05-22,TRUE,
OLPX,TRUE,TRUE,1165,2021-09-30,2026-05-21,2.0299999713897705,TRUE,TRUE,2026-05-22,TRUE,
OPCH,TRUE,TRUE,7489,1996-08-15,2026-05-21,21.559999465942383,TRUE,TRUE,2026-05-22,TRUE,
PATH,TRUE,TRUE,1278,2021-04-21,2026-05-21,10.364999771118164,TRUE,TRUE,2026-05-22,TRUE,
PCOR,TRUE,TRUE,1257,2021-05-20,2026-05-21,45.7401008605957,TRUE,TRUE,2026-05-22,TRUE,
PCT,TRUE,TRUE,1472,2020-07-14,2026-05-21,11.670000076293945,TRUE,TRUE,2026-05-22,TRUE,
PDD,TRUE,TRUE,1966,2018-07-26,2026-05-21,96.44000244140625,TRUE,TRUE,2026-05-22,TRUE,
PFGC,TRUE,TRUE,2676,2015-09-30,2026-05-21,94.55000305175781,TRUE,TRUE,2026-05-22,TRUE,
PGNY,TRUE,TRUE,1651,2019-10-25,2026-05-21,24.809999465942383,TRUE,TRUE,2026-05-22,TRUE,
PI,TRUE,TRUE,2473,2016-07-21,2026-05-21,142.6199951171875,TRUE,TRUE,2026-05-22,TRUE,
PINS,TRUE,TRUE,1783,2019-04-18,2026-05-21,18.780000686645508,TRUE,TRUE,2026-05-22,TRUE,
PLUG,TRUE,TRUE,6680,1999-10-29,2026-05-21,3.765000104904175,TRUE,TRUE,2026-05-22,TRUE,
PM,TRUE,TRUE,4575,2008-03-17,2026-05-21,188.8300018310547,TRUE,TRUE,2026-05-22,TRUE,
PSIX,TRUE,TRUE,3545,2012-04-17,2026-05-21,38.619998931884766,TRUE,TRUE,2026-05-22,TRUE,
PTGX,TRUE,TRUE,2458,2016-08-11,2026-05-21,100.05000305175781,TRUE,TRUE,2026-05-22,TRUE,
PTON,TRUE,TRUE,1672,2019-09-26,2026-05-21,5.074999809265137,TRUE,TRUE,2026-05-22,TRUE,
PUMP,TRUE,TRUE,2308,2017-03-17,2026-05-21,16.94499969482422,TRUE,TRUE,2026-05-22,TRUE,
PYPL,TRUE,TRUE,2737,2015-07-06,2026-05-21,44.1349983215332,TRUE,TRUE,2026-05-22,TRUE,
QS,TRUE,TRUE,1448,2020-08-17,2026-05-21,7.989999771118164,TRUE,TRUE,2026-05-22,TRUE,
QSR,TRUE,TRUE,2877,2014-12-11,2026-05-21,75.20500183105469,TRUE,TRUE,2026-05-22,TRUE,
RBLX,TRUE,TRUE,1307,2021-03-10,2026-05-21,46.47999954223633,TRUE,TRUE,2026-05-22,TRUE,
RERE,TRUE,TRUE,1237,2021-06-18,2026-05-21,5.005000114440918,TRUE,TRUE,2026-05-22,TRUE,
RH,TRUE,TRUE,3407,2012-11-02,2026-05-21,132.7100067138672,TRUE,TRUE,2026-05-22,TRUE,
RIOT,TRUE,TRUE,2551,2016-03-31,2026-05-21,24.6299991607666,TRUE,TRUE,2026-05-22,TRUE,
RKT,TRUE,TRUE,1455,2020-08-06,2026-05-21,13.385000228881836,TRUE,TRUE,2026-05-22,TRUE,
RNG,TRUE,TRUE,3181,2013-09-27,2026-05-21,41.6349983215332,TRUE,TRUE,2026-05-22,TRUE,
ROKU,TRUE,TRUE,2173,2017-09-28,2026-05-21,126.15499877929688,TRUE,TRUE,2026-05-22,TRUE,
RSP,TRUE,TRUE,5802,2003-05-01,2026-05-21,203.22000122070312,TRUE,TRUE,2026-05-22,TRUE,
RTX,TRUE,TRUE,16142,1962-04-02,2026-05-21,175.10000610351562,TRUE,TRUE,2026-05-22,TRUE,
RVMD,TRUE,TRUE,1576,2020-02-13,2026-05-21,153.50999450683594,TRUE,TRUE,2026-05-22,TRUE,
SATS,TRUE,TRUE,4626,2008-01-02,2026-05-21,135.77000427246094,TRUE,TRUE,2026-05-22,TRUE,
SCCO,TRUE,TRUE,7644,1996-01-05,2026-05-21,176.0,TRUE,TRUE,2026-05-22,TRUE,
