priority_rank,ticker,price_row_count,min_price_date,max_price_date,latest_close,latest_volume,enough_history_for_technical_refresh,technical_plan_status,reason,source_batch
33,QSR,2877,2014-12-11,2026-05-21,75.20500183105469,600469,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
34,RBLX,1307,2021-03-10,2026-05-21,46.47999954223633,3807729,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
35,RERE,1237,2021-06-18,2026-05-21,5.005000114440918,885189,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
36,RH,3407,2012-11-02,2026-05-21,132.7100067138672,270453,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
37,RIOT,2551,2016-03-31,2026-05-21,24.6299991607666,6057408,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
38,RKT,1455,2020-08-06,2026-05-21,13.385000228881836,6400676,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
39,RNG,3181,2013-09-27,2026-05-21,41.6349983215332,689366,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
40,ROKU,2173,2017-09-28,2026-05-21,126.15499877929688,349729,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
41,RSP,5802,2003-05-01,2026-05-21,203.22000122070312,4663557,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
42,RTX,16142,1962-04-02,2026-05-21,175.10000610351562,720649,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
