priority_rank,ticker,source_batch,price_ledger_ready,factor_ready,technical_ready,factor_plan_status,technical_plan_status,combined_action,reason
1,AMC,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
2,APLD,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
3,BW,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
4,BYND,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
5,COGT,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
6,CVNA,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
7,DBVT,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
8,FCNCA,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
9,HOOD,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
10,HTZ,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
