ticker,date,open,high,low,close,adj_close,volume,provider,fetch_run_id,fetch_timestamp,source_quality
WAB,1995-06-16,7.5,8.0,7.4375,7.5,6.762434005737305,6212400,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-06-19,7.5625,7.625,7.0625,7.1875,6.480666160583496,1528200,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-06-20,7.25,7.3125,7.1875,7.1875,6.480666160583496,863000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-06-21,7.25,7.25,7.0,7.0625,6.367959976196289,629000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-06-22,7.0625,7.5625,7.0,7.3125,6.593371868133545,546200,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-06-23,7.375,7.4375,7.25,7.3125,6.593371868133545,365000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-06-26,7.3125,7.375,7.0,7.0625,6.367959976196289,515400,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-06-27,7.125,7.125,7.0,7.0,6.311604022979736,270800,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-06-28,7.0625,7.0625,7.0,7.0,6.311604022979736,500400,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-06-29,7.0,7.125,7.0,7.0,6.311604022979736,309200,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-06-30,7.0625,7.1875,7.0625,7.125,6.424312591552734,95000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-03,7.0625,7.125,7.0625,7.0625,6.367959976196289,9200,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-05,7.125,7.125,7.0625,7.0625,6.367959976196289,75600,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-06,7.0625,7.125,7.0625,7.0625,6.367959976196289,81400,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-07,7.0625,7.625,7.0625,7.5625,6.818787097930908,475000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-10,7.5,7.75,7.5,7.75,6.987849712371826,241400,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-11,7.625,8.5625,7.625,8.5,7.66409158706665,538600,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-12,8.5,9.0625,8.375,9.0,8.114922523498535,496200,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-13,9.0,9.0,8.8125,8.9375,8.058564186096191,384000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-14,8.9375,8.9375,8.75,8.9375,8.058564186096191,102200,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-17,9.0625,9.5,9.0625,9.4375,8.50939655303955,480200,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-18,9.4375,9.4375,9.0,9.0625,8.171274185180664,359200,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-19,9.0,9.0,8.8125,8.875,8.002216339111328,101600,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-20,8.75,8.75,8.4375,8.6875,7.833150386810303,119600,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-21,8.75,8.75,8.6875,8.6875,7.833150386810303,13000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-24,8.6875,8.8125,8.5625,8.5625,7.720448970794678,112000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-25,8.5625,8.8125,8.5625,8.75,7.889505386352539,201000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-26,8.875,9.1875,8.875,9.125,8.227628707885742,287800,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-27,9.1875,9.375,9.1875,9.3125,8.396693229675293,101600,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-28,9.375,9.4375,9.3125,9.3125,8.396693229675293,100400,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-07-31,9.375,9.375,9.0625,9.25,8.340332984924316,60800,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-08-01,9.1875,9.1875,9.0,9.0625,8.171274185180664,57600,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-08-02,9.0,9.0,8.875,8.875,8.002216339111328,41000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-08-03,8.8125,8.8125,8.75,8.75,7.889505386352539,12600,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-08-04,8.625,8.6875,8.5625,8.625,7.776800632476807,9000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WAB,1995-08-07,8.5625,8.75,8.5625,8.6875,7.833150386810303,12200,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
