ticker,date,open,high,low,close,adj_close,volume,provider,fetch_run_id,fetch_timestamp,source_quality
WING,2015-06-12,30.5,31.989999771118164,29.18000030517578,30.59000015258789,21.714553833007812,10899000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WING,2015-06-15,30.889999389648438,30.889999389648438,28.5,30.549999237060547,21.6861515045166,1023100,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WING,2015-06-16,30.030000686645508,30.600000381469727,29.510000228881836,29.68000030517578,21.068580627441406,383100,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WING,2015-06-17,29.420000076293945,29.874000549316406,28.073999404907227,28.280000686645508,20.074783325195312,570700,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WING,2015-06-18,27.350000381469727,29.200000762939453,27.0,28.649999618530273,20.337427139282227,553400,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WING,2015-06-19,28.950000762939453,29.639999389648438,28.65999984741211,29.34000015258789,20.82722282409668,197200,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WING,2015-06-22,29.489999771118164,29.510000228881836,28.5,28.559999465942383,20.273542404174805,179500,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WING,2015-06-23,28.549999237060547,29.299999237060547,28.360000610351562,28.75,20.408409118652344,259500,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WING,2015-06-24,28.75,28.934999465942383,28.0,28.329999923706055,20.110271453857422,227100,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
WING,2015-06-25,28.549999237060547,29.280000686645508,27.8799991607666,27.959999084472656,19.847625732421875,216000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
