ticker,date,open,high,low,close,adj_close,volume,provider,fetch_run_id,fetch_timestamp,source_quality
VECO,1994-11-29,11.5,11.5,10.75,10.9375,10.9375,1224400,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-11-30,11.0,11.25,10.9375,11.0,11.0,478700,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-01,11.125,11.125,10.9375,11.0,11.0,172200,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-02,11.0,11.25,11.0,11.0,11.0,50900,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-05,11.0,11.25,11.0,11.0,11.0,63900,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-06,11.0,11.0,11.0,11.0,11.0,123400,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-07,11.0,11.25,11.0,11.25,11.25,74700,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-08,11.0,11.25,9.25,9.25,9.25,296900,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-09,9.25,9.375,8.5,9.0,9.0,157500,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-12,9.0,9.5,8.75,9.4375,9.4375,187600,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-13,9.5,10.25,9.0,9.875,9.875,76300,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-14,9.75,10.25,9.75,9.75,9.75,8900,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-15,9.75,10.5,9.75,9.75,9.75,40700,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-16,10.25,10.25,9.75,10.0,10.0,6000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-19,10.0,10.25,9.75,10.25,10.25,18000,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
VECO,1994-12-20,9.75,10.25,9.75,9.75,9.75,2800,yfinance,V18_25A_R23B_20260522_145403,2026-05-22T14:54:03,STAGED_PROVIDER_RAW_NORMALIZED
