ticker,in_total_universe,in_current_full_candidates_before,in_current_top_candidates_before,in_latest_signal_freeze,calculation_attempted,price_data_attempted,price_data_available,price_data_source,latest_price_date,history_row_count,history_start_date,history_end_date,factor_calculation_attempted,factor_calculation_success,technical_calculation_attempted,technical_calculation_success,ranking_merge_attempted,ranking_merge_success,factor_score,technical_timing_score,recomputed_composite_score,recomputed_rank,rank_eligible,calculation_status,failure_bucket,failure_reason,evidence_sources,raw_universe_token_count,sanitized_universe_count,invalid_pseudo_ticker_count,invalid_pseudo_tickers,yfinance_failed_ticker_count,yfinance_failed_tickers,yfinance_failed_ticker_count_raw,price_unavailable_excluded_count,price_unavailable_excluded_tickers,current_price_refresh_blocking_failed_ticker_count
AA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/AA.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,51.557369,50.0,35.622948,99,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/AA.csv,,,,,,,,,,
AAL,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/AAL.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,35.045219,50.0,29.018088,208,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/AAL.csv,,,,,,,,,,
AAPL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,54.29,25.0,29.216,203,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
ABR,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/ABR.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23.632551,70.0,30.45302,173,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/ABR.csv,,,,,,,,,,
ACLS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29.52,50.0,26.808,248,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
ACM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,66.67,68.0,47.068,30,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
ACMR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,35.24,10.0,17.096,305,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
ADBE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/ADBE.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,32.752512,50.0,28.101005,224,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/ADBE.csv,,,,,,,,,,
ADMA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/ADMA.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12.188358,70.0,25.875343,257,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/ADMA.csv,,,,,,,,,,
ADSK,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/ADSK.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33.446931,50.0,28.378772,217,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/ADSK.csv,,,,,,,,,,
