metric,value,expected,status,notes
R27I_STATUS,OK_V18_25A_R27I_CANDIDATE_READINESS_AUDIT_READY,OK_V18_25A_R27I_CANDIDATE_READINESS_AUDIT_READY,OK,
CURRENT_RANKED_CANDIDATE_ROW_COUNT,250,250,OK,
PREVIEW_RANKED_CANDIDATE_ROW_COUNT,252,252,OK,
APPEND_ROW_COUNT,2,2,OK,
TARGETS_PRESENT_IN_PREVIEW_COUNT,2,2,OK,
DUPLICATE_TICKER_COUNT,0,0,OK,
SCHEMA_MATCH_CURRENT,TRUE,TRUE,OK,
TARGET_SCORE_PRESENT_COUNT,2,2,OK,
RANK_RECOMPUTED,TRUE,TRUE,OK,
PROMOTION_TO_CURRENT_RECOMMENDED,TRUE,TRUE,OK,
