STATUS: WARN_V18_21C_R1_SAMPLE_MATURITY_PRELIMINARY_ONLY
MODE: ADVISORY_ONLY
PATCH_MODE: SAMPLE_MATURITY_AND_FORWARD_MATCH_QUALITY_ONLY
POLICY_APPLIED: FALSE
SNAPSHOT_SOURCE_STATUS: OK_CURRENT_SIGNAL_SNAPSHOT
SIGNAL_SNAPSHOT_ROW_COUNT: 325
SIGNAL_SNAPSHOT_HISTORY_COUNT: 2
READY_FOR_FORWARD_RESEARCH_COUNT: 105
READY_FOR_SIMULATION_ANALYSIS_COUNT: 31
FORWARD_OUTCOME_SOURCE_COUNT: 6
FORWARD_OUTCOME_MATCHED_SIGNAL_COUNT: 20
HIGH_CONFIDENCE_MATCH_COUNT: 0
MEDIUM_CONFIDENCE_MATCH_COUNT: 0
LOW_CONFIDENCE_MATCH_COUNT: 20
UNMATCHED_OR_AMBIGUOUS_COUNT: 305
HORIZON_1D_USABLE_COUNT: 20
HORIZON_3D_USABLE_COUNT: 0
HORIZON_5D_USABLE_COUNT: 0
HORIZON_10D_USABLE_COUNT: 0
HORIZON_20D_USABLE_COUNT: 0
MATURE_HORIZON_COUNT: 0
PRELIMINARY_HORIZON_COUNT: 1
INSUFFICIENT_HORIZON_COUNT: 4
FACTOR_BUCKET_BALANCED_COUNT: 5
FACTOR_BUCKET_UNEVEN_COUNT: 4
FACTOR_MATURE_ENOUGH_COUNT: 0
FACTOR_PRELIMINARY_ONLY_COUNT: 10
FACTOR_INSUFFICIENT_EVIDENCE_COUNT: 0
EFFECT_CLAIM_ALLOWED_COUNT: 0
WEIGHT_CHANGE_ALLOWED_COUNT: 0
PRODUCTION_PROMOTION_ALLOWED_COUNT: 0
RESEARCH_CONCLUSION_STATUS: PRELIMINARY_ONLY_NO_EFFECT_CLAIMS
EFFECTIVENESS_EVIDENCE_STATUS: PRELIMINARY_ONLY_INSUFFICIENT_FOR_EFFECT_CLAIMS
DATA_DEGRADED_COUNT: 220
TRUE_5DAY_UNIQUE_COVERAGE_MET: FALSE
COVERAGE_WINDOW_COMPLETE: FALSE
DAILY_TRUST_LEVEL: MEDIUM
OFFICIAL_DECISION_IMPACT: NONE
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
CURRENT_DAILY_MODIFIED: FALSE
STATE_MODIFIED: FALSE
PRICE_CACHE_MODIFIED: FALSE
RANKING_MODIFIED: FALSE
TECHNICAL_TIMING_MODIFIED: FALSE
PRICE_FACTOR_MODIFIED: FALSE
SIGNAL_SNAPSHOT_MODIFIED: FALSE
SIMULATION_POSITION_MODIFIED: FALSE
FORWARD_TRACKER_MODIFIED: FALSE
PROMOTION_DEMOTION_MODIFIED: FALSE
MANUAL_STATE_MODIFIED: FALSE
BROKER_EXECUTION_MODIFIED: FALSE
EXTERNAL_DATA_FETCHED: FALSE
VALIDATION_FAIL_COUNT: 0
READ_FIRST: D:\us-tech-quant\outputs\v18\ops\V18_21C_R1_READ_FIRST.txt
REPORT: D:\us-tech-quant\outputs\v18\ops\V18_21C_R1_CURRENT_SAMPLE_MATURITY_FORWARD_MATCH_REPORT.md
