STATUS: OK_V18_25A_R23D_OFFICIAL_PRICE_CACHE_INTEGRATION_READY
MODE: APPLY_OFFICIAL_PRICE_CACHE_INTEGRATION_FULL_HISTORY_ONLY
RUN_ID: V18_25A_R23D_20260522_151105
CANDIDATE_PATH: outputs/v18/staged_backfill/V18_25A_R23C_CURRENT_OFFICIAL_INTEGRATION_CANDIDATES.csv
OFFICIAL_PRICE_CACHE_DIR: state/v18/price_cache
BACKUP_DIR: D:/us-tech-quant/archive/v18/price_cache_backups/V18_25A_R23D_20260522_151105
MAX_TICKERS: 36
R23C_APPROVED_EXPECTED_COUNT: 36
SELECTED_CANDIDATE_COUNT: 36
PARTIAL_HISTORY_HOLD_COUNT: 17
EMPTY_OR_FAILED_HOLD_COUNT: 5
INTEGRATION_ATTEMPT_COUNT: 36
INTEGRATION_SUCCESS_COUNT: 36
INTEGRATION_FAIL_COUNT: 0
TARGET_NEW_FILE_COUNT: 36
TARGET_UPDATED_FILE_COUNT: 0
TARGET_SKIPPED_COUNT: 0
POST_INTEGRATION_RETEST_ATTEMPT_COUNT: 36
POST_INTEGRATION_RETEST_SUCCESS_COUNT: 36
POST_INTEGRATION_RETEST_FAIL_COUNT: 0
HELD_OUT_NOT_INTEGRATED_COUNT: 22
BACKUP_MANIFEST_PATH: outputs/v18/price_integration/V18_25A_R23D_CURRENT_BACKUP_MANIFEST.csv
RESTORE_SCRIPT_PATH: D:/us-tech-quant/archive/v18/price_cache_backups/V18_25A_R23D_20260522_151105/RESTORE_V18_25A_R23D_PRICE_CACHE.ps1
INTEGRATION_PLAN_PATH: outputs/v18/price_integration/V18_25A_R23D_CURRENT_INTEGRATION_PLAN.csv
INTEGRATION_RESULT_PATH: outputs/v18/price_integration/V18_25A_R23D_CURRENT_INTEGRATION_RESULT.csv
POST_INTEGRATION_RETEST_PATH: outputs/v18/price_integration/V18_25A_R23D_CURRENT_POST_INTEGRATION_LOCAL_RETEST.csv
OFFICIAL_PRICE_CACHE_MODIFIED: TRUE
ROLLING_LEDGER_MODIFIED: FALSE
FACTOR_PACK_MODIFIED: FALSE
TECHNICAL_TIMING_MODIFIED: FALSE
TIER_FILES_MODIFIED: FALSE
OFFICIAL_DECISION_MODIFIED: FALSE
OFFICIAL_DECISION_IMPACT: NONE
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
EXTERNAL_FETCH_EXECUTED: FALSE
BACKTEST_EXECUTED: FALSE
VALIDATION_FAIL_COUNT: 0
FORBIDDEN_MODIFIED: FALSE
NEXT_RECOMMENDED_STEP: R23E: Rolling ledger update and local coverage validation for the 36 newly integrated full-history tickers.
