STATUS: OK_V18_28B_RECOMMENDATION_TIERS_READY
MODE: READ_ONLY_RECOMMENDATION_TIER_ACTION_LAYER
RUN_ID: 20260524_172032
CURRENT_RANKED_CANDIDATE_ROW_COUNT: 252
THEME_CLASSIFICATION_ROW_COUNT: 252
OUTPUT_RECOMMENDATION_ROW_COUNT: 252
MISSING_THEME_COUNT: 0
UNKNOWN_PRIMARY_THEME_COUNT: 0
DUPLICATE_TICKER_COUNT: 0
TECHNICAL_TIMING_AVAILABLE: TRUE
TECHNICAL_TIMING_MATCHED_COUNT: 252
RECOMMENDATION_TIER_COUNT: 8
CORE_CANDIDATE_COUNT: 6
WATCHLIST_STRONG_COUNT: 38
TACTICAL_ENTRY_COUNT: 24
OVERHEATED_WAIT_COUNT: 27
SPECULATIVE_SATELLITE_COUNT: 38
DEFENSIVE_HEDGE_COUNT: 13
ETF_OR_MACRO_EXPOSURE_COUNT: 2
DO_NOT_PRIORITIZE_COUNT: 104
OFFICIAL_DECISION_IMPACT: NONE
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
FORBIDDEN_MODIFIED: FALSE
