STATUS: OK_V18_25A_R27J_RANKED_CANDIDATES_PREVIEW_READY
MODE: PREVIEW_ONLY_RANKED_CANDIDATES_REFRESH
RUN_ID: V18_25A_R27J_20260523_020829
R27I_STATUS: OK_V18_25A_R27I_CANDIDATE_READINESS_AUDIT_READY
TARGET_TICKER_COUNT: 2
TARGET_TICKERS: RDDT,TLN
CURRENT_RANKED_CANDIDATE_ROW_COUNT: 250
PREVIEW_RANKED_CANDIDATE_ROW_COUNT: 252
APPEND_ROW_COUNT: 2
TARGETS_PRESENT_IN_PREVIEW_COUNT: 2
DUPLICATE_TICKER_COUNT: 0
SCHEMA_MATCH_CURRENT: TRUE
EXISTING_CURRENT_TICKERS_PRESERVED: TRUE
TARGET_SCORE_PRESENT_COUNT: 2
RANK_RECOMPUTED: TRUE
PROMOTION_TO_CURRENT_RECOMMENDED: TRUE
PRICE_CACHE_MODIFIED: FALSE
ROLLING_LEDGER_MODIFIED: FALSE
FACTOR_PACK_MODIFIED: FALSE
TECHNICAL_TIMING_MODIFIED: FALSE
CANDIDATES_CURRENT_MODIFIED: FALSE
EXTERNAL_FETCH_EXECUTED: FALSE
BACKTEST_EXECUTED: FALSE
OFFICIAL_DECISION_IMPACT: NONE
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
VALIDATION_FAIL_COUNT: 0
FORBIDDEN_MODIFIED: FALSE
NEXT_RECOMMENDED_STEP: R27K_PROMOTE_RANKED_CANDIDATES_PREVIEW_TO_CURRENT
