signal_date,ticker,rank,rank_source,score,price_at_signal,price_date,sector,industry,factor_score,technical_score,risk_label,run_mode,full_daily_mode_status,official_daily_status,v18_14b_status,v18_14a_status,top_5_snapshot,forward_1d_price,forward_1d_return,forward_3d_price,forward_3d_return,forward_5d_price,forward_5d_return,forward_10d_price,forward_10d_return,forward_20d_price,forward_20d_return,max_runup_20d,max_drawdown_20d,validation_status,last_updated,notes
2026-05-18,APH,1,V18_CURRENT_RANKED_CANDIDATES,32.131809,123.38,2026-05-18,,,,,TECH_TIMING_WATCH_POSITIVE,READ_CENTER_REFRESH_ONLY,NOT_FULL_DAILY_REFRESH_ONLY,SKIPPED,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_VALIDATE_ONLY_READY,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION,"APH,ACM,ASML,AMZN,CAMT",125.550003,0.017588,,,,,,,,,0.017588,0.017588,PARTIAL_FORWARD_FILLED,2026-05-27 12:58:59,FORWARD_VALIDATION_RESEARCH_ONLY
2026-05-18,ACM,2,V18_CURRENT_RANKED_CANDIDATES,30.495810,70.905,2026-05-18,,,,,TECH_TIMING_WATCH_POSITIVE,READ_CENTER_REFRESH_ONLY,NOT_FULL_DAILY_REFRESH_ONLY,SKIPPED,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_VALIDATE_ONLY_READY,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION,"APH,ACM,ASML,AMZN,CAMT",72.339996,0.020238,,,,,,,,,0.020238,0.020238,PARTIAL_FORWARD_FILLED,2026-05-27 12:58:59,FORWARD_VALIDATION_RESEARCH_ONLY
2026-05-18,ASML,3,V18_CURRENT_RANKED_CANDIDATES,24.855429,1511.3113,2026-05-18,,,,,TECH_TIMING_NEUTRAL,READ_CENTER_REFRESH_ONLY,NOT_FULL_DAILY_REFRESH_ONLY,SKIPPED,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_VALIDATE_ONLY_READY,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION,"APH,ACM,ASML,AMZN,CAMT",1517.439941,0.004055,,,,,,,,,0.004055,0.004055,PARTIAL_FORWARD_FILLED,2026-05-27 12:58:59,FORWARD_VALIDATION_RESEARCH_ONLY
2026-05-18,AMZN,4,V18_CURRENT_RANKED_CANDIDATES,22.746984,263.425,2026-05-18,,,,,TECH_TIMING_NEUTRAL,READ_CENTER_REFRESH_ONLY,NOT_FULL_DAILY_REFRESH_ONLY,SKIPPED,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_VALIDATE_ONLY_READY,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION,"APH,ACM,ASML,AMZN,CAMT",262.100006,-0.005030,,,,,,,,,-0.005030,-0.005030,PARTIAL_FORWARD_FILLED,2026-05-27 12:58:59,FORWARD_VALIDATION_RESEARCH_ONLY
2026-05-18,CAMT,5,V18_CURRENT_RANKED_CANDIDATES,22.369587,169.24,2026-05-18,,,,,TECH_TIMING_WATCH_POSITIVE,READ_CENTER_REFRESH_ONLY,NOT_FULL_DAILY_REFRESH_ONLY,SKIPPED,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_VALIDATE_ONLY_READY,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION,"APH,ACM,ASML,AMZN,CAMT",170.535004,0.007652,,,,,,,,,0.007652,0.007652,PARTIAL_FORWARD_FILLED,2026-05-27 12:58:59,FORWARD_VALIDATION_RESEARCH_ONLY
2026-05-18,CEG,6,V18_CURRENT_RANKED_CANDIDATES,21.987682,266.23,2026-05-18,,,,,TECH_TIMING_WATCH_POSITIVE,READ_CENTER_REFRESH_ONLY,NOT_FULL_DAILY_REFRESH_ONLY,SKIPPED,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_VALIDATE_ONLY_READY,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION,"APH,ACM,ASML,AMZN,CAMT",268.739990,0.009428,,,,,,,,,0.009428,0.009428,PARTIAL_FORWARD_FILLED,2026-05-27 12:58:59,FORWARD_VALIDATION_RESEARCH_ONLY
2026-05-18,CARR,7,V18_CURRENT_RANKED_CANDIDATES,21.982984,64.66,2026-05-18,,,,,TECH_TIMING_NEUTRAL,READ_CENTER_REFRESH_ONLY,NOT_FULL_DAILY_REFRESH_ONLY,SKIPPED,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_VALIDATE_ONLY_READY,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION,"APH,ACM,ASML,AMZN,CAMT",64.574997,-0.001315,,,,,,,,,-0.001315,-0.001315,PARTIAL_FORWARD_FILLED,2026-05-27 12:58:59,FORWARD_VALIDATION_RESEARCH_ONLY
2026-05-18,AMAT,8,V18_CURRENT_RANKED_CANDIDATES,16.517079,432.67,2026-05-18,,,,,TECH_TIMING_NEUTRAL,READ_CENTER_REFRESH_ONLY,NOT_FULL_DAILY_REFRESH_ONLY,SKIPPED,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_VALIDATE_ONLY_READY,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION,"APH,ACM,ASML,AMZN,CAMT",438.660004,0.013844,,,,,,,,,0.013844,0.013844,PARTIAL_FORWARD_FILLED,2026-05-27 12:58:59,FORWARD_VALIDATION_RESEARCH_ONLY
2026-05-18,AMKR,9,V18_CURRENT_RANKED_CANDIDATES,13.780381,70.05,2026-05-18,,,,,TECH_TIMING_NEUTRAL,READ_CENTER_REFRESH_ONLY,NOT_FULL_DAILY_REFRESH_ONLY,SKIPPED,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_VALIDATE_ONLY_READY,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION,"APH,ACM,ASML,AMZN,CAMT",70.860001,0.011563,,,,,,,,,0.011563,0.011563,PARTIAL_FORWARD_FILLED,2026-05-27 12:58:59,FORWARD_VALIDATION_RESEARCH_ONLY
2026-05-18,ANET,10,V18_CURRENT_RANKED_CANDIDATES,10.692254,142.69,2026-05-18,,,,,TECH_TIMING_PULLBACK_WATCH,READ_CENTER_REFRESH_ONLY,NOT_FULL_DAILY_REFRESH_ONLY,SKIPPED,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_VALIDATE_ONLY_READY,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION,"APH,ACM,ASML,AMZN,CAMT",144.904999,0.015523,,,,,,,,,0.015523,0.015523,PARTIAL_FORWARD_FILLED,2026-05-27 12:58:59,FORWARD_VALIDATION_RESEARCH_ONLY
