STATUS: WARN_V18_49A_MISSING_PRICE_HISTORY
PATCH_VERSION: V18.49A-R1
PATCH_NAME: POINT_IN_TIME_EVIDENCE_AND_EXIT_DATE_REPAIR
POINT_IN_TIME_ENRICHMENT_REPAIRED: TRUE
SYNTHETIC_EXIT_DATE_REMOVED: TRUE
LOW_EVIDENCE_RECOMMENDATION_CAPPED: TRUE
CURRENT_ONLY_RISK_SOURCES_HISTORICAL_USE_BLOCKED: TRUE
COMPARISON_BASIS_STATUS: INSUFFICIENT_MATCHED_EVIDENCE
POLICY_GRID_COUNT: 8
BACKTEST_ROW_COUNT: 460
COMPLETED_BACKTEST_ROW_COUNT: 0
PENDING_FORWARD_ROW_COUNT: 460
SOURCE_DIAGNOSTICS_ROW_COUNT: 10
USABLE_CANDIDATE_HISTORY_FOUND: TRUE
USABLE_PRICE_HISTORY_FOUND: FALSE
USABLE_FACTOR_SOURCE_FOUND: TRUE
USABLE_TECHNICAL_SOURCE_FOUND: TRUE
USABLE_EVENT_RISK_SOURCE_FOUND: TRUE
USABLE_OPTIONS_RISK_SOURCE_FOUND: TRUE
BEST_POLICY_ID: NONE
BEST_POLICY_RECOMMENDATION_LABEL: INSUFFICIENT_EVIDENCE
RECOMMENDED_SIM_STYLE: SIM_EXIT_VALIDATION
EVIDENCE_QUALITY: INSUFFICIENT
CURRENT_ALIAS_WRITTEN: TRUE
OFFICIAL_RANKING_CHANGED: FALSE
FACTOR_WEIGHTS_CHANGED: FALSE
OFFICIAL_BUY_PERMISSION_CHANGED: FALSE
OFFICIAL_SELL_PERMISSION_CHANGED: FALSE
REAL_TRADE_EXECUTION_ALLOWED: FALSE
OPTIONS_TRADE_EXECUTION_ALLOWED: FALSE
TRADING_EXECUTION_ALLOWED: FALSE
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
BROKER_API_USED: FALSE
ORDER_EXECUTION_USED: FALSE
VALIDATION_NOTES: READ_ONLY_RESEARCH_SIDECAR_NO_OFFICIAL_RANKING_WEIGHT_PERMISSION_POSITION_BROKER_ORDER_OR_TRADING_CHANGES
