ticker,company_name,sector,industry,source_tags,source_count,universe_tier,scan_priority,last_scan_date,next_due_scan_date,days_since_last_scan,scan_count_5d,scan_count_20d,last_price_update_date,last_price_update_depth,last_event_update_date,last_event_update_depth,required_data_depth,actual_data_depth,data_depth_sufficient,price_cache_status,event_cache_status,latest_price_date,last_close,price_freshness_status,ret_5d,ret_20d,ret_60d,ret_120d,above_ma20,above_ma60,above_ma120,distance_from_52w_high,relative_strength_vs_qqq,relative_strength_vs_smh,volume_surge_score,light_trend_status,promotion_score,demotion_score,promotion_reason,demotion_reason,consecutive_improvement_count,consecutive_weak_count,is_position,is_core_daily,is_candidate,is_watchlist,scan_deferred_reason
0,,,,DISCOVERED_V18_35A_UNIVERSE_TO_CANDIDATE_DIFF_DETAI;DISCOVERED_V18_35D_FULL_UNIVERSE_COMPUTATION_STATUS;DISCOVERED_V18_35D_FULL_UNIVERSE_RECOMPUTE_FAILURES;DISCOVERED_V18_35D_FULL_UNIVERSE_RECOMPUTE_SUMMARY;DISCOVERED_V18_35E_ONLINE_BACKFILL_CANDIDATE_BRIDGE;DISCOVERED_V18_35G_UNIVERSE_INVALID_TICKER_PRUNE_DE;DISCOVERED_V18_CURRENT_UNIVERSE_ROLLING_STATE;DISCOVERED_V18_UNIVERSE_ROLLING_STATE,8,RESEARCH,100,,,,0,0,UNKNOWN,READ_FROM_EXISTING_SOURCE,,,LIGHT_DATA,,UNKNOWN_NOT_UPDATED,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,,NOT_UPDATED_BY_V18_16A,,,,,,,,,,,,,0,0,NOT_EVALUATED_V18_16A,NOT_EVALUATED_V18_16A,0,0,FALSE,FALSE,FALSE,FALSE,ROLLING_SCAN_NOT_IMPLEMENTED_V18_16A
105,,,,DISCOVERED_V18_21A_R3_CURRENT_UNIVERSE_SOURCE_AUDIT;DISCOVERED_V18_35A_UNIVERSE_TO_CANDIDATE_DIFF_DETAI;DISCOVERED_V18_35D_FULL_UNIVERSE_COMPUTATION_STATUS;DISCOVERED_V18_35D_FULL_UNIVERSE_RECOMPUTE_FAILURES;DISCOVERED_V18_35G_UNIVERSE_INVALID_TICKER_PRUNE_DE;DISCOVERED_V18_CURRENT_UNIVERSE_ROLLING_STATE;DISCOVERED_V18_UNIVERSE_ROLLING_STATE,7,RESEARCH,100,,,,0,0,UNKNOWN,READ_FROM_EXISTING_SOURCE,,,LIGHT_DATA,,UNKNOWN_NOT_UPDATED,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,,NOT_UPDATED_BY_V18_16A,,,,,,,,,,,,,0,0,NOT_EVALUATED_V18_16A,NOT_EVALUATED_V18_16A,0,0,FALSE,FALSE,FALSE,FALSE,ROLLING_SCAN_NOT_IMPLEMENTED_V18_16A
11,,,,DISCOVERED_V18_35D_FULL_UNIVERSE_RECOMPUTE_SUMMARY;DISCOVERED_V18_CURRENT_UNIVERSE_ROLLING_STATE;DISCOVERED_V18_UNIVERSE_ROLLING_STATE,3,RESEARCH,100,,,,0,0,,READ_FROM_EXISTING_SOURCE,,,LIGHT_DATA,,UNKNOWN_NOT_UPDATED,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,,,NOT_UPDATED_BY_V18_16A,,,,,,,,,,,,,0,0,NOT_EVALUATED_V18_16A,NOT_EVALUATED_V18_16A,0,0,FALSE,FALSE,FALSE,FALSE,ROLLING_SCAN_NOT_IMPLEMENTED_V18_16A
20,,,,DISCOVERED_V18_35A_UNIVERSE_TO_CANDIDATE_DIFF_DETAI;DISCOVERED_V18_35D_FULL_UNIVERSE_COMPUTATION_STATUS;DISCOVERED_V18_35D_FULL_UNIVERSE_RECOMPUTE_FAILURES;DISCOVERED_V18_35G_UNIVERSE_INVALID_TICKER_PRUNE_DE;DISCOVERED_V18_CURRENT_CANDIDATE_SOURCE_MAP;DISCOVERED_V18_CURRENT_UNIVERSE_ROLLING_STATE;DISCOVERED_V18_UNIVERSE_ROLLING_STATE,7,RESEARCH,100,,,,0,0,UNKNOWN,READ_FROM_EXISTING_SOURCE,,,LIGHT_DATA,,UNKNOWN_NOT_UPDATED,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,,NOT_UPDATED_BY_V18_16A,,,,,,,,,,,,,0,0,NOT_EVALUATED_V18_16A,NOT_EVALUATED_V18_16A,0,0,FALSE,FALSE,FALSE,FALSE,ROLLING_SCAN_NOT_IMPLEMENTED_V18_16A
250,,,,DISCOVERED_V18_35A_UNIVERSE_TO_CANDIDATE_DIFF_DETAI;DISCOVERED_V18_35D_FULL_UNIVERSE_COMPUTATION_STATUS;DISCOVERED_V18_35D_FULL_UNIVERSE_RECOMPUTE_FAILURES;DISCOVERED_V18_35G_UNIVERSE_INVALID_TICKER_PRUNE_DE;DISCOVERED_V18_CURRENT_CANDIDATE_SOURCE_MAP;DISCOVERED_V18_CURRENT_UNIVERSE_ROLLING_STATE;DISCOVERED_V18_UNIVERSE_ROLLING_STATE,7,RESEARCH,100,,,,0,0,UNKNOWN,READ_FROM_EXISTING_SOURCE,,,LIGHT_DATA,,UNKNOWN_NOT_UPDATED,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,,NOT_UPDATED_BY_V18_16A,,,,,,,,,,,,,0,0,NOT_EVALUATED_V18_16A,NOT_EVALUATED_V18_16A,0,0,FALSE,FALSE,FALSE,FALSE,ROLLING_SCAN_NOT_IMPLEMENTED_V18_16A
252,,,,DISCOVERED_V18_35A_UNIVERSE_TO_CANDIDATE_DIFF_DETAI;DISCOVERED_V18_35D_FULL_UNIVERSE_COMPUTATION_STATUS;DISCOVERED_V18_35D_FULL_UNIVERSE_RECOMPUTE_FAILURES;DISCOVERED_V18_35G_UNIVERSE_INVALID_TICKER_PRUNE_DE;DISCOVERED_V18_CURRENT_CANDIDATE_SOURCE_MAP;DISCOVERED_V18_CURRENT_UNIVERSE_ROLLING_STATE;DISCOVERED_V18_UNIVERSE_ROLLING_STATE,7,RESEARCH,100,,,,0,0,UNKNOWN,READ_FROM_EXISTING_SOURCE,,,LIGHT_DATA,,UNKNOWN_NOT_UPDATED,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,,NOT_UPDATED_BY_V18_16A,,,,,,,,,,,,,0,0,NOT_EVALUATED_V18_16A,NOT_EVALUATED_V18_16A,0,0,FALSE,FALSE,FALSE,FALSE,ROLLING_SCAN_NOT_IMPLEMENTED_V18_16A
303,,,,DISCOVERED_V18_35A_UNIVERSE_TO_CANDIDATE_DIFF_DETAI;DISCOVERED_V18_35D_FULL_UNIVERSE_COMPUTATION_STATUS;DISCOVERED_V18_35D_FULL_UNIVERSE_RECOMPUTE_FAILURES;DISCOVERED_V18_35G_UNIVERSE_INVALID_TICKER_PRUNE_DE;DISCOVERED_V18_CURRENT_UNIVERSE_ROLLING_STATE;DISCOVERED_V18_UNIVERSE_ROLLING_STATE,6,RESEARCH,100,,,,0,0,UNKNOWN,READ_FROM_EXISTING_SOURCE,,,LIGHT_DATA,,UNKNOWN_NOT_UPDATED,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,,NOT_UPDATED_BY_V18_16A,,,,,,,,,,,,,0,0,NOT_EVALUATED_V18_16A,NOT_EVALUATED_V18_16A,0,0,FALSE,FALSE,FALSE,FALSE,ROLLING_SCAN_NOT_IMPLEMENTED_V18_16A
318,,,,DISCOVERED_V18_35A_UNIVERSE_TO_CANDIDATE_DIFF_DETAI;DISCOVERED_V18_35D_FULL_UNIVERSE_COMPUTATION_STATUS;DISCOVERED_V18_35D_FULL_UNIVERSE_RECOMPUTE_FAILURES;DISCOVERED_V18_35G_UNIVERSE_INVALID_TICKER_PRUNE_DE;DISCOVERED_V18_CURRENT_CANDIDATE_SOURCE_MAP;DISCOVERED_V18_CURRENT_UNIVERSE_ROLLING_STATE;DISCOVERED_V18_UNIVERSE_ROLLING_STATE,7,RESEARCH,100,,,,0,0,UNKNOWN,READ_FROM_EXISTING_SOURCE,,,LIGHT_DATA,,UNKNOWN_NOT_UPDATED,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,,NOT_UPDATED_BY_V18_16A,,,,,,,,,,,,,0,0,NOT_EVALUATED_V18_16A,NOT_EVALUATED_V18_16A,0,0,FALSE,FALSE,FALSE,FALSE,ROLLING_SCAN_NOT_IMPLEMENTED_V18_16A
325,,,,DISCOVERED_V18_21A_R3_CURRENT_UNIVERSE_SOURCE_AUDIT;DISCOVERED_V18_35A_UNIVERSE_TO_CANDIDATE_DIFF_DETAI;DISCOVERED_V18_35D_FULL_UNIVERSE_COMPUTATION_STATUS;DISCOVERED_V18_35D_FULL_UNIVERSE_RECOMPUTE_FAILURES;DISCOVERED_V18_35G_UNIVERSE_INVALID_TICKER_PRUNE_DE;DISCOVERED_V18_CURRENT_UNIVERSE_ROLLING_STATE;DISCOVERED_V18_UNIVERSE_ROLLING_STATE,7,RESEARCH,100,,,,0,0,UNKNOWN,READ_FROM_EXISTING_SOURCE,,,LIGHT_DATA,,UNKNOWN_NOT_UPDATED,NOT_UPDATED_BY_V18_16A,NOT_UPDATED_BY_V18_16A,UNKNOWN,,NOT_UPDATED_BY_V18_16A,,,,,,,,,,,,,0,0,NOT_EVALUATED_V18_16A,NOT_EVALUATED_V18_16A,0,0,FALSE,FALSE,FALSE,FALSE,ROLLING_SCAN_NOT_IMPLEMENTED_V18_16A
AA,Alcoa Corporation,,,CURRENT_RANKED_CANDIDATES;DISCOVERED_V18_16A_P1_CURRENT_MANUAL_UNIVERSE_ADDIT;DISCOVERED_V18_21A_R4_CURRENT_MISSING_HISTORY_BACKF;DISCOVERED_V18_21E_CURRENT_EVENT_ADJUSTED_CANDIDATE;DISCOVERED_V18_21E_R1_CURRENT_EVENT_ADJUSTED_CANDID;DISCOVERED_V18_23C_R5_CURRENT_BATCH2_MERGE_CANDIDAT;DISCOVERED_V18_23C_R6_CURRENT_BATCH2_FULL_HISTORY_I;DISCOVERED_V18_25A_R25F_CURRENT_RANKED_CANDIDATES_P;DISCOVERED_V18_25A_R26A_CURRENT_RANKED_CANDIDATE_JO;DISCOVERED_V18_25A_R26B_CURRENT_FULL_CANDIDATE_JOIN;DISCOVERED_V18_25A_R27J_CURRENT_RANKED_CANDIDATES_P;DISCOVERED_V18_25A_R27L_CURRENT_FULL_CANDIDATE_JOIN;DISCOVERED_V18_35A_UNIVERSE_TO_CANDIDATE_DIFF_DETAI;DISCOVERED_V18_35D_FULL_UNIVERSE_CANDIDATE_EXPANSIO;DISCOVERED_V18_35D_FULL_UNIVERSE_COMPUTATION_STATUS;DISCOVERED_V18_35D_FULL_UNIVERSE_FACTOR_PACK_RANKIN;DISCOVERED_V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_;DISCOVERED_V18_35D_FULL_UNIVERSE_TECHNICAL_TIMING;DISCOVERED_V18_35E_CANDIDATE_ADOPTION_BRIDGE;DISCOVERED_V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL;DISCOVERED_V18_CURRENT_CANDIDATE_THEME_CLASSIFICATI;DISCOVERED_V18_CURRENT_FULL_RANKED_CANDIDATES;DISCOVERED_V18_CURRENT_UNIVERSE_ROLLING_STATE;DISCOVERED_V18_RESTORED_RANKED_CANDIDATES_FROM_R29C;DISCOVERED_V18_UNIVERSE_ROLLING_STATE;MANUAL_EXPANSION_20260519,26,STRONG_WATCH,400,2026-05-27,2026-05-29,0,17,17,2026-05-20,LIGHT_PLUS_DATA,,,LIGHT_PLUS_DATA,MEDIUM_TREND_DATA,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,64.139999,NOT_UPDATED_BY_V18_16A,-0.062829,-0.064060,0.044455,0.636224,FALSE,FALSE,TRUE,-0.125085,-0.158920,-0.271553,,WEAK_DOWNTREND,20,135,candidate_weakness,demotion_candidate;ret_20d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,0,17,FALSE,FALSE,FALSE,TRUE,
