Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SCCO,SCCO,SCCO,SCCO,SCCO,SCCO
Date,,,,,,
1996-01-05,0.6378129124641418,2.5417299270629883,2.5417299270629883,2.3643999099731445,2.3643999099731445,140205
1996-01-08,0.6328688263893127,2.522027015686035,2.561434030532837,2.522027015686035,2.522027015686035,43140
1996-01-09,0.6378129124641418,2.5417299270629883,2.5417299270629883,2.522027015686035,2.522027015686035,12054
1996-01-10,0.6378129124641418,2.5417299270629883,2.5417299270629883,2.522027015686035,2.5417299270629883,108484
1996-01-11,0.6328688263893127,2.522027015686035,2.522027015686035,2.522027015686035,2.522027015686035,9516
1996-01-12,0.6378129124641418,2.5417299270629883,2.5417299270629883,2.5417299270629883,2.5417299270629883,13957
1996-01-15,0.6378129124641418,2.5417299270629883,2.5417299270629883,2.5417299270629883,2.5417299270629883,0
1996-01-16,0.6032029390335083,2.4038069248199463,2.522027015686035,2.384104013442993,2.502324104309082,196667
1996-01-17,0.6032029390335083,2.4038069248199463,2.4038069248199463,2.4038069248199463,2.4038069248199463,17763
1996-01-18,0.5982590913772583,2.384104013442993,2.443213939666748,2.3643999099731445,2.443213939666748,57097
1996-01-19,0.5933142304420471,2.3643999099731445,2.4038069248199463,2.3643999099731445,2.4038069248199463,196667
1996-01-22,0.5933142304420471,2.3643999099731445,2.3643999099731445,2.3643999099731445,2.3643999099731445,307055
1996-01-23,0.6081475615501404,2.4235100746154785,2.4235100746154785,2.3446969985961914,2.3643999099731445,447894
1996-01-24,0.6130918860435486,2.443213939666748,2.443213939666748,2.443213939666748,2.443213939666748,41237
1996-01-25,0.6427573561668396,2.561434030532837,2.561434030532837,2.4826200008392334,2.4826200008392334,152893
1996-01-26,0.6427573561668396,2.561434030532837,2.561434030532837,2.5417299270629883,2.561434030532837,588098
1996-01-29,0.6773672103881836,2.699357032775879,2.699357032775879,2.58113694190979,2.58113694190979,218237
1996-01-30,0.6773672103881836,2.699357032775879,2.719059944152832,2.6796538829803467,2.719059944152832,68516
1996-01-31,0.7020889520645142,2.7978739738464355,2.7978739738464355,2.699357032775879,2.7387640476226807,206818
1996-02-01,0.7268099784851074,2.896389961242676,2.9357969760894775,2.837280035018921,2.837280035018921,339410
