ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime
MCHP,MCHP,2026-05-29,94.65,96.2185,102.4758,89.9612,0.3747,0.1301,False,BB_LOWER_HALF,55.7078,RSI_NEUTRAL,53.9589,48.235,65.4068,KDJ_NEUTRAL,0.9412,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
MPWR,MPWR,2026-05-29,1566.21,1589.5155,1694.0743,1484.9567,0.3886,0.1316,False,BB_LOWER_HALF,51.9984,RSI_NEUTRAL,61.9212,60.5784,64.6068,KDJ_NEUTRAL,1.1198,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
NVDA,NVDA,2026-05-29,211.14,215.458,235.215,195.701,0.3907,0.1834,False,BB_LOWER_HALF,49.4096,RSI_NEUTRAL,18.6891,27.2609,1.5453,KDJ_NEUTRAL,1.151,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
PWR,PWR,2026-05-29,711.73,746.409,797.3017,695.5163,0.1593,0.1364,False,BB_LOWER_HALF,50.8351,RSI_NEUTRAL,38.314,41.2432,32.4556,KDJ_DEAD_CROSS,0.8463,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
VRT,VRT,2026-05-29,315.71,339.694,382.0239,297.3641,0.2167,0.2492,False,BB_LOWER_HALF,45.3786,RSI_NEUTRAL,14.9872,20.9576,3.0465,KDJ_NEUTRAL,1.0228,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
COHU,COHU,2026-05-29,52.75,48.4515,54.8435,42.0595,0.8362,0.2639,False,BB_UPPER_HALF,63.6761,RSI_STRONG,79.2535,67.2146,103.3313,KDJ_NEUTRAL,1.2549,0,0,4,54.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
MDB,MDB,2026-05-29,335.55,303.7545,351.6153,255.8937,0.8322,0.3151,False,BB_UPPER_HALF,63.259,RSI_STRONG,52.7925,52.1453,54.0867,KDJ_GOLDEN_CROSS,2.0741,0,0,4,54.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
MOD,MOD,2026-05-29,278.91,270.1875,297.8981,242.4769,0.6574,0.2051,True,BB_UPPER_HALF,55.6453,RSI_NEUTRAL,48.794,47.6974,50.9872,KDJ_NEUTRAL,1.6089,0,0,4,54.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
PSTG,PSTG,2026-05-29,79.51,79.5795,90.156,69.003,0.4967,0.2658,False,BB_MID,52.5464,RSI_NEUTRAL,47.3413,49.786,42.4519,KDJ_NEUTRAL,1.7361,0,0,4,54.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
AEHR,AEHR,2026-05-29,92.33,95.2445,111.5802,78.9088,0.4108,0.343,False,BB_MID,51.2792,RSI_NEUTRAL,58.7031,58.6729,58.7636,KDJ_NEUTRAL,0.8314,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
