schema_item,value,notes
current_field_count,33,"ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime"
staged_field_count,40,"ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime,formula_compatibility,technical_status,technical_refresh_blocker,input_history_rows,duplicate_date_count,close_column_available,refresh_scope"
missing_current_fields_from_staged,0,
extra_staged_fields_not_merged,7,"close_column_available,duplicate_date_count,formula_compatibility,input_history_rows,refresh_scope,technical_refresh_blocker,technical_status"
schema_compatibility_status,MERGE_SCHEMA_COMPATIBLE,Current schema preserved in V18_6A_CURRENT_TECHNICAL_TIMING.csv.
