ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime,formula_compatibility,technical_status,technical_refresh_blocker,input_history_rows,duplicate_date_count,close_column_available,dryrun_scope
AA,AA,2026-05-20,64.14,64.3,68.1273,60.4727,0.4791,0.119,True,BB_MID,47.7932,RSI_NEUTRAL,35.8861,41.3147,25.0287,KDJ_NEUTRAL,1.0248,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
AAL,AAL,2026-05-20,12.95,12.314,13.4749,11.1531,0.7739,0.1886,False,BB_UPPER_HALF,58.8143,RSI_NEUTRAL,42.9715,46.5043,35.9061,KDJ_NEUTRAL,1.168,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
ABR,ABR,2026-05-20,5.78,7.1345,9.182,5.087,0.1692,0.574,False,BB_LOWER_HALF,27.2445,RSI_OVERSOLD,7.8789,11.9112,-0.1856,KDJ_EXTREME_OVERSOLD,1.0031,0,22,0,72.0,TECH_TIMING_WATCH_POSITIVE,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
ADBE,ADBE,2026-05-20,253.37,247.4135,260.8726,233.9544,0.7213,0.1088,False,BB_UPPER_HALF,54.3882,RSI_NEUTRAL,61.6826,55.1764,74.6952,KDJ_NEUTRAL,1.1198,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
ADMA,ADMA,2026-05-20,8.56,9.4975,11.8824,7.1126,0.3035,0.5022,False,BB_LOWER_HALF,35.7521,RSI_WEAK,52.5807,39.0153,79.7114,KDJ_NEUTRAL,0.5079,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
ADSK,ADSK,2026-05-20,243.63,239.792,251.7359,227.8481,0.6607,0.0996,False,BB_UPPER_HALF,53.3466,RSI_NEUTRAL,56.7356,48.0476,74.1115,KDJ_NEUTRAL,0.9704,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
AEIS,AEIS,2026-05-20,313.05,354.403,409.2921,299.5139,0.1233,0.3098,False,BB_LOWER_HALF,37.4861,RSI_WEAK,19.5958,20.1475,18.4922,KDJ_NEUTRAL,1.3874,0,14,4,68.0,TECH_TIMING_WATCH_POSITIVE,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
AEVA,AEVA,2026-05-20,21.11,17.0737,21.97,12.1775,0.9122,0.5735,False,BB_NEAR_UPPER,64.6479,RSI_STRONG,78.5587,74.3824,86.9113,KDJ_NEUTRAL,1.0224,10,0,0,40.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
AFRM,AFRM,2026-05-20,67.12,65.338,68.4924,62.1836,0.7825,0.0966,True,BB_UPPER_HALF,58.744,RSI_NEUTRAL,53.4065,51.1417,57.9362,KDJ_GOLDEN_CROSS,0.8424,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
AGX,AGX,2026-05-20,630.5,680.0555,749.3868,610.7242,0.1426,0.2039,False,BB_LOWER_HALF,45.5013,RSI_NEUTRAL,32.0243,48.5551,-1.0374,KDJ_NEUTRAL,1.0493,0,8,0,58.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
