ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime
CARR,CARR,2026-05-26,64.89,64.9355,69.0422,60.8288,0.4945,0.1265,False,BB_MID,53.5995,RSI_NEUTRAL,38.9444,32.2418,52.3495,KDJ_LOW_GOLDEN_CROSS,1.0457,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
CART,CART,2026-05-20,41.29999923706055,41.171,44.356735,37.985264,0.520246,0.154756,False,BB_MID,46.808513,RSI_NEUTRAL,53.772861,53.772861,53.772861,KDJ_NEUTRAL,0.903539,0,0,0,50.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CDNS,CDNS,2026-05-20,350.8900146484375,344.953001,371.236383,318.66962,0.612942,0.152388,False,BB_UPPER_HALF,64.497688,RSI_NEUTRAL,57.787773,57.787773,57.787773,KDJ_NEUTRAL,0.723505,0,0,0,50.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CEG,CEG,2026-05-26,301.57,294.936,333.918,255.954,0.5851,0.2643,False,BB_MID,55.0507,RSI_NEUTRAL,59.9021,40.766,98.1742,KDJ_NEUTRAL,0.9895,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
CHPT,CHPT,2026-05-20,6.230000019073486,6.4595,6.950844,5.968156,0.266457,0.152131,False,BB_LOWER_HALF,46.153849,RSI_NEUTRAL,41.414136,41.414136,41.414136,KDJ_NEUTRAL,1.150862,0,10,0,60.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CHRW,CHRW,2026-05-20,180.63999938964844,173.7805,191.720525,155.840475,0.691179,0.206468,False,BB_UPPER_HALF,49.074222,RSI_NEUTRAL,85.738593,85.738593,85.738593,KDJ_NEUTRAL,1.334857,0,0,0,50.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CHYM,CHYM,2026-05-22,17.799999237060547,19.42725,23.296968,15.557532,0.289746,0.39838,False,BB_LOWER_HALF,27.615058,RSI_OVERSOLD,24.51498,24.51498,24.51498,KDJ_NEUTRAL,0.728845,0,10,0,70.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CIEN,CIEN,2026-05-26,602.39,551.7995,621.8537,481.7454,0.8611,0.2539,False,BB_UPPER_HALF,63.9251,RSI_STRONG,79.2276,68.6738,100.3353,KDJ_NEUTRAL,0.8971,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
CIFR,CIFR,2026-05-26,23.02,20.0102,23.8192,16.2013,0.8951,0.3807,False,BB_UPPER_HALF,63.9008,RSI_STRONG,69.1956,60.2051,87.1767,KDJ_NEUTRAL,0.8614,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
CLF,CLF,2026-05-20,10.34000015258789,10.4885,11.47268,9.50432,0.424557,0.187668,False,BB_MID,51.417008,RSI_NEUTRAL,20.588221,20.588221,20.588221,KDJ_NEUTRAL,0.786071,0,0,0,50.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
