STATUS: WARN_V18_35D_FULL_UNIVERSE_RECOMPUTE_REVIEW_NEEDED
RUN_ID: V18_35D_20260525_141107
USE_YFINANCE_FOR_FULL_UNIVERSE_RECOMPUTE: FALSE
APPLY_FULL_UNIVERSE_RECOMPUTED_CANDIDATES: FALSE
TOTAL_UNIVERSE_COUNT: 318
CALCULATION_ATTEMPTED_COUNT: 318
PRICE_DATA_AVAILABLE_COUNT: 318
PRICE_DATA_MISSING_COUNT: 0
FACTOR_CALCULATION_SUCCESS_COUNT: 318
FACTOR_CALCULATION_FAILURE_COUNT: 0
TECHNICAL_CALCULATION_SUCCESS_COUNT: 318
TECHNICAL_CALCULATION_FAILURE_COUNT: 0
RANKING_MERGE_SUCCESS_COUNT: 318
RANKING_MERGE_FAILURE_COUNT: 0
RANK_ELIGIBLE_COUNT: 318
RANK_INELIGIBLE_COUNT: 0
CURRENT_FULL_CANDIDATE_COUNT_BEFORE: 318
CURRENT_FULL_CANDIDATE_COUNT_AFTER: 318
CURRENT_RANKED_CANDIDATES_COUNT_BEFORE: 318
CURRENT_RANKED_CANDIDATES_COUNT_AFTER: 318
LATEST_SIGNAL_FREEZE_COUNT: 318
EXPECTED_FREEZE_NOT_EXPANDED_YET: FALSE
DUPLICATE_TICKER_COUNT: 0
BACKUP_PATH: NONE
WARNING_COUNT: 1
FAIL_COUNT: 0
REPORT: outputs/v18/read_center/V18_35D_FULL_UNIVERSE_RECOMPUTE_REPORT.md
CURRENT_REPORT: outputs/v18/read_center/V18_CURRENT_FULL_UNIVERSE_RECOMPUTE.md
COMPUTATION_STATUS_CSV: outputs/v18/candidates/V18_35D_FULL_UNIVERSE_COMPUTATION_STATUS.csv
RECOMPUTED_FACTOR_PACK_CSV: outputs/v18/factor_pack/V18_35D_FULL_UNIVERSE_FACTOR_PACK_RANKING.csv
RECOMPUTED_TECHNICAL_TIMING_CSV: outputs/v18/technical_timing/V18_35D_FULL_UNIVERSE_TECHNICAL_TIMING.csv
RECOMPUTED_RANKED_CANDIDATES_CSV: outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTED_RANKED_CANDIDATES.csv
FAILURES_CSV: outputs/v18/candidates/V18_35D_FULL_UNIVERSE_RECOMPUTE_FAILURES.csv
SUMMARY_CSV: outputs/v18/ops/V18_35D_FULL_UNIVERSE_RECOMPUTE_SUMMARY.csv
OFFICIAL_DECISION_IMPACT: NONE
AUTO_TRADE: DISABLED
AUTO_SELL: DISABLED
FORBIDDEN_MODIFIED: FALSE
