Date,Open,High,Low,Close,Adj Close,Volume
2019-05-16,48.0,48.6150016784668,47.915000915527344,48.45500183105469,37.828636169433594,1505000
2019-05-17,48.16999816894531,49.005001068115234,48.16999816894531,48.94499969482422,38.211181640625,2147400
2019-05-20,49.0,49.255001068115234,48.72999954223633,48.974998474121094,38.23459243774414,2679000
2019-05-21,48.92499923706055,49.279998779296875,48.689998626708984,48.84000015258789,38.12921142578125,2595400
2019-05-22,48.880001068115234,49.2599983215332,48.69499969482422,49.244998931884766,38.44539260864258,1797800
2019-05-23,49.334999084472656,49.685001373291016,49.22999954223633,49.67499923706055,38.781089782714844,1854000
2019-05-24,49.67499923706055,49.91999816894531,49.470001220703125,49.494998931884766,38.640560150146484,2376200
2019-05-28,49.5099983215332,49.525001525878906,48.459999084472656,48.46500015258789,37.83644485473633,3340000
2019-05-29,48.560001373291016,48.67499923706055,47.75,47.83000183105469,37.340702056884766,3736600
2019-05-30,48.02000045776367,48.21500015258789,47.814998626708984,48.08000183105469,37.5358772277832,3937400
2019-05-31,48.1349983215332,48.69499969482422,47.95500183105469,48.53499984741211,37.891090393066406,5991800
2019-06-03,48.6349983215332,49.01499938964844,48.209999084472656,49.0099983215332,38.261924743652344,4483800
2019-06-04,48.974998474121094,48.974998474121094,47.709999084472656,48.720001220703125,38.035518646240234,5144600
2019-06-05,48.91999816894531,50.380001068115234,48.85499954223633,50.119998931884766,39.12850570678711,5399800
2019-06-06,50.16999816894531,50.76499938964844,50.14500045776367,50.4900016784668,39.41736602783203,3383400
2019-06-07,50.95000076293945,51.21500015258789,50.26499938964844,50.29999923706055,39.26902770996094,3752000
2019-06-10,50.14500045776367,50.369998931884766,49.709999084472656,49.92499923706055,38.976261138916016,4671200
2019-06-11,49.7599983215332,50.01499938964844,49.43000030517578,49.75,38.83964920043945,3456200
2019-06-12,50.119998931884766,50.875,50.0,50.654998779296875,39.54616165161133,3256600
2019-06-13,50.69499969482422,50.915000915527344,50.26499938964844,50.5099983215332,39.432979583740234,2707000
2019-06-14,50.630001068115234,51.23500061035156,50.630001068115234,51.02000045776367,39.83112335205078,2858200
2019-06-17,51.11000061035156,51.38999938964844,50.55500030517578,50.880001068115234,39.72183609008789,4176400
2019-06-18,51.095001220703125,51.165000915527344,50.29999923706055,50.650001525878906,39.542274475097656,2077600
2019-06-19,50.404998779296875,51.42499923706055,50.404998779296875,51.2400016784668,40.00288772583008,2706800
2019-06-20,51.5,51.89500045776367,51.26499938964844,51.720001220703125,40.37761306762695,3527600
2019-06-21,51.75,52.20500183105469,51.310001373291016,52.130001068115234,40.697696685791016,5630600
2019-06-24,52.15999984741211,52.2400016784668,51.720001220703125,51.845001220703125,40.47519302368164,2528400
2019-06-25,51.73500061035156,51.92499923706055,51.494998931884766,51.619998931884766,40.299537658691406,3637000
2019-06-26,51.61000061035156,51.654998779296875,50.54499816894531,50.60499954223633,39.507137298583984,4651000
2019-06-27,50.70000076293945,51.03499984741211,50.435001373291016,50.83000183105469,39.682796478271484,2307400
2019-06-28,50.755001068115234,51.53499984741211,50.744998931884766,51.46500015258789,40.17853927612305,6031400
2019-07-01,51.404998779296875,51.46500015258789,50.564998626708984,51.0,39.815521240234375,4721400
2019-07-02,51.23500061035156,52.04499816894531,51.17499923706055,51.845001220703125,40.47519302368164,3727200
2019-07-03,51.89500045776367,52.56999969482422,51.89500045776367,52.27000045776367,40.8069953918457,2909000
2019-07-05,51.744998931884766,52.21500015258789,51.30500030517578,52.16999816894531,40.72892379760742,2318800
2019-07-08,52.22999954223633,52.44499969482422,51.84000015258789,52.185001373291016,40.74064636230469,2940800
2019-07-09,52.1349983215332,52.244998931884766,51.67499923706055,52.119998931884766,40.68989181518555,4299000
2019-07-10,52.33000183105469,52.775001525878906,52.084999084472656,52.334999084472656,40.85773468017578,2386800
2019-07-11,52.165000915527344,52.625,51.775001525878906,52.224998474121094,40.7718620300293,2634000
2019-07-12,52.35499954223633,52.35499954223633,51.70000076293945,51.935001373291016,40.54545593261719,2215400
2019-07-15,52.064998626708984,52.41999816894531,51.70000076293945,52.41999816894531,40.92410659790039,3224200
2019-07-16,52.349998474121094,52.494998931884766,51.97999954223633,52.439998626708984,40.93971252441406,2501600
2019-07-17,52.650001525878906,52.959999084472656,52.525001525878906,52.77000045776367,41.19734573364258,1926000
2019-07-18,52.80500030517578,53.38999938964844,52.47999954223633,53.375,41.669673919677734,2119800
2019-07-19,53.310001373291016,53.67499923706055,52.79499816894531,52.79999923706055,41.220767974853516,3166800
2019-07-22,53.029998779296875,53.029998779296875,52.494998931884766,52.70000076293945,41.1427116394043,2687000
2019-07-23,52.709999084472656,52.775001525878906,52.334999084472656,52.43000030517578,40.93191146850586,2297600
2019-07-24,52.69499969482422,52.78499984741211,51.94499969482422,52.33000183105469,40.85383987426758,2283800
2019-07-25,52.14500045776367,52.400001525878906,51.73500061035156,52.0099983215332,40.6040153503418,2739600
2019-07-26,52.0,52.06999969482422,51.654998779296875,51.845001220703125,40.47519302368164,4300400
2019-07-29,52.0,52.47999954223633,51.84000015258789,52.470001220703125,40.96315002441406,2013200
2019-07-30,52.375,52.48500061035156,51.650001525878906,51.939998626708984,40.54936981201172,2062200
2019-07-31,52.45000076293945,53.03499984741211,52.30500030517578,52.810001373291016,41.22856903076172,6472200
2019-08-01,52.58000183105469,53.904998779296875,52.58000183105469,53.47999954223633,41.751644134521484,3363600
2019-08-02,53.5099983215332,53.77000045776367,53.095001220703125,53.36000061035156,41.6579475402832,2261600
2019-08-05,53.5,53.724998474121094,52.224998474121094,52.45500183105469,40.95143127441406,2472600
2019-08-06,52.4900016784668,53.474998474121094,51.959999084472656,53.275001525878906,41.59159469604492,2744600
2019-08-07,52.974998474121094,53.36000061035156,52.16999816894531,52.959999084472656,41.70183563232422,2590800
2019-08-08,52.91999816894531,53.76499938964844,52.73500061035156,53.52000045776367,42.142791748046875,1803600
2019-08-09,53.60499954223633,53.97999954223633,53.46500015258789,53.71500015258789,42.29634094238281,2611200
2019-08-12,53.75,54.1150016784668,53.584999084472656,53.869998931884766,42.41838836669922,1965600
2019-08-13,53.915000915527344,54.125,53.48500061035156,53.90999984741211,42.44987869262695,2057800
2019-08-14,54.064998626708984,54.26499938964844,53.29999923706055,53.5,42.12703323364258,1911400
2019-08-15,53.5099983215332,54.70000076293945,52.47999954223633,54.5,42.91446304321289,3031400
2019-08-16,54.529998779296875,54.82500076293945,54.39500045776367,54.595001220703125,42.98927307128906,1810400
2019-08-19,54.625,55.16999816894531,54.290000915527344,54.89500045776367,43.22549819946289,1979000
2019-08-20,55.20000076293945,55.279998779296875,54.72999954223633,55.10499954223633,43.39084243774414,2624600
2019-08-21,55.08000183105469,55.84000015258789,54.974998474121094,55.834999084472656,43.96567153930664,1992600
2019-08-22,55.84000015258789,55.88999938964844,55.275001525878906,55.654998779296875,43.82392120361328,2101200
2019-08-23,55.70500183105469,56.060001373291016,54.665000915527344,54.91999816894531,43.24517822265625,2599000
2019-08-26,55.02000045776367,55.779998779296875,55.02000045776367,55.77000045776367,43.914485931396484,1667400
2019-08-27,56.02000045776367,56.290000915527344,55.790000915527344,56.04999923706055,44.13496780395508,1836000
2019-08-28,56.16999816894531,56.29999923706055,55.75,56.15999984741211,44.221588134765625,1892400
2019-08-29,56.38999938964844,56.599998474121094,55.97999954223633,56.5099983215332,44.497188568115234,1516200
2019-08-30,56.630001068115234,56.72999954223633,56.19499969482422,56.41999816894531,44.426307678222656,1781200
2019-09-03,56.54499816894531,57.654998779296875,56.42499923706055,57.59000015258789,45.347599029541016,4073200
2019-09-04,57.720001220703125,57.95000076293945,57.35499954223633,57.78499984741211,45.50115203857422,1765600
2019-09-05,57.369998931884766,57.59000015258789,56.79499816894531,57.25,45.07987976074219,3576400
2019-09-06,57.06999969482422,57.31999969482422,56.70500183105469,56.775001525878906,44.70584487915039,3561400
2019-09-09,56.95000076293945,56.959999084472656,56.150001525878906,56.29499816894531,44.327880859375,2828600
2019-09-10,56.150001525878906,56.15999984741211,55.54999923706055,56.125,44.19402313232422,2866200
2019-09-11,56.125,56.599998474121094,55.83000183105469,56.45500183105469,44.45387268066406,2756400
2019-09-12,56.915000915527344,57.36000061035156,56.470001220703125,56.94499969482422,44.83970260620117,2133400
2019-09-13,56.6349983215332,57.05500030517578,56.36000061035156,56.7599983215332,44.69403839111328,2650200
2019-09-16,56.834999084472656,56.93000030517578,56.3849983215332,56.76499938964844,44.69798278808594,2061000
2019-09-17,57.04999923706055,57.599998474121094,56.97999954223633,57.22999954223633,45.064117431640625,2129600
2019-09-18,57.435001373291016,57.564998626708984,56.92499923706055,57.32500076293945,45.13892364501953,2074600
2019-09-19,57.625,57.63999938964844,57.220001220703125,57.540000915527344,45.308231353759766,2253400
2019-09-20,57.96500015258789,58.28499984741211,57.314998626708984,57.60499954223633,45.359405517578125,8198400
2019-09-23,57.654998779296875,57.915000915527344,57.349998474121094,57.814998626708984,45.52476119995117,2485000
2019-09-24,58.029998779296875,58.744998931884766,58.0099983215332,58.54499816894531,46.099586486816406,2904800
2019-09-25,58.435001373291016,58.59000015258789,58.064998626708984,58.439998626708984,46.01689910888672,2378200
2019-09-26,58.599998474121094,59.04999923706055,58.470001220703125,58.775001525878906,46.28068923950195,2190400
2019-09-27,58.834999084472656,58.89500045776367,58.29499816894531,58.75,46.2609977722168,1726000
2019-09-30,58.71500015258789,59.16999816894531,58.56999969482422,58.68000030517578,46.20588302612305,2269400
2019-10-01,58.52000045776367,58.69499969482422,58.19499969482422,58.65999984741211,46.19013977050781,1511400
2019-10-02,58.63999938964844,58.849998474121094,58.0,58.224998474121094,45.847599029541016,2129000
2019-10-03,58.34000015258789,58.48500061035156,58.005001068115234,58.25,45.867286682128906,2448800
2019-10-04,58.3849983215332,59.43000030517578,58.209999084472656,59.3849983215332,46.761016845703125,2252800
2019-10-07,59.15999984741211,59.21500015258789,58.82500076293945,58.89500045776367,46.37517547607422,2192800
2019-10-08,58.994998931884766,59.26499938964844,58.619998931884766,58.810001373291016,46.308250427246094,2854200
2019-10-09,58.83000183105469,59.275001525878906,58.810001373291016,59.029998779296875,46.48148727416992,1780400
2019-10-10,58.82500076293945,59.10499954223633,58.45000076293945,58.89500045776367,46.37517547607422,1462800
2019-10-11,58.8650016784668,59.0099983215332,58.38999938964844,58.6150016784668,46.15469741821289,1589000
2019-10-14,58.75,58.93000030517578,58.1349983215332,58.30500030517578,45.91059494018555,1552600
2019-10-15,58.30500030517578,58.55500030517578,57.755001068115234,57.775001525878906,45.493255615234375,1932400
2019-10-16,57.73500061035156,58.029998779296875,57.41999816894531,58.02000045776367,45.686187744140625,2919800
2019-10-17,59.279998779296875,59.584999084472656,58.29499816894531,58.63999938964844,46.17437744140625,5776800
2019-10-18,58.494998931884766,59.21500015258789,58.41999816894531,59.07500076293945,46.51691436767578,3048800
2019-10-21,58.96500015258789,59.58000183105469,58.95500183105469,59.5099983215332,46.859439849853516,2652200
2019-10-22,59.64500045776367,59.92499923706055,59.505001068115234,59.70500183105469,47.012996673583984,2445400
2019-10-23,59.84000015258789,60.345001220703125,59.71500015258789,60.32500076293945,47.501190185546875,3756000
2019-10-24,60.2599983215332,60.724998474121094,60.2599983215332,60.625,47.73741912841797,1988400
2019-10-25,60.70500183105469,60.70500183105469,59.869998931884766,60.1349983215332,47.35157775878906,3052400
2019-10-28,59.790000915527344,59.994998931884766,58.98500061035156,59.060001373291016,46.50510025024414,5840200
2019-10-29,59.25,59.52000045776367,59.0099983215332,59.52000045776367,46.8673210144043,3084200
2019-10-30,59.474998474121094,60.810001373291016,59.130001068115234,60.779998779296875,47.859474182128906,3435000
2019-10-31,60.720001220703125,60.875,60.2599983215332,60.7400016784668,47.827972412109375,3154400
2019-11-01,60.79999923706055,61.04499816894531,59.72999954223633,59.83000183105469,47.111412048339844,3456000
2019-11-04,59.76499938964844,59.83000183105469,59.02000045776367,59.29499816894531,46.69014358520508,3602200
2019-11-05,58.9900016784668,59.279998779296875,58.26499938964844,58.290000915527344,45.89878463745117,3510200
2019-11-06,57.98500061035156,58.275001525878906,57.814998626708984,58.17499923706055,46.17660140991211,3837200
2019-11-07,57.939998626708984,58.060001373291016,56.91999816894531,57.3650016784668,45.53367233276367,4347800
2019-11-08,57.29499816894531,57.525001525878906,56.810001373291016,57.45000076293945,45.60112762451172,2790400
2019-11-11,57.48500061035156,57.650001525878906,56.97999954223633,57.04499816894531,45.2796630859375,2407200
2019-11-12,57.154998779296875,57.494998931884766,56.92499923706055,57.43000030517578,45.58525085449219,2926200
2019-11-13,57.66999816894531,58.82500076293945,57.66999816894531,58.7599983215332,46.640953063964844,4636600
2019-11-14,58.834999084472656,59.18000030517578,58.38999938964844,58.44499969482422,46.39091873168945,2430400
2019-11-15,58.459999084472656,58.5,57.88999938964844,58.35499954223633,46.31948471069336,2616600
2019-11-18,58.5,59.05500030517578,58.35499954223633,58.44499969482422,46.39091873168945,2279000
2019-11-19,58.29499816894531,58.525001525878906,57.82500076293945,58.095001220703125,46.11309814453125,2232400
2019-11-20,58.189998626708984,58.54999923706055,58.0,58.529998779296875,46.45838165283203,2263800
2019-11-21,58.470001220703125,58.67499923706055,57.654998779296875,57.95000076293945,45.998016357421875,3990400
