ticker,universe_tier,data_depth,selected_this_run,event_update_attempted,event_update_status,event_depth,event_cache_file,known_event_date,event_source,failed_reason,runtime_deferred,updated_at
STM,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/STM.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
VIAV,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/VIAV.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
AEIS,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/AEIS.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
AGX,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/AGX.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
BLTE,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/BLTE.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
BW,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/BW.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
ACLS,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/ACLS.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
ALAB,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/ALAB.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
CARR,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/CARR.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
LITE,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/LITE.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
