component,source_file,exists,row_count,parse_status,status_value,note
SHADOW_RESEARCH_WRAPPER,D:\us-tech-quant\scripts\v18\run_v18_current_shadow_research_daily.ps1,YES,0,SCRIPT,SKIPPED_USE_EXISTING_OUTPUTS,EXIT_CODE=0
SHADOW_RESEARCH_READ_FIRST,D:\us-tech-quant\outputs\v18\read_center\V18_CURRENT_SHADOW_RESEARCH_DAILY_READ_FIRST.txt,YES,0,OK_TEXT,OK_OFFICIAL_DAILY_WITH_FACTOR_WEIGHT_RESEARCH_READY,CURRENT_SHADOW_RESEARCH_DAILY_READ_FIRST
V18.12E_SELL_TIMING_WRAPPER,D:\us-tech-quant\scripts\v18\run_v18_12E_sell_timing_daily_wrapper.ps1,YES,0,SCRIPT,OK_V18_12E_SELL_TIMING_DAILY_WRAPPER_READY,EXIT_CODE=0
V18.12E_READ_FIRST,D:\us-tech-quant\outputs\v18\sell_timing\V18_12E_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12E_SELL_TIMING_DAILY_WRAPPER_READY,SELL_TIMING_DAILY_READ_FIRST
V18.12E_SUMMARY,D:\us-tech-quant\outputs\v18\sell_timing\V18_12E_CURRENT_SELL_TIMING_DAILY_SUMMARY.csv,YES,19,OK,OK_V18_12E_SELL_TIMING_DAILY_WRAPPER_READY,SELL_TIMING_DAILY_SUMMARY
V18.12E_INPUT_AUDIT,D:\us-tech-quant\outputs\v18\sell_timing\V18_12E_CURRENT_SELL_TIMING_DAILY_INPUT_AUDIT.csv,YES,6,OK,OK_V18_12E_SELL_TIMING_DAILY_WRAPPER_READY,SELL_TIMING_DAILY_INPUT_AUDIT
EXIT_SIGNAL_TRACKER,D:\us-tech-quant\outputs\v18\sell_timing\V18_CURRENT_EXIT_SIGNAL_FORWARD_TRACKER.csv,YES,1,OK,,TRACKER_ROWS
EXIT_SIGNAL_FORWARD_VALIDATION,D:\us-tech-quant\outputs\v18\sell_timing\V18_12D_CURRENT_EXIT_SIGNAL_FORWARD_VALIDATION.csv,YES,1,OK,,FORWARD_VALIDATION_ROWS
