snapshot_date,search_root,source_file,exists,file_type,row_count,column_count,parse_status,ticker_column,ticker_count,label_hit_count,used_for_label_join,note
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_12D_CURRENT_EXIT_SIGNAL_FORWARD_VALIDATION_INPUT_AUDIT.csv,YES,csv,55,14,OK,ticker_column,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_12D_CURRENT_EXIT_SIGNAL_FORWARD_VALIDATION_REPORT.md,YES,md,0,0,OK_TEXT,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_12D_READ_FIRST.txt,YES,txt,0,0,OK_TEXT,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_12E_CURRENT_SELL_TIMING_DAILY_INPUT_AUDIT.csv,YES,csv,6,7,OK,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_12E_CURRENT_SELL_TIMING_DAILY_READ_CENTER.md,YES,md,0,0,OK_TEXT,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_12E_CURRENT_SELL_TIMING_DAILY_SUMMARY.csv,YES,csv,19,8,OK,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_12E_READ_FIRST.txt,YES,txt,0,0,OK_TEXT,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_12F_CURRENT_SHADOW_RESEARCH_WITH_SELL_TIMING_INPUT_AUDIT.csv,YES,csv,8,7,OK,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_12F_CURRENT_SHADOW_RESEARCH_WITH_SELL_TIMING_READ_CENTER.md,YES,md,0,0,OK_TEXT,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_12F_CURRENT_SHADOW_RESEARCH_WITH_SELL_TIMING_SUMMARY.csv,YES,csv,14,8,OK,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_12F_READ_FIRST.txt,YES,txt,0,0,OK_TEXT,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\sell_timing,D:\us-tech-quant\outputs\v18\sell_timing\V18_CURRENT_EXIT_SIGNAL_FORWARD_TRACKER.csv,YES,csv,1,30,OK,ticker,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\state\v18\simulation,D:\us-tech-quant\state\v18\simulation\V18_CURRENT_PAPER_POSITIONS.csv,YES,csv,0,10,OK,ticker,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\state\v18\simulation,D:\us-tech-quant\state\v18\simulation\V18_CURRENT_PAPER_TRADE_LOG.csv,YES,csv,4,10,OK,ticker,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\state\v18\simulation,D:\us-tech-quant\state\v18\simulation\V18_CURRENT_SIM_ACCOUNT.csv,YES,csv,1,5,OK,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\state\v18\simulation,D:\us-tech-quant\state\v18\simulation\V18_CURRENT_SIM_CANDIDATE_TRACKER.csv,YES,csv,93,57,OK,ticker,31,210,YES,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_8B_READ_FIRST.txt,YES,txt,0,0,OK_TEXT,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_9A_CURRENT_SIM_CANDIDATE_TRACKER.md,YES,md,0,0,OK_TEXT,,60,4,YES,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_9A_READ_FIRST.txt,YES,txt,0,0,OK_TEXT,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_9B_CURRENT_FORWARD_RETURN_FILLER.md,YES,md,0,0,OK_TEXT,,59,4,YES,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_9B_CURRENT_FORWARD_RETURN_FILLER_AUDIT.csv,YES,csv,93,8,OK,ticker,31,93,YES,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_9B_READ_FIRST.txt,YES,txt,0,0,OK_TEXT,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_PAPER_PNL.csv,YES,csv,3,11,OK,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_PAPER_POSITIONS.csv,YES,csv,0,10,OK,ticker,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_PAPER_TRADE_LOG.csv,YES,csv,4,10,OK,ticker,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_SIM_CABIN.md,YES,md,0,0,OK_TEXT,,0,0,NO,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_SIM_CANDIDATE_TRACKER.csv,YES,csv,93,57,OK,ticker,31,210,YES,TECHNICAL_LABEL_DISCOVERY
2026-05-18,D:\us-tech-quant\outputs\v18\simulation,D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_SIM_CANDIDATE_TRACKER_TODAY.csv,YES,csv,31,44,OK,ticker,31,70,YES,TECHNICAL_LABEL_DISCOVERY
