component,source_file,exists,row_count,parse_status,status_value,note
V18.12F_READ_FIRST,D:\us-tech-quant\outputs\v18\sell_timing\V18_12F_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12F_SHADOW_RESEARCH_DAILY_WITH_SELL_TIMING_READY,PRIMARY_STATUS_SOURCE
V18.12F_READ_CENTER,D:\us-tech-quant\outputs\v18\sell_timing\V18_12F_CURRENT_SHADOW_RESEARCH_WITH_SELL_TIMING_READ_CENTER.md,YES,0,OK_TEXT,,PRIMARY_READ_CENTER_LINK
V18.12F_SUMMARY,D:\us-tech-quant\outputs\v18\sell_timing\V18_12F_CURRENT_SHADOW_RESEARCH_WITH_SELL_TIMING_SUMMARY.csv,YES,14,OK,OK_V18_12F_SHADOW_RESEARCH_DAILY_WITH_SELL_TIMING_READY,SUMMARY_CSV
V18.12E_READ_FIRST,D:\us-tech-quant\outputs\v18\sell_timing\V18_12E_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12E_SELL_TIMING_DAILY_WRAPPER_READY,SELL_TIMING_DAILY_READ_FIRST
V18.12G_READ_FIRST,D:\us-tech-quant\outputs\v18\ops\V18_12G_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_12G_SELL_TIMING_CLEANUP_AUDIT_READY,CLEANUP_AUDIT_READ_FIRST
