section,metric,value,status,source_file,official_decision_impact,auto_sell,auto_trade
unified_status,UNIFIED_READ_CENTER_STATUS,OK_LINKED_CURRENT_READ_FILES,OK,V18.13A,NONE,DISABLED,DISABLED
official,OFFICIAL_DAILY_STATUS,OK_OFFICIAL_DAILY_WITH_SIM_VALIDATION_READY,OK,D:\us-tech-quant\outputs\v18\read_center\V18_9C_READ_FIRST.txt,NONE,DISABLED,DISABLED
shadow_research,SHADOW_RESEARCH_STATUS,OK_FACTOR_WEIGHT_RESEARCH_DAILY_CHAIN_READY,OK,D:\us-tech-quant\outputs\v18\read_center\V18_CURRENT_SHADOW_RESEARCH_DAILY_READ_FIRST.txt,NONE,DISABLED,DISABLED
sell_timing,SELL_TIMING_LINK_STATUS,OK_LINKED_TO_V18_12F_SELL_TIMING_READ_CENTER,OK,D:\us-tech-quant\outputs\v18\read_center\V18_12H_READ_FIRST.txt,NONE,DISABLED,DISABLED
sell_timing,SELL_TIMING_STATUS,OK_V18_12E_SELL_TIMING_DAILY_WRAPPER_READY,OK,D:\us-tech-quant\outputs\v18\ops\V18_12F_R2_READ_FIRST.txt,NONE,DISABLED,DISABLED
sell_timing,SELL_TIMING_READ_FIRST_STATUS,OK_CURRENT_FALLBACK_READ_FIRST_FOUND,OK,D:\us-tech-quant\outputs\v18\ops\V18_12F_R2_READ_FIRST.txt,NONE,DISABLED,DISABLED
cleanup,CLEANUP_AUDIT_STATUS,OK_V18_12G_SELL_TIMING_CLEANUP_AUDIT_READY,OK,D:\us-tech-quant\outputs\v18\ops\V18_12G_READ_FIRST.txt,NONE,DISABLED,DISABLED
stable_baseline,V18_12F_R2_STATUS,OK_V18_12F_R2_STABLE_SNAPSHOT_READY,OK,D:\us-tech-quant\outputs\v18\ops\V18_12F_R2_READ_FIRST.txt,NONE,DISABLED,DISABLED
stable_baseline,V18_12H_R1_STATUS,OK_V18_12H_R1_STABLE_SNAPSHOT_READY,OK,D:\us-tech-quant\outputs\v18\ops\V18_12H_R1_READ_FIRST.txt,NONE,DISABLED,DISABLED
sell_timing_metrics,POSITION_COUNT,0,OK,D:\us-tech-quant\outputs\v18\ops\V18_12F_R2_READ_FIRST.txt,NONE,DISABLED,DISABLED
sell_timing_metrics,ACTIONABLE_EXIT_COUNT,0,OK,D:\us-tech-quant\outputs\v18\ops\V18_12F_R2_READ_FIRST.txt,NONE,DISABLED,DISABLED
sell_timing_metrics,TECHNICAL_LABEL_SOURCE_COUNT,0,OK,D:\us-tech-quant\outputs\v18\ops\V18_12F_R2_READ_FIRST.txt,NONE,DISABLED,DISABLED
sell_timing_metrics,LIFECYCLE_STAGE_COUNT,0,OK,D:\us-tech-quant\outputs\v18\ops\V18_12F_R2_READ_FIRST.txt,NONE,DISABLED,DISABLED
sell_timing_metrics,TRACKER_ROWS,0,OK,D:\us-tech-quant\outputs\v18\ops\V18_12F_R2_READ_FIRST.txt,NONE,DISABLED,DISABLED
guardrails,OFFICIAL_DECISION_IMPACT,NONE,OK,V18.13A,NONE,DISABLED,DISABLED
guardrails,AUTO_SELL,DISABLED,OK,V18.13A,NONE,DISABLED,DISABLED
guardrails,AUTO_TRADE,DISABLED,OK,V18.13A,NONE,DISABLED,DISABLED
