metric,value
STATUS,OK_V18_13B_RANKED_CANDIDATE_READ_CENTER_READY
RANK_SOURCE_STATUS,OK_SCORE_SOURCE_FOUND
SECOND_STAGE_COUNT,20
SCORED_TICKER_COUNT,20
UNSCORED_TICKER_COUNT,0
TOP_5_TICKERS,"ACM,CARR,AMZN,AVGO,APH"
PRIMARY_SCORE_SOURCE_FILES,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv
AUDIT_ONLY_SOURCE_FILES,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv
RANKING_SOURCE_POLICY,PRIMARY_CURRENT_ONLY
OFFICIAL_DECISION_IMPACT,NONE
AUTO_TRADE,DISABLED
AUTO_SELL,DISABLED
READ_ONLY,TRUE
READ_FIRST,outputs/v18/read_center/V18_13B_READ_FIRST.txt
READ_CENTER,outputs/v18/read_center/V18_13B_CURRENT_RANKED_CANDIDATE_READ_CENTER.md
CSV,outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES.csv
