Date,Adj Close,Close,High,Low,Open,Volume
2021-05-12,191.6066131591797,197.07000732421875,198.44000244140625,194.75999450683594,197.47000122070312,1395300
2021-05-13,190.33291625976562,195.75999450683594,199.52000427246094,195.60000610351562,197.5500030517578,1288700
2021-05-14,189.59396362304688,195.0,197.17999267578125,194.02000427246094,197.08999633789062,1103100
2021-05-17,193.8330841064453,199.36000061035156,201.33999633789062,194.19000244140625,194.55999755859375,1596600
2021-05-18,191.82049560546875,197.2899932861328,199.3800048828125,195.77999877929688,198.22000122070312,1069500
2021-05-19,193.2303009033203,198.74000549316406,198.8300018310547,192.5800018310547,196.5,1469600
2021-05-20,194.85400390625,200.41000366210938,201.7100067138672,197.36000061035156,198.39999389648438,1117700
2021-05-21,197.0610809326172,202.67999267578125,204.4499969482422,200.30999755859375,201.2899932861328,1157500
2021-05-24,194.10531616210938,199.63999938964844,203.74000549316406,199.58999633789062,203.52999877929688,916200
2021-05-25,190.58572387695312,196.02000427246094,200.3000030517578,195.7100067138672,199.72999572753906,914600
2021-05-26,188.91336059570312,194.3000030517578,196.02999877929688,191.0,195.55999755859375,1361300
2021-05-27,188.92311096191406,194.30999755859375,195.6999969482422,193.39999389648438,195.6999969482422,1290200
2021-05-28,187.46153259277344,192.38999938964844,196.2899932861328,192.3000030517578,194.16000366210938,1265400
2021-06-01,186.9158935546875,191.8300018310547,192.83999633789062,188.07000732421875,189.1199951171875,1060700
2021-06-02,186.47743225097656,191.3800048828125,193.02999877929688,190.5,191.88999938964844,1044200
2021-06-03,188.89385986328125,193.86000061035156,194.9600067138672,190.5399932861328,191.2899932861328,1158200
2021-06-04,189.9462127685547,194.94000244140625,195.32000732421875,192.5399932861328,194.3800048828125,1126700
2021-06-07,190.0338897705078,195.02999877929688,196.6300048828125,194.41000366210938,195.8000030517578,1041300
2021-06-08,187.01332092285156,191.92999267578125,195.4199981689453,190.69000244140625,192.85000610351562,1080900
2021-06-09,185.66867065429688,190.5500030517578,192.74000549316406,190.44000244140625,192.47999572753906,1053000
2021-06-10,190.50161743164062,195.50999450683594,196.0,190.8300018310547,191.38999938964844,1244300
2021-06-11,190.4918670654297,195.5,197.97000122070312,194.44000244140625,196.61000061035156,939100
2021-06-14,187.96823120117188,192.91000366210938,195.0800018310547,191.13999938964844,195.0800018310547,949500
2021-06-15,189.2836151123047,194.25999450683594,194.97999572753906,192.2100067138672,193.42999267578125,1102300
2021-06-16,186.5164031982422,191.4199981689453,194.75,190.44000244140625,194.38999938964844,919600
2021-06-17,184.54811096191406,189.39999389648438,191.99000549316406,187.7899932861328,191.7100067138672,1155900
2021-06-18,180.15367126464844,184.88999938964844,188.47999572753906,184.42999267578125,187.60000610351562,2471500
2021-06-21,183.88552856445312,188.72000122070312,189.22000122070312,185.32000732421875,185.50999450683594,1323000
2021-06-22,185.23019409179688,190.10000610351562,192.33999633789062,187.58999633789062,188.5800018310547,1612000
2021-06-23,183.9927215576172,188.8300018310547,190.13999938964844,188.35000610351562,190.0,1136300
2021-06-24,184.13890075683594,188.97999572753906,189.52000427246094,187.57000732421875,189.3300018310547,1045000
2021-06-25,186.4384307861328,191.33999633789062,192.94000244140625,189.16000366210938,189.74000549316406,4423500
2021-06-28,187.13998413085938,192.05999755859375,193.25,190.47000122070312,191.38999938964844,1167300
2021-06-29,186.8866424560547,191.8000030517578,194.5399932861328,191.55999755859375,193.1300048828125,1174200
2021-06-30,186.3409881591797,191.24000549316406,192.75,190.44000244140625,191.6199951171875,1048000
2021-07-01,187.73435974121094,192.6699981689453,193.97000122070312,191.22999572753906,191.91000366210938,1073500
2021-07-02,187.64666748046875,192.5800018310547,193.39999389648438,190.91000366210938,192.35000610351562,771000
2021-07-06,184.48960876464844,189.33999633789062,191.86000061035156,186.66000366210938,191.66000366210938,1330700
2021-07-07,184.97689819335938,189.83999633789062,190.9600067138672,188.6699981689453,188.6699981689453,1039800
2021-07-08,183.7393798828125,188.57000732421875,189.6699981689453,186.72000122070312,187.99000549316406,783500
2021-07-09,184.25579833984375,189.10000610351562,190.6999969482422,188.60000610351562,189.97999572753906,647500
2021-07-12,185.0937957763672,189.9600067138672,190.5,187.91000366210938,187.97999572753906,917800
2021-07-13,184.47018432617188,189.32000732421875,190.27999877929688,188.5800018310547,189.55999755859375,1061700
2021-07-14,184.25579833984375,189.10000610351562,189.50999450683594,187.8300018310547,189.0399932861328,1051300
2021-07-15,184.64556884765625,189.5,190.8699951171875,188.5,188.5,2183700
2021-07-16,184.37274169921875,189.22000122070312,190.02999877929688,188.85000610351562,189.9600067138672,1152400
2021-07-19,183.59323120117188,188.4199981689453,189.9499969482422,186.61000061035156,187.3699951171875,1810800
2021-07-20,189.3810577392578,194.36000061035156,201.6300048828125,193.27000427246094,198.00999450683594,2714600
2021-07-21,192.47959899902344,197.5399932861328,198.17999267578125,194.0399932861328,194.72999572753906,1494900
2021-07-22,193.93141174316406,199.02999877929688,199.39999389648438,195.85000610351562,197.80999755859375,1063100
2021-07-23,197.439208984375,202.6300048828125,204.1199951171875,199.44000244140625,200.0,1370100
2021-07-26,197.31251525878906,202.5,205.36000061035156,201.25999450683594,202.8699951171875,913100
2021-07-27,198.89105224609375,204.1199951171875,204.91000366210938,200.55999755859375,201.6199951171875,997700
2021-07-28,198.93003845214844,204.16000366210938,205.25,203.10000610351562,204.25999450683594,975000
2021-07-29,199.96282958984375,205.22000122070312,205.83999633789062,204.22999572753906,205.32000732421875,602400
2021-07-30,198.60845947265625,203.8300018310547,206.47999572753906,203.57000732421875,205.22000122070312,879000
2021-08-02,198.35513305664062,203.57000732421875,204.92999267578125,203.13999938964844,203.83999633789062,1179200
2021-08-03,201.13214111328125,206.4199981689453,206.5399932861328,202.14999389648438,203.02999877929688,1394200
2021-08-04,200.1090087890625,205.3699951171875,209.27000427246094,204.25,205.1199951171875,1280800
2021-08-05,194.5550537109375,199.6699981689453,210.0,197.14999389648438,207.39999389648438,1832200
2021-08-06,194.80836486816406,199.92999267578125,201.55999755859375,197.36000061035156,199.3699951171875,925600
2021-08-09,191.7877655029297,196.8300018310547,200.8000030517578,196.1999969482422,199.69000244140625,1000500
2021-08-10,190.07289123535156,195.07000732421875,196.8300018310547,192.3800048828125,196.27999877929688,954900
2021-08-11,192.25547790527344,197.30999755859375,198.02000427246094,194.60000610351562,195.30999755859375,922800
2021-08-12,192.91806030273438,197.99000549316406,198.27999877929688,196.47999572753906,197.02000427246094,1148600
2021-08-13,193.3468475341797,198.42999267578125,199.41000366210938,197.25999450683594,198.33999633789062,1417700
2021-08-16,194.82785034179688,199.9499969482422,200.1300048828125,197.0399932861328,197.9499969482422,618900
2021-08-17,197.91665649414062,203.1199951171875,203.32000732421875,198.5800018310547,199.1999969482422,975500
2021-08-18,194.60372924804688,199.72000122070312,203.80999755859375,199.66000366210938,203.1199951171875,750700
2021-08-19,194.155517578125,199.25999450683594,201.3699951171875,198.25999450683594,199.2100067138672,678600
2021-08-20,195.27609252929688,200.41000366210938,201.0,198.17999267578125,198.82000732421875,665300
2021-08-23,197.14691162109375,202.3300018310547,203.07000732421875,200.60000610351562,202.00999450683594,723700
2021-08-24,195.27609252929688,200.41000366210938,202.61000061035156,200.22999572753906,202.60000610351562,631900
2021-08-25,195.1688995361328,200.3000030517578,201.24000549316406,197.52000427246094,200.19000244140625,673800
2021-08-26,192.5770263671875,197.63999938964844,200.57000732421875,195.63999938964844,200.57000732421875,832500
2021-08-27,195.96788024902344,201.1199951171875,201.72999572753906,198.22000122070312,198.66000366210938,641600
2021-08-30,196.01661682128906,201.1699981689453,202.10000610351562,199.97999572753906,200.9600067138672,457600
2021-08-31,199.37632751464844,204.13999938964844,204.38999938964844,200.32000732421875,200.67999267578125,888500
2021-09-01,198.25318908691406,202.99000549316406,203.75,199.77999877929688,203.5500030517578,718900
2021-09-02,201.9742889404297,206.8000030517578,207.8800048828125,202.9499969482422,203.7100067138672,824000
2021-09-03,201.46641540527344,206.27999877929688,207.44000244140625,205.94000244140625,206.25,508300
2021-09-07,200.69483947753906,205.49000549316406,206.55999755859375,203.25999450683594,205.52000427246094,868600
2021-09-08,201.35897827148438,206.1699981689453,206.83999633789062,204.64999389648438,205.32000732421875,602100
2021-09-09,199.8647003173828,204.63999938964844,206.91000366210938,204.60000610351562,205.63999938964844,608200
2021-09-10,197.99923706054688,202.72999572753906,204.5800018310547,201.47999572753906,204.22000122070312,581900
2021-09-13,201.2320098876953,206.0399932861328,206.99000549316406,202.27999877929688,203.22000122070312,975600
2021-09-14,199.22984313964844,203.99000549316406,206.99000549316406,203.3300018310547,206.80999755859375,1131900
2021-09-15,203.79086303710938,208.66000366210938,209.10000610351562,202.17999267578125,203.27000427246094,1010800
2021-09-16,202.92166137695312,207.77000427246094,209.69000244140625,206.02000427246094,209.36000061035156,919100
2021-09-17,202.90211486816406,207.75,208.88999938964844,206.6999969482422,206.6999969482422,2219200
2021-09-20,197.1788330078125,201.88999938964844,205.8699951171875,199.77999877929688,205.8699951171875,933100
2021-09-21,196.4073028564453,201.10000610351562,204.75,200.30999755859375,203.22999572753906,720700
